date,hillary clinton fraud
2016-05-01,13.039657020364416
2016-05-02,5.588424437299035
2016-05-03,13.039657020364416
2016-05-04,8.382636655948552
2016-05-05,22.35369774919614
2016-05-06,12.108252947481242
2016-05-07,10.245444801714898
2016-05-08,6.519828510182208
2016-05-09,8.382636655948552
2016-05-10,15.833869239013932
2016-05-11,13.039657020364416
2016-05-12,5.588424437299035
2016-05-13,11.17684887459807
2016-05-14,6.519828510182208
2016-05-15,13.039657020364416
2016-05-16,15.833869239013932
2016-05-17,8.382636655948552
2016-05-18,27.010718113612004
2016-05-19,13.971061093247588
2016-05-20,8.382636655948552
2016-05-21,9.314040728831724
2016-05-22,6.519828510182208
2016-05-23,13.971061093247588
2016-05-24,13.971061093247588
2016-05-25,16.765273311897104
2016-05-26,13.971061093247588
2016-05-27,12.108252947481242
2016-05-28,13.039657020364416
2016-05-29,6.519828510182208
2016-05-30,5.588424437299035
2016-05-31,13.971061093247588
2016-06-01,13.971061093247588
2016-06-02,22.35369774919614
2016-06-03,26.079314040728832
2016-06-04,19.559485530546624
2016-06-05,9.314040728831724
2016-06-06,16.765273311897104
2016-06-07,16.765273311897104
2016-06-08,46.570203644158624
2016-06-09,50.29581993569131
2016-06-10,75.44372990353698
2016-06-11,93.14040728831725
2016-06-12,60.541264737406216
2016-06-13,72.64951768488746
2016-06-14,62.40407288317256
2016-06-15,46.570203644158624
2016-06-16,25.147909967845656
2016-06-17,28.873526259378348
2016-06-18,29.80493033226152
2016-06-19,22.35369774919614
2016-06-20,16.765273311897104
2016-06-21,27.010718113612004
2016-06-22,25.147909967845656
2016-06-23,22.35369774919614
2016-06-24,17.696677384780276
2016-06-25,28.873526259378348
2016-06-26,15.833869239013932
2016-06-27,19.559485530546624
2016-06-28,16.765273311897104
2016-06-29,16.765273311897104
2016-06-30,8.382636655948552
2016-07-01,12.108252947481242
2016-07-02,6.519828510182208
2016-07-03,20.490889603429796
2016-07-04,5.588424437299035
2016-07-05,16.765273311897104
2016-07-06,11.17684887459807
2016-07-07,23.285101822079312
2016-07-08,23.285101822079312
2016-07-09,10.245444801714898
2016-07-10,13.039657020364416
2016-07-11,8.382636655948552
2016-07-12,8.382636655948552
2016-07-13,8.382636655948552
2016-07-14,11.17684887459807
2016-07-15,28.873526259378348
2016-07-16,16.765273311897104
2016-07-17,10.245444801714898
2016-07-18,13.971061093247588
2016-07-19,11.17684887459807
2016-07-20,11.17684887459807
2016-07-21,8.382636655948552
2016-07-22,17.696677384780276
2016-07-23,19.559485530546624
2016-07-24,23.285101822079312
2016-07-25,19.559485530546624
2016-07-26,25.147909967845656
2016-07-27,30.736334405144692
2016-07-28,30.736334405144692
2016-07-29,32.59914255091104
2016-07-30,43.775991425509105
2016-07-31,29.80493033226152
2016-08-01,11.17684887459807
2016-08-02,13.971061093247588
2016-08-03,27.942122186495176
2016-08-04,16.765273311897104
2016-08-05,20.490889603429796
2016-08-06,13.039657020364416
2016-08-07,19.559485530546624
2016-08-08,11.17684887459807
2016-08-09,16.765273311897104
2016-08-10,8.382636655948552
2016-08-11,11.17684887459807
2016-08-12,17.696677384780276
2016-08-13,19.559485530546624
2016-08-14,13.039657020364416
2016-08-15,5.588424437299035
2016-08-16,13.971061093247588
2016-08-17,13.971061093247588
2016-08-18,13.971061093247588
2016-08-19,11.17684887459807
2016-08-20,13.039657020364416
2016-08-21,9.314040728831724
2016-08-22,27.942122186495176
2016-08-23,16.765273311897104
2016-08-24,5.588424437299035
2016-08-25,16.765273311897104
2016-08-26,23.285101822079312
2016-08-27,6.519828510182208
2016-08-28,13.039657020364416
2016-08-29,0.0
2016-08-30,5.588424437299035
2016-08-31,11.17684887459807
2016-09-01,8.382636655948552
2016-09-02,5.588424437299035
2016-09-03,6.519828510182208
2016-09-04,0.0
2016-09-05,11.17684887459807
2016-09-06,11.17684887459807
2016-09-07,5.588424437299035
2016-09-08,11.17684887459807
2016-09-09,16.765273311897104
2016-09-10,6.519828510182208
2016-09-11,12.108252947481242
2016-09-12,13.971061093247588
2016-09-13,15.833869239013932
2016-09-14,8.382636655948552
2016-09-15,21.422293676312968
2016-09-16,13.971061093247588
2016-09-17,12.108252947481242
2016-09-18,9.314040728831724
2016-09-19,10.245444801714898
2016-09-20,15.833869239013932
2016-09-21,5.588424437299035
2016-09-22,15.833869239013932
2016-09-23,13.971061093247588
2016-09-24,0.0
2016-09-25,9.314040728831724
2016-09-26,15.833869239013932
2016-09-27,13.039657020364416
2016-09-28,15.833869239013932
2016-09-29,34.461950696677384
2016-09-30,5.588424437299035
2016-10-01,20.711146838156484
2016-10-02,13.05412647374062
2016-10-03,17.745444801714896
2016-10-04,22.245444801714896
2016-10-05,12.519828510182208
2016-10-06,12.622722400857448
2016-10-07,16.519828510182208
2016-10-08,21.073954983922828
2016-10-09,7.0
2016-10-10,12.916934619506966
2016-10-11,19.019828510182208
2016-10-12,37.42229367631297
2016-10-13,30.730975348338692
2016-10-14,12.088424437299036
2016-10-15,22.211146838156484
2016-10-16,26.10825294748124
2016-10-17,20.848338692390136
2016-10-18,37.49088960342979
2016-10-19,59.61361200428725
2016-10-20,76.03054662379421
2016-10-21,34.73097534833869
2016-10-22,21.814040728831724
2016-10-23,18.45123258306538
2016-10-24,35.38799571275455
2016-10-25,28.765273311897104
2016-10-26,24.696677384780276
2016-10-27,36.833869239013936
2016-10-28,31.696677384780276
2016-10-29,40.476420150053585
2016-10-30,23.711146838156484
2016-10-31,31.936763129689176
2016-11-01,42.52518756698821
2016-11-02,37.0
2016-11-03,24.0
