date,donald trump healthy
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,12.314662273476111
2016-05-05,12.850082372322898
2016-05-06,13.385502471169685
2016-05-07,7.495881383855024
2016-05-08,0.0
2016-05-09,6.425041186161449
2016-05-10,6.425041186161449
2016-05-11,18.73970345963756
2016-05-12,12.850082372322898
2016-05-13,6.425041186161449
2016-05-14,14.991762767710048
2016-05-15,7.495881383855024
2016-05-16,6.425041186161449
2016-05-17,0.0
2016-05-18,12.850082372322898
2016-05-19,0.0
2016-05-20,13.385502471169685
2016-05-21,7.495881383855024
2016-05-22,0.0
2016-05-23,6.425041186161449
2016-05-24,0.0
2016-05-25,12.850082372322898
2016-05-26,6.425041186161449
2016-05-27,6.960461285008236
2016-05-28,7.495881383855024
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,12.314662273476111
2016-06-02,12.850082372322898
2016-06-03,13.385502471169685
2016-06-04,23.02306425041186
2016-06-05,0.0
2016-06-06,6.425041186161449
2016-06-07,0.0
2016-06-08,6.425041186161449
2016-06-09,0.0
2016-06-10,13.385502471169685
2016-06-11,14.991762767710048
2016-06-12,21.952224052718286
2016-06-13,37.47940691927512
2016-06-14,18.73970345963756
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,7.495881383855024
2016-06-20,6.425041186161449
2016-06-21,12.850082372322898
2016-06-22,12.850082372322898
2016-06-23,0.0
2016-06-24,6.425041186161449
2016-06-25,14.991762767710048
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,6.425041186161449
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,7.495881383855024
2016-07-03,7.495881383855024
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,13.385502471169685
2016-07-08,6.960461285008236
2016-07-09,15.527182866556835
2016-07-10,14.991762767710048
2016-07-11,6.425041186161449
2016-07-12,19.275123558484346
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,13.385502471169685
2016-07-16,7.495881383855024
2016-07-17,0.0
2016-07-18,19.810543657331134
2016-07-19,26.235584843492585
2016-07-20,32.66062602965403
2016-07-21,13.385502471169685
2016-07-22,53.54200988467874
2016-07-23,0.0
2016-07-24,14.991762767710048
2016-07-25,12.850082372322898
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,19.810543657331134
2016-07-29,27.30642504118616
2016-07-30,7.495881383855024
2016-07-31,7.495881383855024
2016-08-01,6.425041186161449
2016-08-02,19.275123558484346
2016-08-03,12.850082372322898
2016-08-04,6.425041186161449
2016-08-05,6.960461285008236
2016-08-06,0.0
2016-08-07,7.495881383855024
2016-08-08,6.425041186161449
2016-08-09,0.0
2016-08-10,6.425041186161449
2016-08-11,0.0
2016-08-12,6.425041186161449
2016-08-13,7.495881383855024
2016-08-14,7.495881383855024
2016-08-15,13.385502471169685
2016-08-16,26.235584843492585
2016-08-17,12.850082372322898
2016-08-18,0.0
2016-08-19,13.385502471169685
2016-08-20,14.991762767710048
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,19.275123558484346
2016-08-24,6.425041186161449
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,7.495881383855024
2016-08-29,0.0
2016-08-30,6.425041186161449
2016-08-31,6.425041186161449
2016-09-01,12.850082372322898
2016-09-02,0.0
2016-09-03,7.495881383855024
2016-09-04,7.495881383855024
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,12.314662273476111
2016-09-08,6.425041186161449
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,7.495881383855024
2016-09-12,25.164744645799008
2016-09-13,6.425041186161449
2016-09-14,37.47940691927512
2016-09-15,6.425041186161449
2016-09-16,6.425041186161449
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,6.425041186161449
2016-09-20,12.314662273476111
2016-09-21,5.889621087314662
2016-09-22,6.425041186161449
2016-09-23,6.425041186161449
2016-09-24,14.456342668863261
2016-09-25,0.0
2016-09-26,12.314662273476111
2016-09-27,18.20428336079077
2016-09-28,6.425041186161449
2016-09-29,12.314662273476111
2016-09-30,6.425041186161449
2016-10-01,11.960461285008236
2016-10-02,9.460461285008236
2016-10-03,7.444810543657331
2016-10-04,3.5
2016-10-05,7.444810543657331
2016-10-06,6.157331136738056
2016-10-07,2.5
2016-10-08,11.480230642504118
2016-10-09,13.980230642504118
2016-10-10,24.81466227347611
2016-10-11,22.046952224052717
2016-10-12,10.657331136738055
2016-10-13,17.102141680395384
2016-10-14,9.212520593080725
2016-10-15,2.5
2016-10-16,18.920922570016472
2016-10-17,11.944810543657331
2016-10-18,4.5
2016-10-19,12.389621087314662
2016-10-20,19.102141680395384
2016-10-21,9.657331136738055
2016-10-22,6.960461285008236
2016-10-23,16.940691927512354
2016-10-24,7.889621087314662
2016-10-25,4.5
2016-10-26,7.444810543657331
2016-10-27,5.5
2016-10-28,13.157331136738055
2016-10-29,2.5
2016-10-30,9.460461285008236
2016-10-31,10.657331136738055
2016-11-01,3.2125205930807246
2016-11-02,16.0
2016-11-03,9.0
2016-11-04,5.0
2016-11-05,0.0
2016-11-06,5.0
2016-11-07,17.0
2016-11-08,15.0
2016-11-09,100.0
2016-11-10,40.0
2016-11-11,21.0
2016-11-12,41.0
2016-11-13,23.0
2016-11-14,17.0
2016-11-15,9.0
2016-11-16,15.0
2016-11-17,7.0
2016-11-18,16.0
2016-11-19,10.0
2016-11-20,13.0
2016-11-21,7.0
2016-11-22,9.0
2016-11-23,4.0
