date,mike flynn
2016-05-01,0.3333333333333333
2016-05-02,0.2222222222222222
2016-05-03,0.4444444444444444
2016-05-04,0.1111111111111111
2016-05-05,0.2222222222222222
2016-05-06,0.2222222222222222
2016-05-07,0.1111111111111111
2016-05-08,0.0
2016-05-09,0.1111111111111111
2016-05-10,0.3333333333333333
2016-05-11,0.2222222222222222
2016-05-12,0.2222222222222222
2016-05-13,0.2222222222222222
2016-05-14,0.1111111111111111
2016-05-15,0.3333333333333333
2016-05-16,0.1111111111111111
2016-05-17,0.1111111111111111
2016-05-18,0.1111111111111111
2016-05-19,0.3333333333333333
2016-05-20,0.5555555555555556
2016-05-21,0.3333333333333333
2016-05-22,0.4444444444444444
2016-05-23,0.3333333333333333
2016-05-24,0.1111111111111111
2016-05-25,0.2222222222222222
2016-05-26,0.1111111111111111
2016-05-27,0.1111111111111111
2016-05-28,0.0
2016-05-29,0.1111111111111111
2016-05-30,0.1111111111111111
2016-05-31,0.3333333333333333
2016-06-01,0.2222222222222222
2016-06-02,0.1111111111111111
2016-06-03,0.2222222222222222
2016-06-04,0.2222222222222222
2016-06-05,0.1111111111111111
2016-06-06,0.0
2016-06-07,0.4444444444444444
2016-06-08,0.2222222222222222
2016-06-09,0.0
2016-06-10,0.2222222222222222
2016-06-11,0.1111111111111111
2016-06-12,0.0
2016-06-13,0.1111111111111111
2016-06-14,0.2222222222222222
2016-06-15,0.2222222222222222
2016-06-16,0.2222222222222222
2016-06-17,0.2222222222222222
2016-06-18,0.0
2016-06-19,0.3333333333333333
2016-06-20,0.2222222222222222
2016-06-21,0.1111111111111111
2016-06-22,0.1111111111111111
2016-06-23,0.1111111111111111
2016-06-24,6.222222222222221
2016-06-25,2.6666666666666665
2016-06-26,1.7777777777777777
2016-06-27,0.3333333333333333
2016-06-28,0.2222222222222222
2016-06-29,1.8888888888888888
2016-06-30,0.4444444444444444
2016-07-01,0.2222222222222222
2016-07-02,0.0
2016-07-03,0.3333333333333333
2016-07-04,0.1111111111111111
2016-07-05,0.3333333333333333
2016-07-06,0.2222222222222222
2016-07-07,0.3333333333333333
2016-07-08,0.2222222222222222
2016-07-09,1.8888888888888888
2016-07-10,2.111111111111111
2016-07-11,2.333333333333333
2016-07-12,2.2222222222222223
2016-07-13,0.7777777777777777
2016-07-14,1.0
2016-07-15,2.111111111111111
2016-07-16,0.4444444444444444
2016-07-17,1.3333333333333333
2016-07-18,0.3333333333333333
2016-07-19,11.11111111111111
2016-07-20,0.5555555555555556
2016-07-21,0.2222222222222222
2016-07-22,0.1111111111111111
2016-07-23,0.6666666666666666
2016-07-24,0.8888888888888888
2016-07-25,0.1111111111111111
2016-07-26,0.1111111111111111
2016-07-27,0.5555555555555556
2016-07-28,0.7777777777777777
2016-07-29,0.3333333333333333
2016-07-30,0.7777777777777777
2016-07-31,0.1111111111111111
2016-08-01,0.4444444444444444
2016-08-02,0.4444444444444444
2016-08-03,0.2222222222222222
2016-08-04,0.4444444444444444
2016-08-05,0.2222222222222222
2016-08-06,1.1111111111111112
2016-08-07,1.5555555555555554
2016-08-08,0.6666666666666666
2016-08-09,0.5555555555555556
2016-08-10,0.4444444444444444
2016-08-11,0.2222222222222222
2016-08-12,0.4444444444444444
2016-08-13,0.3333333333333333
2016-08-14,0.2222222222222222
2016-08-15,0.2222222222222222
2016-08-16,0.1111111111111111
2016-08-17,0.2222222222222222
2016-08-18,0.5555555555555556
2016-08-19,0.2222222222222222
2016-08-20,0.3333333333333333
2016-08-21,0.2222222222222222
2016-08-22,0.1111111111111111
2016-08-23,0.3333333333333333
2016-08-24,0.3333333333333333
2016-08-25,0.2222222222222222
2016-08-26,0.2222222222222222
2016-08-27,0.4444444444444444
2016-08-28,0.4444444444444444
2016-08-29,0.6666666666666666
2016-08-30,0.6666666666666666
2016-08-31,0.4444444444444444
2016-09-01,0.3333333333333333
2016-09-02,0.3333333333333333
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.4444444444444444
2016-09-07,0.3333333333333333
2016-09-08,2.111111111111111
2016-09-09,1.3333333333333333
2016-09-10,0.4444444444444444
2016-09-11,0.2222222222222222
2016-09-12,0.1111111111111111
2016-09-13,0.3333333333333333
2016-09-14,0.1111111111111111
2016-09-15,0.2222222222222222
2016-09-16,0.2222222222222222
2016-09-17,0.4444444444444444
2016-09-18,0.1111111111111111
2016-09-19,0.5555555555555556
2016-09-20,0.2222222222222222
2016-09-21,0.1111111111111111
2016-09-22,0.2222222222222222
2016-09-23,0.5555555555555556
2016-09-24,0.1111111111111111
2016-09-25,0.1111111111111111
2016-09-26,0.1111111111111111
2016-09-27,0.1111111111111111
2016-09-28,0.1111111111111111
2016-09-29,0.1111111111111111
2016-09-30,0.3333333333333333
2016-10-01,0.05555555555555555
2016-10-02,0.2222222222222222
2016-10-03,0.05555555555555555
2016-10-04,0.2222222222222222
2016-10-05,0.05555555555555555
2016-10-06,0.1111111111111111
2016-10-07,0.7222222222222222
2016-10-08,0.6111111111111112
2016-10-09,0.16666666666666666
2016-10-10,0.1111111111111111
2016-10-11,0.05555555555555555
2016-10-12,0.16666666666666666
2016-10-13,0.05555555555555555
2016-10-14,0.0
2016-10-15,0.1111111111111111
2016-10-16,0.8333333333333333
2016-10-17,0.7222222222222222
2016-10-18,0.0
2016-10-19,0.1111111111111111
2016-10-20,0.7222222222222222
2016-10-21,0.2222222222222222
2016-10-22,0.05555555555555555
2016-10-23,0.1111111111111111
2016-10-24,0.7222222222222222
2016-10-25,0.16666666666666666
