date,chaffetz
2016-05-01,0.37142857142857144
2016-05-02,0.0
2016-05-03,0.37142857142857144
2016-05-04,0.37142857142857144
2016-05-05,0.0
2016-05-06,0.37142857142857144
2016-05-07,0.37142857142857144
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.37142857142857144
2016-05-11,0.37142857142857144
2016-05-12,0.37142857142857144
2016-05-13,0.37142857142857144
2016-05-14,0.37142857142857144
2016-05-15,0.37142857142857144
2016-05-16,0.7428571428571429
2016-05-17,0.7428571428571429
2016-05-18,0.37142857142857144
2016-05-19,0.7428571428571429
2016-05-20,0.37142857142857144
2016-05-21,0.37142857142857144
2016-05-22,0.37142857142857144
2016-05-23,0.37142857142857144
2016-05-24,1.1142857142857143
2016-05-25,1.1142857142857143
2016-05-26,0.7428571428571429
2016-05-27,2.6
2016-05-28,0.37142857142857144
2016-05-29,0.7428571428571429
2016-05-30,0.37142857142857144
2016-05-31,0.7428571428571429
2016-06-01,0.7428571428571429
2016-06-02,0.37142857142857144
2016-06-03,0.7428571428571429
2016-06-04,0.0
2016-06-05,0.37142857142857144
2016-06-06,0.7428571428571429
2016-06-07,0.37142857142857144
2016-06-08,0.37142857142857144
2016-06-09,0.37142857142857144
2016-06-10,0.37142857142857144
2016-06-11,0.37142857142857144
2016-06-12,0.37142857142857144
2016-06-13,0.37142857142857144
2016-06-14,0.37142857142857144
2016-06-15,0.7428571428571429
2016-06-16,0.37142857142857144
2016-06-17,0.7428571428571429
2016-06-18,0.37142857142857144
2016-06-19,0.37142857142857144
2016-06-20,0.37142857142857144
2016-06-21,0.37142857142857144
2016-06-22,0.37142857142857144
2016-06-23,0.37142857142857144
2016-06-24,0.37142857142857144
2016-06-25,0.0
2016-06-26,0.37142857142857144
2016-06-27,0.37142857142857144
2016-06-28,0.37142857142857144
2016-06-29,0.37142857142857144
2016-06-30,0.37142857142857144
2016-07-01,0.37142857142857144
2016-07-02,0.37142857142857144
2016-07-03,0.37142857142857144
2016-07-04,0.37142857142857144
2016-07-05,0.7428571428571429
2016-07-06,3.342857142857143
2016-07-07,31.200000000000003
2016-07-08,14.857142857142858
2016-07-09,3.342857142857143
2016-07-10,1.8571428571428572
2016-07-11,1.4857142857142858
2016-07-12,5.942857142857143
2016-07-13,4.457142857142857
2016-07-14,2.2285714285714286
2016-07-15,1.4857142857142858
2016-07-16,1.1142857142857143
2016-07-17,0.7428571428571429
2016-07-18,0.7428571428571429
2016-07-19,0.7428571428571429
2016-07-20,0.37142857142857144
2016-07-21,0.37142857142857144
2016-07-22,0.37142857142857144
2016-07-23,0.37142857142857144
2016-07-24,0.37142857142857144
2016-07-25,0.37142857142857144
2016-07-26,0.37142857142857144
2016-07-27,0.7428571428571429
2016-07-28,0.0
2016-07-29,0.37142857142857144
2016-07-30,0.37142857142857144
2016-07-31,1.4857142857142858
2016-08-01,0.37142857142857144
2016-08-02,0.37142857142857144
2016-08-03,1.1142857142857143
2016-08-04,0.37142857142857144
2016-08-05,0.37142857142857144
2016-08-06,0.37142857142857144
2016-08-07,0.37142857142857144
2016-08-08,0.7428571428571429
2016-08-09,0.37142857142857144
2016-08-10,0.37142857142857144
2016-08-11,0.37142857142857144
2016-08-12,0.37142857142857144
2016-08-13,0.37142857142857144
2016-08-14,0.37142857142857144
2016-08-15,0.37142857142857144
2016-08-16,0.7428571428571429
2016-08-17,1.1142857142857143
2016-08-18,0.7428571428571429
2016-08-19,0.7428571428571429
2016-08-20,0.37142857142857144
2016-08-21,0.37142857142857144
2016-08-22,1.4857142857142858
2016-08-23,0.7428571428571429
2016-08-24,1.1142857142857143
2016-08-25,0.7428571428571429
2016-08-26,0.37142857142857144
2016-08-27,0.37142857142857144
2016-08-28,0.7428571428571429
2016-08-29,1.1142857142857143
2016-08-30,0.37142857142857144
2016-08-31,0.0
2016-09-01,0.37142857142857144
2016-09-02,0.37142857142857144
2016-09-03,0.7428571428571429
2016-09-04,0.37142857142857144
2016-09-05,0.37142857142857144
2016-09-06,1.8571428571428572
2016-09-07,2.2285714285714286
2016-09-08,1.8571428571428572
2016-09-09,1.4857142857142858
2016-09-10,0.7428571428571429
2016-09-11,0.7428571428571429
2016-09-12,1.1142857142857143
2016-09-13,13.0
2016-09-14,10.028571428571428
2016-09-15,5.942857142857143
2016-09-16,7.057142857142857
2016-09-17,3.342857142857143
2016-09-18,1.1142857142857143
2016-09-19,2.6
2016-09-20,2.6
2016-09-21,2.2285714285714286
2016-09-22,4.457142857142857
2016-09-23,4.085714285714285
2016-09-24,2.2285714285714286
2016-09-25,1.1142857142857143
2016-09-26,1.1142857142857143
2016-09-27,1.1142857142857143
2016-09-28,1.8571428571428572
2016-09-29,2.2285714285714286
2016-09-30,1.8571428571428572
2016-10-01,1.0571428571428572
2016-10-02,0.8714285714285714
2016-10-03,1.0571428571428572
2016-10-04,1.0571428571428572
2016-10-05,0.8714285714285714
2016-10-06,0.8714285714285714
2016-10-07,0.6857142857142857
2016-10-08,36.57142857142857
2016-10-09,4.228571428571429
2016-10-10,2.8
2016-10-11,2.3
2016-10-12,1.9285714285714286
2016-10-13,1.2428571428571429
2016-10-14,0.8714285714285714
2016-10-15,0.8714285714285714
2016-10-16,1.2428571428571429
2016-10-17,2.8
2016-10-18,3.1714285714285717
2016-10-19,2.3
2016-10-20,2.3
2016-10-21,2.1142857142857143
2016-10-22,0.8714285714285714
2016-10-23,0.8714285714285714
2016-10-24,0.8714285714285714
2016-10-25,0.8714285714285714
2016-10-26,2.1142857142857143
2016-10-27,13.871428571428572
