date,crooked
2016-05-01,43.0
2016-05-02,40.0
2016-05-03,40.0
2016-05-04,44.0
2016-05-05,47.0
2016-05-06,44.0
2016-05-07,42.0
2016-05-08,45.0
2016-05-09,41.0
2016-05-10,41.0
2016-05-11,45.0
2016-05-12,43.0
2016-05-13,39.0
2016-05-14,41.0
2016-05-15,45.0
2016-05-16,44.0
2016-05-17,44.0
2016-05-18,44.0
2016-05-19,37.0
2016-05-20,50.0
2016-05-21,43.0
2016-05-22,51.0
2016-05-23,42.0
2016-05-24,42.0
2016-05-25,44.0
2016-05-26,48.0
2016-05-27,50.0
2016-05-28,54.0
2016-05-29,45.0
2016-05-30,42.0
2016-05-31,38.0
2016-06-01,40.0
2016-06-02,48.0
2016-06-03,54.0
2016-06-04,55.0
2016-06-05,62.0
2016-06-06,69.0
2016-06-07,42.0
2016-06-08,55.0
2016-06-09,52.0
2016-06-10,81.0
2016-06-11,100.0
2016-06-12,93.0
2016-06-13,71.0
2016-06-14,63.0
2016-06-15,65.0
2016-06-16,66.0
2016-06-17,55.0
2016-06-18,73.0
2016-06-19,71.0
2016-06-20,58.0
2016-06-21,56.0
2016-06-22,67.0
2016-06-23,72.0
2016-06-24,88.0
2016-06-25,81.0
2016-06-26,69.0
2016-06-27,66.0
2016-06-28,50.0
2016-06-29,53.0
2016-06-30,51.0
2016-07-01,55.0
2016-07-02,55.0
2016-07-03,52.0
2016-07-04,52.0
2016-07-05,61.0
2016-07-06,63.0
2016-07-07,56.0
2016-07-08,51.0
2016-07-09,57.0
2016-07-10,50.0
2016-07-11,49.0
2016-07-12,51.0
2016-07-13,54.0
2016-07-14,54.0
2016-07-15,53.0
2016-07-16,55.0
2016-07-17,56.0
2016-07-18,46.0
2016-07-19,41.0
2016-07-20,47.0
2016-07-21,48.0
2016-07-22,52.0
2016-07-23,61.0
2016-07-24,72.0
2016-07-25,56.0
2016-07-26,55.0
2016-07-27,54.0
2016-07-28,61.0
2016-07-29,63.0
2016-07-30,54.0
2016-07-31,59.0
2016-08-01,47.0
2016-08-02,47.0
2016-08-03,44.0
2016-08-04,47.0
2016-08-05,46.0
2016-08-06,45.0
2016-08-07,46.0
2016-08-08,47.0
2016-08-09,47.0
2016-08-10,39.0
2016-08-11,46.0
2016-08-12,46.0
2016-08-13,53.0
2016-08-14,52.0
2016-08-15,42.0
2016-08-16,47.0
2016-08-17,45.0
2016-08-18,46.0
2016-08-19,45.0
2016-08-20,49.0
2016-08-21,43.0
2016-08-22,40.0
2016-08-23,46.0
2016-08-24,41.0
2016-08-25,42.0
2016-08-26,44.0
2016-08-27,50.0
2016-08-28,49.0
2016-08-29,45.0
2016-08-30,45.0
2016-08-31,37.0
2016-09-01,44.0
2016-09-02,52.0
2016-09-03,62.0
2016-09-04,55.0
2016-09-05,55.0
2016-09-06,56.0
2016-09-07,53.0
2016-09-08,73.0
2016-09-09,66.0
2016-09-10,69.0
2016-09-11,70.0
2016-09-12,47.0
2016-09-13,42.0
2016-09-14,45.0
2016-09-15,48.0
2016-09-16,43.0
2016-09-17,54.0
2016-09-18,51.0
2016-09-19,49.0
2016-09-20,44.0
2016-09-21,42.0
2016-09-22,38.0
2016-09-23,48.0
2016-09-24,54.0
2016-09-25,52.0
2016-09-26,53.0
2016-09-27,58.0
2016-09-28,57.0
2016-09-29,51.0
2016-09-30,51.0
2016-10-01,61.5124750499002
2016-10-02,86.56686626746506
2016-10-03,52.93413173652695
2016-10-04,50.19311377245509
2016-10-05,46.36177644710579
2016-10-06,40.86776447105788
2016-10-07,46.69311377245509
2016-10-08,48.10878243512974
2016-10-09,50.3557884231537
2016-10-10,52.771457085828345
2016-10-11,43.86177644710579
2016-10-12,50.44011976047904
2016-10-13,49.94011976047904
2016-10-14,46.27744510978044
2016-10-15,48.10878243512974
2016-10-16,52.018463073852296
2016-10-17,48.02445109780439
2016-10-18,53.265469061876246
2016-10-19,61.3438123752495
2016-10-20,59.8438123752495
2016-10-21,51.771457085828345
2016-10-22,55.181137724550894
2016-10-23,52.94011976047904
2016-10-24,47.19311377245509
2016-10-25,42.446107784431135
2016-10-26,48.44011976047904
2016-10-27,48.77744510978044
2016-10-28,49.10878243512974
2016-10-29,57.0124750499002
2016-10-30,58.765469061876246
2016-10-31,48.94011976047904
2016-11-01,55.93413173652695
2016-11-02,56.53093812375249
2016-11-03,51.54291417165668
2016-11-04,55.69960079840319
2016-11-05,63.181636726546905
2016-11-06,53.20558882235529
2016-11-07,50.71157684630739
2016-11-08,54.03692614770459
2016-11-09,57.362275449101794
2016-11-10,42.39820359281437
2016-11-11,49.04890219560878
2016-11-12,52.374251497005986
2016-11-13,44.060878243512974
2016-11-14,44.060878243512974
2016-11-15,39.90419161676647
2016-11-16,39.90419161676647
2016-11-17,40.73552894211577
2016-11-18,36.57884231536926
2016-11-19,37.41017964071856
2016-11-20,37.41017964071856
2016-11-21,34.91616766467066
2016-11-22,35.74750499001996
2016-11-23,40.73552894211577
2016-11-24,29.92814371257485
2016-11-25,34.91616766467066
2016-11-26,39.072854291417165
2016-11-27,36.57884231536926
2016-11-28,33.253493013972054
2016-11-29,34.91616766467066
2016-11-30,42.39820359281437
2016-12-01,41.566866267465066
2016-12-02,41.566866267465066
2016-12-03,45.72355289421158
2016-12-04,44.89221556886228
2016-12-05,37.41017964071856
2016-12-06,39.072854291417165
2016-12-07,39.072854291417165
2016-12-08,39.072854291417165
2016-12-09,41.566866267465066
2016-12-10,54.868263473053894
2016-12-11,44.060878243512974
2016-12-12,38.24151696606786
2016-12-13,37.41017964071856
2016-12-14,38.24151696606786
2016-12-15,42.39820359281437
2016-12-16,39.90419161676647
2016-12-17,40.73552894211577
2016-12-18,40.73552894211577
2016-12-19,34.91616766467066
2016-12-20,36.57884231536926
2016-12-21,36.57884231536926
2016-12-22,38.24151696606786
2016-12-23,37.41017964071856
2016-12-24,37.41017964071856
2016-12-25,30.75948103792415
2016-12-26,37.41017964071856
