date,crook
2016-05-01,48.94751000509049
2016-05-02,54.30114391189727
2016-05-03,61.949192350192654
2016-05-04,59.65477781870405
2016-05-05,55.83075359955635
2016-05-06,73.42126500763574
2016-05-07,55.83075359955635
2016-05-08,52.771534224238195
2016-05-09,63.47880203785174
2016-05-10,67.30282625699944
2016-05-11,55.06594875572681
2016-05-12,57.36036328721543
2016-05-13,60.41958266253358
2016-05-14,63.47880203785174
2016-05-15,61.18438750636312
2016-05-16,58.12516813104497
2016-05-17,55.83075359955635
2016-05-18,54.30114391189727
2016-05-19,54.30114391189727
2016-05-20,51.24192453657911
2016-05-21,49.71231484892004
2016-05-22,52.00672938040866
2016-05-23,52.771534224238195
2016-05-24,53.53633906806773
2016-05-25,56.59555844338588
2016-05-26,52.00672938040866
2016-05-27,49.71231484892004
2016-05-28,43.59387609828372
2016-05-29,54.30114391189727
2016-05-30,50.477119692749575
2016-05-31,49.71231484892004
2016-06-01,55.83075359955635
2016-06-02,54.30114391189727
2016-06-03,48.182705161260955
2016-06-04,55.83075359955635
2016-06-05,58.12516813104497
2016-06-06,48.94751000509049
2016-06-07,65.00841172551081
2016-06-08,61.949192350192654
2016-06-09,60.41958266253358
2016-06-10,61.949192350192654
2016-06-11,68.06763110082898
2016-06-12,52.771534224238195
2016-06-13,56.59555844338588
2016-06-14,60.41958266253358
2016-06-15,48.182705161260955
2016-06-16,46.65309547360187
2016-06-17,53.53633906806773
2016-06-18,61.18438750636312
2016-06-19,45.1234857859428
2016-06-20,48.94751000509049
2016-06-21,47.41790031743142
2016-06-22,50.477119692749575
2016-06-23,58.12516813104497
2016-06-24,51.24192453657911
2016-06-25,55.83075359955635
2016-06-26,57.36036328721543
2016-06-27,57.36036328721543
2016-06-28,54.30114391189727
2016-06-29,56.59555844338588
2016-06-30,47.41790031743142
2016-07-01,61.949192350192654
2016-07-02,55.83075359955635
2016-07-03,53.53633906806773
2016-07-04,57.36036328721543
2016-07-05,52.771534224238195
2016-07-06,59.65477781870405
2016-07-07,54.30114391189727
2016-07-08,48.182705161260955
2016-07-09,57.36036328721543
2016-07-10,52.771534224238195
2016-07-11,45.888290629772335
2016-07-12,55.83075359955635
2016-07-13,59.65477781870405
2016-07-14,65.00841172551081
2016-07-15,56.59555844338588
2016-07-16,61.18438750636312
2016-07-17,57.36036328721543
2016-07-18,55.83075359955635
2016-07-19,64.24360688168127
2016-07-20,63.47880203785174
2016-07-21,75.71567953912437
2016-07-22,58.12516813104497
2016-07-23,63.47880203785174
2016-07-24,71.89165531997666
2016-07-25,56.59555844338588
2016-07-26,68.06763110082898
2016-07-27,66.53802141316989
2016-07-28,58.8899729748745
2016-07-29,57.36036328721543
2016-07-30,63.47880203785174
2016-07-31,57.36036328721543
2016-08-01,58.12516813104497
2016-08-02,58.12516813104497
2016-08-03,52.771534224238195
2016-08-04,52.00672938040866
2016-08-05,61.949192350192654
2016-08-06,54.30114391189727
2016-08-07,54.30114391189727
2016-08-08,50.477119692749575
2016-08-09,52.771534224238195
2016-08-10,65.00841172551081
