date,obama suit
2016-05-01,15.919759277833501
2016-05-02,9.949849548645938
2016-05-03,13.432296890672017
2016-05-04,34.82447342026078
2016-05-05,11.939819458375126
2016-05-06,8.457372116349047
2016-05-07,4.477432296890672
2016-05-08,6.964894684052156
2016-05-09,0.0
2016-05-10,17.41223671013039
2016-05-11,17.41223671013039
2016-05-12,7.9598796389167505
2016-05-13,7.9598796389167505
2016-05-14,8.954864593781345
2016-05-15,6.964894684052156
2016-05-16,5.969909729187563
2016-05-17,7.462387161484454
2016-05-18,11.442326980942829
2016-05-19,7.9598796389167505
2016-05-20,14.42728184553661
2016-05-21,6.964894684052156
2016-05-22,11.442326980942829
2016-05-23,11.442326980942829
2016-05-24,7.9598796389167505
2016-05-25,11.939819458375126
2016-05-26,18.407221664994985
2016-05-27,10.447342026078235
2016-05-28,4.477432296890672
2016-05-29,9.45235707121364
2016-05-30,9.949849548645938
2016-05-31,3.9799398194583753
2016-06-01,3.9799398194583753
2016-06-02,3.9799398194583753
2016-06-03,3.9799398194583753
2016-06-04,13.929789368104313
2016-06-05,6.964894684052156
2016-06-06,9.949849548645938
2016-06-07,15.422266800401204
2016-06-08,17.90972918756269
2016-06-09,27.859578736208626
2016-06-10,12.437311935807422
2016-06-11,6.964894684052156
2016-06-12,6.964894684052156
2016-06-13,11.442326980942829
2016-06-14,7.9598796389167505
2016-06-15,13.432296890672017
2016-06-16,11.939819458375126
2016-06-17,16.4172517552658
2016-06-18,4.477432296890672
2016-06-19,13.929789368104313
2016-06-20,3.9799398194583753
2016-06-21,5.969909729187563
2016-06-22,5.969909729187563
2016-06-23,5.969909729187563
2016-06-24,8.457372116349047
2016-06-25,6.964894684052156
2016-06-26,6.964894684052156
2016-06-27,3.9799398194583753
2016-06-28,7.9598796389167505
2016-06-29,11.939819458375126
2016-06-30,7.9598796389167505
2016-07-01,3.9799398194583753
2016-07-02,9.45235707121364
2016-07-03,4.974924774322969
2016-07-04,8.457372116349047
2016-07-05,3.9799398194583753
2016-07-06,8.457372116349047
2016-07-07,10.447342026078235
2016-07-08,12.437311935807422
2016-07-09,4.974924774322969
2016-07-10,16.4172517552658
2016-07-11,13.929789368104313
2016-07-12,7.9598796389167505
2016-07-13,13.929789368104313
2016-07-14,5.969909729187563
2016-07-15,10.447342026078235
2016-07-16,6.964894684052156
2016-07-17,11.939819458375126
2016-07-18,3.9799398194583753
2016-07-19,14.42728184553661
2016-07-20,9.949849548645938
2016-07-21,12.437311935807422
2016-07-22,10.447342026078235
2016-07-23,9.45235707121364
2016-07-24,16.4172517552658
2016-07-25,5.969909729187563
2016-07-26,23.879638916750253
2016-07-27,17.90972918756269
2016-07-28,44.27683049147443
2016-07-29,42.28686058174524
2016-07-30,28.85456369107322
2016-07-31,30.844533600802407
2016-08-01,17.90972918756269
2016-08-02,24.37713139418255
2016-08-03,13.929789368104313
2016-08-04,30.34704112337011
2016-08-05,14.924774322968908
2016-08-06,18.90471414242728
2016-08-07,16.4172517552658
2016-08-08,11.939819458375126
2016-08-09,15.919759277833501
2016-08-10,17.90972918756269
2016-08-11,3.9799398194583753
2016-08-12,16.4172517552658
2016-08-13,9.45235707121364
2016-08-14,9.45235707121364
2016-08-15,10.447342026078235
2016-08-16,7.9598796389167505
2016-08-17,9.949849548645938
2016-08-18,3.9799398194583753
2016-08-19,12.437311935807422
2016-08-20,15.919759277833501
2016-08-21,6.964894684052156
2016-08-22,17.90972918756269
2016-08-23,11.939819458375126
2016-08-24,0.0
2016-08-25,11.939819458375126
2016-08-26,12.437311935807422
2016-08-27,4.477432296890672
2016-08-28,6.964894684052156
2016-08-29,0.0
2016-08-30,3.9799398194583753
2016-08-31,18.90471414242728
2016-09-01,7.9598796389167505
2016-09-02,3.9799398194583753
2016-09-03,4.477432296890672
2016-09-04,8.954864593781345
2016-09-05,7.9598796389167505
2016-09-06,17.41223671013039
2016-09-07,17.41223671013039
2016-09-08,5.969909729187563
2016-09-09,11.939819458375126
2016-09-10,22.884653961885657
2016-09-11,6.46740220661986
2016-09-12,11.442326980942829
2016-09-13,3.9799398194583753
2016-09-14,19.40220661985958
2016-09-15,3.9799398194583753
2016-09-16,13.929789368104313
2016-09-17,10.944834503510531
2016-09-18,6.46740220661986
2016-09-19,9.45235707121364
2016-09-20,9.45235707121364
2016-09-21,11.442326980942829
2016-09-22,13.432296890672017
2016-09-23,17.90972918756269
2016-09-24,17.90972918756269
2016-09-25,10.944834503510531
2016-09-26,9.45235707121364
2016-09-27,16.914744232698094
2016-09-28,14.924774322968908
2016-09-29,11.442326980942829
2016-09-30,13.929789368104313
2016-10-01,14.206118355065195
2016-10-02,17.462387161484454
2016-10-03,10.467402206619859
2016-10-04,6.736208625877633
2016-10-05,12.467402206619859
2016-10-06,7.731193580742227
2016-10-07,7.72617853560682
2016-10-08,32.68856569709128
2016-10-09,20.18355065195587
2016-10-10,17.711133400200602
2016-10-11,19.45737211634905
2016-10-12,10.711133400200602
2016-10-13,13.721163490471415
2016-10-14,20.696088264794383
2016-10-15,23.706118355065193
2016-10-16,11.723671013039118
2016-10-17,13.972417251755266
2016-10-18,10.467402206619859
2016-10-19,18.69358074222668
2016-10-20,34.671013039117355
2016-10-21,46.874623871614844
2016-10-22,22.934804413239718
2016-10-23,11.972417251755266
2016-10-24,7.731193580742227
2016-10-25,11.972417251755266
2016-10-26,12.972417251755266
2016-10-27,8.472417251755266
2016-10-28,4.984954864593782
2016-10-29,13.211133400200602
2016-10-30,9.972417251755266
2016-10-31,4.989969909729187
2016-11-01,14.711133400200602
