date,trump inauguration
2017-01-09,2.0
2017-01-10,2.0
2017-01-11,4.0
2017-01-12,2.0
2017-01-13,3.0
2017-01-14,4.0
2017-01-15,5.0
2017-01-16,6.0
2017-01-17,7.0
2017-01-18,8.0
2017-01-19,16.0
2017-01-20,100.0
2017-01-21,55.0
2017-01-22,24.0
2017-01-23,13.0
2017-01-24,8.0
2017-01-25,5.0
2017-01-26,4.0
2017-01-27,3.0
2017-01-28,2.0
2017-01-29,2.0
2017-01-30,1.0
2017-01-31,1.0
2017-02-01,1.0
2017-02-02,1.0
2017-02-03,1.0
2017-02-04,1.0
2017-02-05,1.0
2017-02-06,1.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,50.0
2017-03-02,24.5
2017-03-03,18.5
2017-03-04,22.0
2017-03-05,22.0
2017-03-06,25.0
2017-03-07,29.0
2017-03-08,30.0
2017-03-09,19.5
2017-03-10,23.5
2017-03-11,20.0
2017-03-12,20.0
2017-03-13,15.0
2017-03-14,16.5
2017-03-15,19.5
2017-03-16,20.5
2017-03-17,18.5
2017-03-18,15.5
2017-03-19,17.0
2017-03-20,15.5
2017-03-21,17.0
2017-03-22,16.5
2017-03-23,14.5
2017-03-24,16.0
2017-03-25,16.0
2017-03-26,12.5
2017-03-27,18.0
2017-03-28,14.0
2017-03-29,16.5
2017-03-30,26.5
2017-03-31,22.5
2017-04-01,17.5
2017-04-02,33.0
2017-04-03,29.0
2017-04-04,26.0
2017-04-05,27.0
2017-04-06,30.0
2017-04-07,37.0
2017-04-08,27.0
2017-04-09,23.0
2017-04-10,20.0
2017-04-11,20.0
2017-04-12,17.0
2017-04-13,27.0
2017-04-14,24.0
2017-04-15,21.0
2017-04-16,26.0
2017-04-17,24.0
2017-04-18,20.0
2017-04-19,75.0
2017-04-20,61.0
2017-04-21,42.0
2017-04-22,29.0
2017-04-23,28.0
2017-04-24,26.0
2017-04-25,34.0
2017-04-26,23.0
2017-04-27,23.0
2017-04-28,34.0
2017-04-29,29.0
2017-04-30,27.0
2017-05-01,24.0
2017-05-02,21.0
2017-05-03,30.0
2017-05-04,21.0
2017-05-05,18.0
2017-05-06,18.0
2017-05-07,14.0
2017-05-08,20.0
2017-05-09,20.0
2017-05-10,27.0
2017-05-11,25.0
2017-05-12,25.0
2017-05-13,9.0
2017-05-14,29.0
2017-05-15,20.0
2017-05-16,17.0
2017-05-17,37.0
2017-05-18,27.0
2017-05-19,25.0
2017-05-20,22.0
2017-05-21,17.0
2017-05-22,27.0
2017-05-23,41.0
2017-05-24,34.0
2017-05-25,27.0
2017-05-26,18.0
2017-05-27,11.0
2017-05-28,18.0
2017-05-29,20.0
2017-05-30,22.0
2017-05-31,25.0
2017-06-01,14.0
2017-06-02,14.0
2017-06-03,17.0
