date,kek
2016-05-01,62.68973471741638
2016-05-02,47.38177623990773
2016-05-03,49.568627450980394
2016-05-04,53.94232987312572
2016-05-05,56.858131487889274
2016-05-06,59.04498269896194
2016-05-07,67.06343713956171
2016-05-08,57.58708189158016
2016-05-09,51.75547866205306
2016-05-10,53.213379469434834
2016-05-11,53.94232987312572
2016-05-12,53.94232987312572
2016-05-13,53.94232987312572
2016-05-14,61.2318339100346
2016-05-15,58.31603229527105
2016-05-16,47.38177623990773
2016-05-17,51.02652825836217
2016-05-18,54.67128027681661
2016-05-19,53.94232987312572
2016-05-20,53.94232987312572
2016-05-21,61.2318339100346
2016-05-22,64.87658592848905
2016-05-23,51.75547866205306
2016-05-24,51.02652825836217
2016-05-25,51.02652825836217
2016-05-26,54.67128027681661
2016-05-27,53.94232987312572
2016-05-28,61.96078431372549
2016-05-29,57.58708189158016
2016-05-30,48.839677047289506
2016-05-31,49.568627450980394
2016-06-01,49.568627450980394
2016-06-02,51.02652825836217
2016-06-03,49.568627450980394
2016-06-04,53.94232987312572
2016-06-05,40.82122260668974
2016-06-06,39.36332179930796
2016-06-07,45.92387543252595
2016-06-08,47.38177623990773
2016-06-09,48.839677047289506
2016-06-10,47.38177623990773
2016-06-11,55.4002306805075
2016-06-12,52.484429065743946
2016-06-13,43.73702422145329
2016-06-14,48.839677047289506
2016-06-15,44.46597462514418
2016-06-16,43.73702422145329
2016-06-17,43.0080738177624
2016-06-18,53.94232987312572
2016-06-19,55.4002306805075
2016-06-20,44.46597462514418
2016-06-21,42.27912341407151
2016-06-22,42.27912341407151
2016-06-23,43.0080738177624
2016-06-24,43.73702422145329
2016-06-25,51.02652825836217
2016-06-26,49.568627450980394
2016-06-27,44.46597462514418
2016-06-28,43.0080738177624
2016-06-29,47.38177623990773
2016-06-30,43.73702422145329
2016-07-01,45.92387543252595
2016-07-02,50.29757785467128
2016-07-03,56.129181084198386
2016-07-04,56.129181084198386
2016-07-05,40.82122260668974
2016-07-06,24.784313725490197
2016-07-07,27.70011534025375
2016-07-08,34.98961937716263
2016-07-09,38.63437139561707
2016-07-10,41.550173010380625
2016-07-11,39.36332179930796
2016-07-12,41.550173010380625
2016-07-13,45.194925028835065
2016-07-14,48.11072664359862
2016-07-15,46.65282583621684
2016-07-16,48.11072664359862
2016-07-17,48.11072664359862
2016-07-18,45.194925028835065
2016-07-19,54.67128027681661
2016-07-20,53.213379469434834
2016-07-21,60.502883506343714
2016-07-22,56.129181084198386
2016-07-23,61.96078431372549
2016-07-24,57.58708189158016
2016-07-25,49.568627450980394
2016-07-26,56.858131487889274
2016-07-27,53.213379469434834
2016-07-28,56.858131487889274
2016-07-29,52.484429065743946
2016-07-30,57.58708189158016
2016-07-31,52.484429065743946
2016-08-01,51.75547866205306
2016-08-02,51.75547866205306
2016-08-03,53.213379469434834
2016-08-04,53.94232987312572
2016-08-05,58.31603229527105
2016-08-06,59.773933102652826
2016-08-07,53.94232987312572
2016-08-08,49.568627450980394
2016-08-09,51.75547866205306
2016-08-10,48.839677047289506
2016-08-11,53.213379469434834
2016-08-12,53.94232987312572
2016-08-13,63.418685121107266
2016-08-14,60.502883506343714
2016-08-15,51.75547866205306
2016-08-16,54.67128027681661
2016-08-17,54.67128027681661
2016-08-18,54.67128027681661
2016-08-19,54.67128027681661
2016-08-20,57.58708189158016
2016-08-21,57.58708189158016
2016-08-22,48.839677047289506
2016-08-23,53.94232987312572
2016-08-24,53.94232987312572
2016-08-25,54.67128027681661
2016-08-26,51.75547866205306
2016-08-27,59.773933102652826
2016-08-28,59.04498269896194
2016-08-29,48.11072664359862
2016-08-30,56.858131487889274
2016-08-31,53.94232987312572
2016-09-01,52.484429065743946
2016-09-02,50.29757785467128
2016-09-03,61.2318339100346
2016-09-04,56.129181084198386
2016-09-05,49.568627450980394
2016-09-06,45.194925028835065
2016-09-07,46.65282583621684
2016-09-08,51.75547866205306
2016-09-09,46.65282583621684
2016-09-10,51.02652825836217
2016-09-11,61.2318339100346
2016-09-12,28.429065743944637
2016-09-13,34.260668973471745
2016-09-14,33.53171856978086
2016-09-15,42.27912341407151
2016-09-16,43.0080738177624
2016-09-17,50.29757785467128
2016-09-18,44.46597462514418
2016-09-19,37.905420991926185
2016-09-20,45.92387543252595
2016-09-21,47.38177623990773
2016-09-22,48.839677047289506
2016-09-23,48.839677047289506
2016-09-24,61.96078431372549
2016-09-25,62.68973471741638
2016-09-26,48.839677047289506
2016-09-27,52.484429065743946
2016-09-28,48.839677047289506
2016-09-29,53.94232987312572
2016-09-30,54.67128027681661
2016-10-01,62.48039215686275
2016-10-02,63.344867358708186
2016-10-03,49.148788927335644
2016-10-04,50.148788927335644
2016-10-05,53.60668973471742
2016-10-06,53.33564013840831
2016-10-07,54.47116493656286
2016-10-08,69.35409457900808
2016-10-09,68.16724336793541
2016-10-10,54.200115340253745
2016-10-11,52.01326412918108
2016-10-12,52.97116493656286
2016-10-13,52.51326412918108
2016-10-14,59.25144175317186
2016-10-15,64.66724336793541
2016-10-16,64.43829296424452
2016-10-17,53.60668973471742
2016-10-18,55.0645905420992
2016-10-19,53.97116493656286
2016-10-20,58.65801614763552
2016-10-21,57.65801614763552
2016-10-22,67.53171856978085
2016-10-23,70.85409457900808
2016-10-24,54.10668973471742
2016-10-25,57.793540945790085
2016-10-26,55.47116493656286
2016-10-27,54.700115340253745
2016-10-28,67.03171856978085
2016-10-29,73.4475201845444
2016-10-30,73.08304498269896
2016-10-31,57.793540945790085
2016-11-01,61.1159169550173
2016-11-02,58.0
