date,medicare
2016-05-01,26.89878892733564
2016-05-02,62.76384083044983
2016-05-03,64.55709342560554
2016-05-04,63.66046712802768
2016-05-05,63.66046712802768
2016-05-06,53.79757785467128
2016-05-07,26.002162629757787
2016-05-08,24.208910034602077
2016-05-09,63.66046712802768
2016-05-10,69.04022491349481
2016-05-11,63.66046712802768
2016-05-12,61.86721453287198
2016-05-13,54.694204152249135
2016-05-14,26.002162629757787
2016-05-15,27.795415224913498
2016-05-16,64.55709342560554
2016-05-17,67.2469723183391
2016-05-18,60.97058823529412
2016-05-19,60.97058823529412
2016-05-20,52.90095155709343
2016-05-21,26.89878892733564
2016-05-22,24.208910034602077
2016-05-23,60.97058823529412
2016-05-24,62.76384083044983
2016-05-25,61.86721453287198
2016-05-26,58.280709342560556
2016-05-27,49.31444636678201
2016-05-28,24.208910034602077
2016-05-29,22.415657439446367
2016-05-30,32.27854671280277
2016-05-31,55.590830449826996
2016-06-01,60.07396193771627
2016-06-02,60.97058823529412
2016-06-03,52.004325259515575
2016-06-04,26.002162629757787
2016-06-05,25.10553633217993
2016-06-06,60.07396193771627
2016-06-07,62.76384083044983
2016-06-08,59.17733564013841
2016-06-09,59.17733564013841
2016-06-10,54.694204152249135
2016-06-11,25.10553633217993
2016-06-12,24.208910034602077
2016-06-13,54.694204152249135
2016-06-14,60.97058823529412
2016-06-15,60.97058823529412
2016-06-16,59.17733564013841
2016-06-17,52.90095155709343
2016-06-18,26.002162629757787
2016-06-19,26.89878892733564
2016-06-20,60.97058823529412
2016-06-21,64.55709342560554
2016-06-22,69.04022491349481
2016-06-23,68.14359861591696
2016-06-24,56.48745674740485
2016-06-25,27.795415224913498
2016-06-26,28.69204152249135
2016-06-27,61.86721453287198
2016-06-28,65.4537197231834
2016-06-29,65.4537197231834
2016-06-30,62.76384083044983
2016-07-01,55.590830449826996
2016-07-02,33.175173010380625
2016-07-03,30.48529411764706
2016-07-04,36.761678200692046
2016-07-05,62.76384083044983
2016-07-06,69.93685121107266
2016-07-07,67.2469723183391
2016-07-08,56.48745674740485
2016-07-09,27.795415224913498
2016-07-10,30.48529411764706
2016-07-11,67.2469723183391
2016-07-12,65.4537197231834
2016-07-13,66.35034602076125
2016-07-14,63.66046712802768
2016-07-15,55.590830449826996
2016-07-16,29.588667820069205
2016-07-17,28.69204152249135
2016-07-18,67.2469723183391
2016-07-19,67.2469723183391
2016-07-20,68.14359861591696
2016-07-21,64.55709342560554
2016-07-22,56.48745674740485
2016-07-23,31.381920415224915
2016-07-24,30.48529411764706
2016-07-25,64.55709342560554
2016-07-26,67.2469723183391
2016-07-27,66.35034602076125
2016-07-28,65.4537197231834
2016-07-29,56.48745674740485
2016-07-30,30.48529411764706
2016-07-31,29.588667820069205
2016-08-01,64.55709342560554
2016-08-02,65.4537197231834
2016-08-03,63.66046712802768
2016-08-04,61.86721453287198
2016-08-05,58.280709342560556
2016-08-06,26.89878892733564
2016-08-07,28.69204152249135
2016-08-08,64.55709342560554
2016-08-09,65.4537197231834
2016-08-10,64.55709342560554
2016-08-11,63.66046712802768
2016-08-12,55.590830449826996
2016-08-13,27.795415224913498
2016-08-14,28.69204152249135
2016-08-15,64.55709342560554
2016-08-16,69.04022491349481
2016-08-17,65.4537197231834
2016-08-18,65.4537197231834
2016-08-19,57.3840830449827
2016-08-20,26.002162629757787
2016-08-21,27.795415224913498
2016-08-22,62.76384083044983
2016-08-23,69.04022491349481
2016-08-24,65.4537197231834
2016-08-25,67.2469723183391
2016-08-26,60.97058823529412
2016-08-27,28.69204152249135
2016-08-28,29.588667820069205
2016-08-29,65.4537197231834
2016-08-30,67.2469723183391
2016-08-31,63.66046712802768
2016-09-01,59.17733564013841
2016-09-02,51.10769896193772
2016-09-03,26.89878892733564
2016-09-04,24.208910034602077
2016-09-05,34.96842560553633
2016-09-06,64.55709342560554
2016-09-07,69.93685121107266
2016-09-08,66.35034602076125
2016-09-09,60.07396193771627
2016-09-10,29.588667820069205
2016-09-11,28.69204152249135
2016-09-12,69.04022491349481
2016-09-13,67.2469723183391
2016-09-14,69.93685121107266
2016-09-15,66.35034602076125
2016-09-16,59.17733564013841
2016-09-17,30.48529411764706
2016-09-18,30.48529411764706
2016-09-19,68.14359861591696
2016-09-20,69.93685121107266
2016-09-21,67.2469723183391
2016-09-22,67.2469723183391
2016-09-23,60.97058823529412
2016-09-24,29.588667820069205
2016-09-25,32.27854671280277
2016-09-26,68.14359861591696
2016-09-27,68.14359861591696
2016-09-28,67.2469723183391
2016-09-29,68.14359861591696
2016-09-30,63.66046712802768
2016-10-01,34.48421280276817
2016-10-02,31.190960207612456
2016-10-03,70.5201124567474
2016-10-04,76.10661764705883
2016-10-05,74.70999134948097
2016-10-06,73.31336505190312
2016-10-07,64.77854671280278
2016-10-08,34.932525951557096
2016-10-09,33.13927335640139
2016-10-10,69.07179930795849
2016-10-11,77.00324394463668
2016-10-12,80.4515570934256
2016-10-13,79.4515570934256
2016-10-14,70.07179930795849
2016-10-15,39.17409169550173
2016-10-16,39.7257785467128
2016-10-17,84.58974913494811
2016-10-18,86.98637543252596
2016-10-19,82.64143598615917
2016-10-20,80.39987024221453
2016-10-21,70.41673875432525
2016-10-22,37.82915224913495
2016-10-23,36.38083910034602
2016-10-24,81.7964965397924
2016-10-25,88.83131487889273
2016-10-26,86.98637543252596
2016-10-27,82.7964965397924
2016-10-28,70.41673875432525
2016-10-29,35.932525951557096
2016-10-30,38.777465397923876
2016-10-31,78.84818339100346
2016-11-01,81.24480968858131
2016-11-02,88.0
