date,authoritarian
2016-05-01,37.75305055200465
2016-05-02,43.02091807088902
2016-05-03,39.509006391632774
2016-05-04,55.31260894828588
2016-05-05,47.410807669959325
2016-05-06,35.119116792562465
2016-05-07,28.973271353864032
2016-05-08,38.63102847181871
2016-05-09,71.11621150493899
2016-05-10,51.800697269029634
2016-05-11,57.068564787914006
2016-05-12,50.04474142940151
2016-05-13,45.654851830331204
2016-05-14,28.09529343404997
2016-05-15,37.75305055200465
2016-05-16,43.02091807088902
2016-05-17,43.89889599070308
2016-05-18,35.99709471237652
2016-05-19,35.119116792562465
2016-05-20,34.2411388727484
2016-05-21,23.705403834979663
2016-05-22,35.119116792562465
2016-05-23,46.53282975014526
2016-05-24,50.04474142940151
2016-05-25,42.14294015107495
2016-05-26,44.77687391051714
2016-05-27,24.583381754793724
2016-05-28,50.92271934921557
2016-05-29,40.38698431144683
2016-05-30,22.827425915165602
2016-05-31,34.2411388727484
2016-06-01,20.193492155723415
2016-06-02,33.363160952934344
2016-06-03,18.437536316095294
2016-06-04,21.94944799535154
2016-06-05,35.99709471237652
2016-06-06,27.21731551423591
2016-06-07,43.89889599070308
2016-06-08,29.851249273678093
2016-06-09,26.33933759442185
2016-06-10,24.583381754793724
2016-06-11,18.437536316095294
2016-06-12,21.94944799535154
2016-06-13,21.94944799535154
2016-06-14,32.48518303312028
2016-06-15,27.21731551423591
2016-06-16,25.461359674607785
2016-06-17,28.973271353864032
2016-06-18,22.827425915165602
2016-06-19,21.94944799535154
2016-06-20,14.925624636839046
2016-06-21,17.559558396281233
2016-06-22,21.94944799535154
2016-06-23,17.559558396281233
2016-06-24,23.705403834979663
2016-06-25,20.193492155723415
2016-06-26,15.803602556653109
2016-06-27,25.461359674607785
2016-06-28,19.315514235909355
2016-06-29,22.827425915165602
2016-06-30,32.48518303312028
2016-07-01,19.315514235909355
2016-07-02,14.047646717024985
2016-07-03,19.315514235909355
2016-07-04,13.169668797210925
2016-07-05,22.827425915165602
2016-07-06,18.437536316095294
2016-07-07,25.461359674607785
2016-07-08,28.09529343404997
2016-07-09,17.559558396281233
2016-07-10,19.315514235909355
2016-07-11,23.705403834979663
2016-07-12,21.94944799535154
2016-07-13,22.827425915165602
2016-07-14,26.33933759442185
2016-07-15,28.973271353864032
2016-07-16,40.38698431144683
2016-07-17,18.437536316095294
2016-07-18,33.363160952934344
2016-07-19,26.33933759442185
2016-07-20,36.87507263219059
2016-07-21,24.583381754793724
2016-07-22,40.38698431144683
2016-07-23,33.363160952934344
2016-07-24,22.827425915165602
2016-07-25,28.09529343404997
2016-07-26,24.583381754793724
2016-07-27,34.2411388727484
2016-07-28,28.973271353864032
2016-07-29,19.315514235909355
2016-07-30,18.437536316095294
2016-07-31,13.169668797210925
2016-08-01,22.827425915165602
2016-08-02,27.21731551423591
2016-08-03,19.315514235909355
2016-08-04,31.607205113306218
2016-08-05,30.729227193492157
2016-08-06,10.535735037768738
2016-08-07,19.315514235909355
2016-08-08,23.705403834979663
2016-08-09,15.803602556653109
2016-08-10,20.193492155723415
2016-08-11,16.681580476467172
2016-08-12,20.193492155723415
2016-08-13,10.535735037768738
2016-08-14,14.925624636839046
2016-08-15,21.94944799535154
2016-08-16,17.559558396281233
2016-08-17,28.09529343404997
2016-08-18,22.827425915165602
2016-08-19,28.09529343404997
2016-08-20,11.413712957582801
2016-08-21,21.94944799535154
2016-08-22,24.583381754793724
2016-08-23,33.363160952934344
2016-08-24,30.729227193492157
2016-08-25,39.509006391632774
2016-08-26,28.973271353864032
2016-08-27,14.047646717024985
2016-08-28,24.583381754793724
2016-08-29,42.14294015107495
2016-08-30,46.53282975014526
2016-08-31,56.19058686809994
2016-09-01,36.87507263219059
2016-09-02,38.63102847181871
2016-09-03,17.559558396281233
2016-09-04,33.363160952934344
2016-09-05,29.851249273678093
2016-09-06,47.410807669959325
2016-09-07,59.702498547356186
2016-09-08,52.6786751888437
2016-09-09,55.31260894828588
2016-09-10,50.04474142940151
2016-09-11,34.2411388727484
2016-09-12,50.92271934921557
2016-09-13,50.92271934921557
2016-09-14,57.068564787914006
2016-09-15,54.43463102847182
2016-09-16,42.14294015107495
2016-09-17,25.461359674607785
2016-09-18,38.63102847181871
2016-09-19,54.43463102847182
2016-09-20,61.458454386984315
2016-09-21,42.14294015107495
2016-09-22,57.068564787914006
2016-09-23,45.654851830331204
2016-09-24,25.461359674607785
2016-09-25,29.851249273678093
2016-09-26,39.509006391632774
2016-09-27,55.31260894828588
2016-09-28,57.946542707728064
2016-09-29,45.654851830331204
2016-09-30,47.410807669959325
2016-10-01,29.669668797210925
2016-10-02,28.486635676932018
2016-10-03,38.43753631609529
2016-10-04,48.51045903544451
2016-10-05,58.72922719349216
2016-10-06,40.44944799535154
2016-10-07,42.38843695525857
2016-10-08,25.85270191748983
2016-10-09,43.44944799535154
2016-10-10,39.05955839628123
2016-10-11,79.64294015107495
2016-10-12,80.89889599070308
2016-10-13,60.668216153399186
2016-10-14,39.69349215572342
2016-10-15,23.85270191748983
2016-10-16,47.01045903544451
2016-10-17,56.6443927948867
2016-10-18,54.33933759442185
2016-10-19,62.863160952934344
2016-10-20,45.69349215572342
2016-10-21,49.33933759442185
2016-10-22,24.608657757117953
2016-10-23,38.94944799535154
2016-10-24,52.08338175479372
2016-10-25,47.571470075537476
2016-10-26,58.912260313771064
2016-10-27,50.58338175479372
2016-10-28,40.01045903544451
2016-10-29,33.74259151656014
2016-10-30,43.20540383497966
2016-10-31,59.912260313771064
2016-11-01,65.7411388727484
2016-11-02,44.0
