date,hillary clinton idiot
2016-05-01,0.0
2016-05-02,16.258890469416787
2016-05-03,0.0
2016-05-04,16.258890469416787
2016-05-05,17.16216216216216
2016-05-06,0.0
2016-05-07,19.871977240398294
2016-05-08,18.968705547652917
2016-05-09,0.0
2016-05-10,39.74395448079659
2016-05-11,16.258890469416787
2016-05-12,16.258890469416787
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,16.258890469416787
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,16.258890469416787
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,17.16216216216216
2016-05-27,0.0
2016-05-28,18.968705547652917
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,16.258890469416787
2016-06-01,0.0
2016-06-02,32.517780938833575
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,37.93741109530583
2016-06-06,16.258890469416787
2016-06-07,16.258890469416787
2016-06-08,33.42105263157895
2016-06-09,33.42105263157895
2016-06-10,25.291607396870557
2016-06-11,37.93741109530583
2016-06-12,0.0
2016-06-13,32.517780938833575
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,24.38833570412518
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,48.77667140825036
2016-06-22,16.258890469416787
2016-06-23,33.42105263157895
2016-06-24,0.0
2016-06-25,18.968705547652917
2016-06-26,18.968705547652917
2016-06-27,0.0
2016-06-28,16.258890469416787
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,17.16216216216216
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,17.16216216216216
2016-07-05,17.16216216216216
2016-07-06,17.16216216216216
2016-07-07,17.16216216216216
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,19.871977240398294
2016-07-18,16.258890469416787
2016-07-19,0.0
2016-07-20,17.16216216216216
2016-07-21,17.16216216216216
2016-07-22,17.16216216216216
2016-07-23,19.871977240398294
