date,putin scandal
2016-12-04,11.209150326797385
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,19.74945533769063
2016-12-11,0.0
2016-12-12,9.607843137254902
2016-12-13,19.74945533769063
2016-12-14,19.74945533769063
2016-12-15,14.945533769063179
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,11.742919389978212
2016-12-19,14.945533769063179
2016-12-20,10.141612200435729
2016-12-21,10.675381263616558
2016-12-22,0.0
2016-12-23,11.209150326797385
2016-12-24,12.810457516339868
2016-12-25,12.810457516339868
2016-12-26,11.209150326797385
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,22.41830065359477
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,10.675381263616558
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,10.141612200435729
2017-01-06,0.0
2017-01-07,11.209150326797385
2017-01-08,11.209150326797385
2017-01-09,0.0
2017-01-10,9.607843137254902
2017-01-11,53.37690631808278
2017-01-12,0.0
2017-01-13,19.74945533769063
2017-01-14,11.209150326797385
2017-01-15,21.884531590413943
2017-01-16,0.0
2017-01-17,14.411764705882351
2017-01-18,0.0
2017-01-19,19.74945533769063
2017-01-20,9.607843137254902
2017-01-21,33.627450980392155
2017-01-22,11.209150326797385
2017-01-23,9.607843137254902
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,9.607843137254902
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,9.607843137254902
2017-01-31,9.607843137254902
2017-02-01,9.607843137254902
2017-02-02,0.0
2017-02-03,10.141612200435729
2017-02-04,11.209150326797385
2017-02-05,0.0
2017-02-06,9.607843137254902
2017-02-07,9.607843137254902
2017-02-08,9.607843137254902
2017-02-09,0.0
2017-02-10,10.141612200435729
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,9.607843137254902
2017-02-15,19.215686274509803
2017-02-16,9.607843137254902
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,11.209150326797385
2017-02-20,9.607843137254902
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,11.209150326797385
2017-02-26,11.209150326797385
2017-02-27,0.0
2017-02-28,9.607843137254902
2017-03-01,0.0
2017-03-02,4.803921568627451
2017-03-03,0.0
2017-03-04,35.546840958605664
2017-03-05,5.337690631808279
2017-03-06,5.5
2017-03-07,5.5
2017-03-08,4.803921568627451
2017-03-09,10.303921568627452
2017-03-10,10.303921568627452
2017-03-11,12.104575163398692
2017-03-12,11.337690631808279
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,4.803921568627451
2017-03-16,10.303921568627452
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,10.303921568627452
2017-03-21,14.840958605664488
2017-03-22,5.5
2017-03-23,0.0
2017-03-24,10.570806100217865
2017-03-25,12.104575163398692
2017-03-26,11.209150326797385
2017-03-27,14.840958605664488
2017-03-28,10.303921568627452
2017-03-29,0.0
2017-03-30,5.5
2017-03-31,10.570806100217865
2017-04-01,18.604575163398692
2017-04-02,13.0
2017-04-03,11.0
2017-04-04,11.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,13.0
2017-04-09,13.0
2017-04-10,11.0
2017-04-11,11.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,13.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,12.0
2017-04-18,0.0
2017-04-19,11.0
2017-04-20,11.0
2017-04-21,12.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,11.0
2017-04-27,11.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,13.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,22.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,11.0
2017-05-18,11.0
2017-05-19,11.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,12.0
2017-05-26,24.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,34.0
2017-05-31,11.0
2017-06-01,0.0
2017-06-02,100.0
2017-06-03,33.0
