date,barack hussein obama
2016-05-01,42.53187613843352
2016-05-02,23.81785063752277
2016-05-03,33.600182149362475
2016-05-04,22.9672131147541
2016-05-05,17.012750455373407
2016-05-06,21.26593806921676
2016-05-07,15.311475409836065
2016-05-08,12.759562841530055
2016-05-09,12.759562841530055
2016-05-10,17.863387978142075
2016-05-11,21.26593806921676
2016-05-12,18.28870673952641
2016-05-13,22.541894353369763
2016-05-14,21.26593806921676
2016-05-15,18.714025500910747
2016-05-16,21.691256830601095
2016-05-17,12.33424408014572
2016-05-18,25.093806921675775
2016-05-19,12.759562841530055
2016-05-20,9.357012750455374
2016-05-21,8.506375227686704
2016-05-22,10.63296903460838
2016-05-23,10.63296903460838
2016-05-24,21.26593806921676
2016-05-25,11.058287795992713
2016-05-26,9.357012750455374
2016-05-27,17.438069216757743
2016-05-28,8.506375227686704
2016-05-29,21.691256830601095
2016-05-30,11.058287795992713
2016-05-31,16.162112932604735
2016-06-01,14.460837887067395
2016-06-02,12.759562841530055
2016-06-03,11.48360655737705
2016-06-04,11.058287795992713
2016-06-05,17.012750455373407
2016-06-06,8.931693989071038
2016-06-07,7.230418943533698
2016-06-08,14.460837887067395
2016-06-09,9.357012750455374
2016-06-10,17.012750455373407
2016-06-11,10.63296903460838
2016-06-12,35.72677595628415
2016-06-13,30.197632058287798
2016-06-14,19.56466302367942
2016-06-15,14.460837887067395
2016-06-16,23.81785063752277
2016-06-17,13.18488160291439
2016-06-18,21.691256830601095
2016-06-19,30.197632058287798
2016-06-20,18.28870673952641
2016-06-21,12.759562841530055
2016-06-22,11.058287795992713
2016-06-23,12.759562841530055
2016-06-24,9.78233151183971
2016-06-25,17.012750455373407
2016-06-26,8.506375227686704
2016-06-27,7.230418943533698
2016-06-28,7.230418943533698
2016-06-29,11.058287795992713
2016-06-30,11.058287795992713
2016-07-01,13.610200364298725
2016-07-02,15.311475409836065
2016-07-03,19.98998178506375
2016-07-04,11.48360655737705
2016-07-05,18.714025500910747
2016-07-06,24.66848816029144
2016-07-07,19.139344262295083
2016-07-08,11.48360655737705
2016-07-09,6.805100182149363
2016-07-10,17.438069216757743
2016-07-11,3.8278688524590163
2016-07-12,12.759562841530055
2016-07-13,13.18488160291439
2016-07-14,3.8278688524590163
2016-07-15,13.18488160291439
2016-07-16,8.931693989071038
2016-07-17,11.058287795992713
2016-07-18,11.058287795992713
2016-07-19,24.243169398907103
2016-07-20,17.012750455373407
2016-07-21,7.655737704918033
2016-07-22,17.438069216757743
2016-07-23,24.243169398907103
2016-07-24,30.62295081967213
2016-07-25,20.415300546448087
2016-07-26,20.415300546448087
2016-07-27,22.116575591985427
2016-07-28,29.772313296903462
2016-07-29,9.78233151183971
2016-07-30,8.931693989071038
2016-07-31,17.438069216757743
2016-08-01,18.714025500910747
2016-08-02,14.886156648451731
2016-08-03,18.714025500910747
2016-08-04,22.541894353369763
2016-08-05,25.093806921675775
2016-08-06,22.116575591985427
2016-08-07,17.438069216757743
2016-08-08,16.58743169398907
2016-08-09,12.759562841530055
2016-08-10,5.529143897996357
2016-08-11,22.541894353369763
2016-08-12,22.9672131147541
2016-08-13,11.058287795992713
2016-08-14,26.36976320582878
2016-08-15,17.438069216757743
2016-08-16,9.357012750455374
2016-08-17,9.357012750455374
2016-08-18,13.18488160291439
2016-08-19,13.18488160291439
2016-08-20,17.012750455373407
2016-08-21,10.63296903460838
2016-08-22,8.931693989071038
2016-08-23,9.357012750455374
2016-08-24,5.529143897996357
2016-08-25,11.058287795992713
2016-08-26,22.9672131147541
2016-08-27,8.506375227686704
2016-08-28,8.506375227686704
2016-08-29,14.035519125683061
2016-08-30,10.63296903460838
2016-08-31,5.529143897996357
2016-09-01,7.230418943533698
2016-09-02,13.18488160291439
2016-09-03,6.379781420765028
2016-09-04,19.139344262295083
2016-09-05,5.529143897996357
2016-09-06,10.63296903460838
2016-09-07,5.529143897996357
2016-09-08,8.931693989071038
2016-09-09,11.058287795992713
2016-09-10,4.253187613843352
2016-09-11,34.876138433515486
2016-09-12,12.759562841530055
2016-09-13,16.162112932604735
2016-09-14,8.931693989071038
2016-09-15,8.931693989071038
2016-09-16,16.58743169398907
2016-09-17,18.714025500910747
2016-09-18,14.035519125683061
2016-09-19,10.63296903460838
2016-09-20,10.207650273224044
2016-09-21,15.736794171220401
2016-09-22,14.035519125683061
2016-09-23,13.18488160291439
2016-09-24,12.33424408014572
2016-09-25,10.207650273224044
2016-09-26,12.33424408014572
2016-09-27,22.541894353369763
2016-09-28,22.9672131147541
2016-09-29,17.863387978142075
2016-09-30,9.357012750455374
2016-10-01,15.16712204007286
2016-10-02,20.3683970856102
2016-10-03,9.402550091074682
2016-10-04,18.207650273224044
2016-10-05,13.868397085610201
2016-10-06,14.31648451730419
2016-10-07,5.615209471766849
2016-10-08,9.603825136612022
2016-10-09,13.16712204007286
2016-10-10,17.56967213114754
2016-10-11,12.01775956284153
2016-10-12,16.931693989071036
2016-10-13,24.822859744990893
2016-10-14,18.63296903460838
2016-10-15,12.581056466302368
2016-10-16,17.8683970856102
2016-10-17,11.954462659380692
2016-10-18,15.506375227686704
2016-10-19,14.805100182149364
2016-10-20,21.357012750455375
2016-10-21,20.63296903460838
2016-10-22,10.454462659380692
2016-10-23,9.391165755919854
2016-10-24,12.902550091074682
2016-10-25,17.857012750455375
2016-10-26,20.707650273224044
2016-10-27,10.253187613843352
2016-10-28,11.230418943533698
2016-10-29,10.66712204007286
2016-10-30,12.103825136612022
2016-10-31,12.01775956284153
2016-11-01,15.01775956284153
2016-11-02,26.0
