date,donald trump burger
2016-05-01,6.548463356973995
2016-05-02,3.601654846335697
2016-05-03,10.804964539007091
2016-05-04,3.601654846335697
2016-05-05,22.592198581560282
2016-05-06,3.929078014184397
2016-05-07,8.840425531914892
2016-05-08,4.256501182033096
2016-05-09,10.804964539007091
2016-05-10,8.840425531914892
2016-05-11,5.238770685579196
2016-05-12,3.601654846335697
2016-05-13,3.601654846335697
2016-05-14,12.76950354609929
2016-05-15,8.513002364066192
2016-05-16,10.804964539007091
2016-05-17,5.238770685579196
2016-05-18,3.601654846335697
2016-05-19,5.566193853427896
2016-05-20,3.929078014184397
2016-05-21,4.256501182033096
2016-05-22,4.256501182033096
2016-05-23,3.601654846335697
2016-05-24,3.601654846335697
2016-05-25,7.203309692671394
2016-05-26,7.530732860520094
2016-05-27,5.8936170212765955
2016-05-28,6.548463356973995
2016-05-29,4.256501182033096
2016-05-30,3.601654846335697
2016-05-31,3.601654846335697
2016-06-01,7.203309692671394
2016-06-02,7.203309692671394
2016-06-03,5.566193853427896
2016-06-04,4.256501182033096
2016-06-05,0.0
2016-06-06,7.203309692671394
2016-06-07,0.0
2016-06-08,3.601654846335697
2016-06-09,7.530732860520094
2016-06-10,3.929078014184397
2016-06-11,0.0
2016-06-12,12.76950354609929
2016-06-13,5.238770685579196
2016-06-14,7.203309692671394
2016-06-15,7.203309692671394
2016-06-16,9.167848699763592
2016-06-17,3.929078014184397
2016-06-18,4.256501182033096
2016-06-19,4.256501182033096
2016-06-20,5.566193853427896
2016-06-21,7.203309692671394
2016-06-22,3.601654846335697
2016-06-23,3.601654846335697
2016-06-24,5.8936170212765955
2016-06-25,8.513002364066192
2016-06-26,0.0
2016-06-27,5.566193853427896
2016-06-28,5.566193853427896
2016-06-29,3.601654846335697
2016-06-30,5.566193853427896
2016-07-01,7.858156028368794
2016-07-02,4.256501182033096
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,3.929078014184397
2016-07-06,3.929078014184397
2016-07-07,7.530732860520094
2016-07-08,7.858156028368794
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,3.601654846335697
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,11.459810874704491
2016-07-16,4.256501182033096
2016-07-17,4.256501182033096
2016-07-18,16.698581560283685
2016-07-19,16.698581560283685
2016-07-20,9.495271867612292
2016-07-21,13.424349881796688
2016-07-22,11.459810874704491
2016-07-23,10.804964539007091
2016-07-24,6.548463356973995
2016-07-25,3.601654846335697
2016-07-26,5.566193853427896
2016-07-27,7.530732860520094
2016-07-28,3.601654846335697
2016-07-29,7.858156028368794
2016-07-30,13.424349881796688
2016-07-31,8.840425531914892
2016-08-01,3.601654846335697
2016-08-02,7.530732860520094
2016-08-03,5.566193853427896
2016-08-04,7.530732860520094
2016-08-05,3.929078014184397
2016-08-06,4.583924349881796
2016-08-07,4.256501182033096
2016-08-08,7.203309692671394
2016-08-09,3.601654846335697
2016-08-10,3.601654846335697
2016-08-11,0.0
2016-08-12,3.929078014184397
2016-08-13,6.548463356973995
2016-08-14,4.256501182033096
2016-08-15,9.822695035460992
2016-08-16,5.566193853427896
2016-08-17,5.566193853427896
2016-08-18,7.530732860520094
2016-08-19,7.530732860520094
2016-08-20,4.256501182033096
2016-08-21,0.0
2016-08-22,3.601654846335697
2016-08-23,3.601654846335697
2016-08-24,3.601654846335697
2016-08-25,3.601654846335697
2016-08-26,7.530732860520094
2016-08-27,4.256501182033096
2016-08-28,0.0
2016-08-29,7.203309692671394
2016-08-30,0.0
2016-08-31,10.804964539007091
2016-09-01,9.167848699763592
2016-09-02,7.530732860520094
2016-09-03,6.221040189125295
2016-09-04,4.256501182033096
2016-09-05,3.601654846335697
2016-09-06,3.601654846335697
2016-09-07,7.203309692671394
2016-09-08,3.601654846335697
2016-09-09,3.601654846335697
2016-09-10,4.256501182033096
2016-09-11,4.256501182033096
2016-09-12,5.566193853427896
2016-09-13,0.0
2016-09-14,3.601654846335697
2016-09-15,3.601654846335697
2016-09-16,9.495271867612292
2016-09-17,4.256501182033096
2016-09-18,0.0
2016-09-19,5.238770685579196
2016-09-20,8.513002364066192
2016-09-21,3.601654846335697
2016-09-22,5.238770685579196
2016-09-23,7.530732860520094
2016-09-24,4.256501182033096
2016-09-25,6.221040189125295
2016-09-26,12.44208037825059
2016-09-27,6.875886524822694
2016-09-28,6.875886524822694
2016-09-29,7.203309692671394
2016-09-30,7.530732860520094
2016-10-01,3.964539007092198
2016-10-02,5.946808510638298
2016-10-03,6.937943262411347
2016-10-04,13.256501182033096
2016-10-05,5.800827423167848
2016-10-06,4.619385342789598
2016-10-07,5.6016548463356965
2016-10-08,29.371158392434985
2016-10-09,9.575059101654846
2016-10-10,14.721040189125295
2016-10-11,7.920212765957446
2016-10-12,10.101654846335697
2016-10-13,9.920212765957446
2016-10-14,9.920212765957446
2016-10-15,1.9645390070921984
2016-10-16,9.429078014184396
2016-10-17,4.619385342789598
2016-10-18,12.375886524822693
2016-10-19,6.937943262411347
2016-10-20,16.176713947990542
2016-10-21,10.738770685579196
2016-10-22,5.946808510638298
2016-10-23,3.929078014184397
2016-10-24,6.937943262411347
2016-10-25,7.575059101654846
2016-10-26,7.256501182033096
2016-10-27,5.300827423167848
2016-10-28,6.783096926713948
2016-10-29,10.557328605200945
2016-10-30,8.592789598108746
2016-10-31,6.619385342789598
2016-11-01,7.6016548463356965
2016-11-02,9.0
2016-11-03,13.0
2016-11-04,11.0
2016-11-05,13.0
2016-11-06,12.0
2016-11-07,5.0
2016-11-08,18.0
