date,bernie sanders putin
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,11.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,10.0
2016-12-03,0.0
2016-12-04,11.0
2016-12-05,0.0
2016-12-06,10.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,19.0
2016-12-13,19.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,10.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,41.0
2016-12-21,10.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,13.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,12.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,10.0
2017-01-04,0.0
2017-01-05,20.0
2017-01-06,0.0
2017-01-07,22.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,19.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,22.0
2017-01-15,22.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,10.0
2017-01-19,0.0
2017-01-20,40.0
2017-01-21,11.0
2017-01-22,0.0
2017-01-23,9.0
2017-01-24,19.0
2017-01-25,0.0
2017-01-26,19.0
2017-01-27,20.0
2017-01-28,44.0
2017-01-29,11.0
2017-01-30,0.0
2017-01-31,9.0
2017-02-01,38.0
2017-02-02,19.0
2017-02-03,10.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,19.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,19.0
2017-02-10,10.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,9.0
2017-02-14,9.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,11.0
2017-02-19,0.0
2017-02-20,9.0
2017-02-21,0.0
2017-02-22,9.0
2017-02-23,19.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,10.0
2017-03-01,0.0
2017-03-02,4.5
2017-03-03,0.0
2017-03-04,15.033255542590432
2017-03-05,14.212952158693115
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,3.411901983663944
2017-03-10,8.411901983663943
2017-03-11,5.5
2017-03-12,0.0
2017-03-13,3.3115519253208867
2017-03-14,3.3115519253208867
2017-03-15,3.3115519253208867
2017-03-16,7.811551925320886
2017-03-17,3.512252042007001
2017-03-18,0.0
2017-03-19,3.8133022170361723
2017-03-20,7.811551925320886
2017-03-21,6.623103850641773
2017-03-22,0.0
2017-03-23,24.035005834305718
2017-03-24,5.0
2017-03-25,3.9136522753792296
2017-03-26,9.41365227537923
2017-03-27,0.0
2017-03-28,3.3115519253208867
2017-03-29,3.411901983663944
2017-03-30,3.411901983663944
2017-03-31,8.512252042007
2017-04-01,20.413652275379228
