date,donald trump benghazi
2016-05-01,2.423076923076923
2016-05-02,4.240384615384615
2016-05-03,1.817307692307692
2016-05-04,10.903846153846153
2016-05-05,6.663461538461538
2016-05-06,2.423076923076923
2016-05-07,10.298076923076922
2016-05-08,7.874999999999999
2016-05-09,4.240384615384615
2016-05-10,8.48076923076923
2016-05-11,16.96153846153846
2016-05-12,4.240384615384615
2016-05-13,4.240384615384615
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,6.663461538461538
2016-05-17,8.48076923076923
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,4.240384615384615
2016-05-21,0.0
2016-05-22,2.423076923076923
2016-05-23,2.423076923076923
2016-05-24,6.663461538461538
2016-05-25,6.663461538461538
2016-05-26,0.0
2016-05-27,2.423076923076923
2016-05-28,0.0
2016-05-29,2.423076923076923
2016-05-30,4.240384615384615
2016-05-31,0.0
2016-06-01,2.423076923076923
2016-06-02,0.0
2016-06-03,6.663461538461538
2016-06-04,2.423076923076923
2016-06-05,0.0
2016-06-06,4.240384615384615
2016-06-07,2.423076923076923
2016-06-08,4.240384615384615
2016-06-09,6.663461538461538
2016-06-10,6.663461538461538
2016-06-11,7.269230769230768
2016-06-12,9.692307692307692
2016-06-13,0.0
2016-06-14,1.817307692307692
2016-06-15,4.240384615384615
2016-06-16,0.0
2016-06-17,4.240384615384615
2016-06-18,2.423076923076923
2016-06-19,4.846153846153846
2016-06-20,4.240384615384615
2016-06-21,0.0
2016-06-22,4.240384615384615
2016-06-23,4.240384615384615
2016-06-24,4.240384615384615
2016-06-25,4.846153846153846
2016-06-26,0.0
2016-06-27,2.423076923076923
2016-06-28,38.76923076923077
2016-06-29,32.71153846153846
2016-06-30,10.903846153846153
2016-07-01,9.086538461538462
2016-07-02,2.423076923076923
2016-07-03,5.451923076923077
2016-07-04,6.663461538461538
2016-07-05,10.903846153846153
2016-07-06,2.423076923076923
2016-07-07,2.423076923076923
2016-07-08,4.846153846153846
2016-07-09,0.0
2016-07-10,4.846153846153846
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,2.423076923076923
2016-07-14,4.240384615384615
2016-07-15,4.240384615384615
2016-07-16,0.0
2016-07-17,2.423076923076923
2016-07-18,10.903846153846153
2016-07-19,49.067307692307686
2016-07-20,19.990384615384613
2016-07-21,19.990384615384613
2016-07-22,20.596153846153843
2016-07-23,18.173076923076923
2016-07-24,5.451923076923077
2016-07-25,4.240384615384615
2016-07-26,6.663461538461538
2016-07-27,15.144230769230768
2016-07-28,28.471153846153843
2016-07-29,16.35576923076923
2016-07-30,5.451923076923077
2016-07-31,7.874999999999999
2016-08-01,13.326923076923077
2016-08-02,8.48076923076923
2016-08-03,9.086538461538462
2016-08-04,6.663461538461538
2016-08-05,2.423076923076923
2016-08-06,5.451923076923077
2016-08-07,5.451923076923077
2016-08-08,0.0
2016-08-09,6.663461538461538
2016-08-10,8.48076923076923
2016-08-11,2.423076923076923
2016-08-12,4.240384615384615
2016-08-13,2.423076923076923
2016-08-14,2.423076923076923
2016-08-15,4.846153846153846
