date,assange
2016-05-01,0.9762569832402235
2016-05-02,0.9762569832402235
2016-05-03,0.9762569832402235
2016-05-04,0.9762569832402235
2016-05-05,0.9762569832402235
2016-05-06,1.952513966480447
2016-05-07,0.9762569832402235
2016-05-08,0.9762569832402235
2016-05-09,1.952513966480447
2016-05-10,1.952513966480447
2016-05-11,1.952513966480447
2016-05-12,0.9762569832402235
2016-05-13,0.9762569832402235
2016-05-14,0.9762569832402235
2016-05-15,1.952513966480447
2016-05-16,0.9762569832402235
2016-05-17,2.92877094972067
2016-05-18,0.9762569832402235
2016-05-19,0.9762569832402235
2016-05-20,0.9762569832402235
2016-05-21,0.9762569832402235
2016-05-22,0.9762569832402235
2016-05-23,0.9762569832402235
2016-05-24,0.9762569832402235
2016-05-25,1.952513966480447
2016-05-26,0.9762569832402235
2016-05-27,0.9762569832402235
2016-05-28,0.9762569832402235
2016-05-29,0.9762569832402235
2016-05-30,0.9762569832402235
2016-05-31,0.9762569832402235
2016-06-01,0.9762569832402235
2016-06-02,0.9762569832402235
2016-06-03,0.9762569832402235
2016-06-04,0.9762569832402235
2016-06-05,0.9762569832402235
2016-06-06,0.9762569832402235
2016-06-07,5.85754189944134
2016-06-08,3.905027932960894
2016-06-09,0.9762569832402235
2016-06-10,0.9762569832402235
2016-06-11,1.952513966480447
2016-06-12,0.9762569832402235
2016-06-13,1.952513966480447
2016-06-14,2.92877094972067
2016-06-15,1.952513966480447
2016-06-16,2.92877094972067
2016-06-17,1.952513966480447
2016-06-18,2.92877094972067
2016-06-19,3.905027932960894
2016-06-20,2.92877094972067
2016-06-21,1.952513966480447
2016-06-22,0.9762569832402235
2016-06-23,1.952513966480447
2016-06-24,1.952513966480447
2016-06-25,1.952513966480447
2016-06-26,1.952513966480447
2016-06-27,0.9762569832402235
2016-06-28,1.952513966480447
2016-06-29,1.952513966480447
2016-06-30,0.9762569832402235
2016-07-01,0.9762569832402235
2016-07-02,2.92877094972067
2016-07-03,0.9762569832402235
2016-07-04,0.9762569832402235
2016-07-05,2.92877094972067
2016-07-06,1.952513966480447
2016-07-07,1.952513966480447
2016-07-08,0.9762569832402235
2016-07-09,0.9762569832402235
2016-07-10,0.9762569832402235
2016-07-11,0.9762569832402235
2016-07-12,0.9762569832402235
2016-07-13,0.9762569832402235
2016-07-14,0.9762569832402235
2016-07-15,0.9762569832402235
2016-07-16,0.9762569832402235
2016-07-17,0.9762569832402235
2016-07-18,0.9762569832402235
2016-07-19,0.9762569832402235
2016-07-20,1.952513966480447
2016-07-21,0.9762569832402235
2016-07-22,1.952513966480447
2016-07-23,2.92877094972067
2016-07-24,6.833798882681564
2016-07-25,16.5963687150838
2016-07-26,13.667597765363128
2016-07-27,18.548882681564248
2016-07-28,11.71508379888268
2016-07-29,6.833798882681564
2016-07-30,13.667597765363128
2016-07-31,13.667597765363128
2016-08-01,9.762569832402235
2016-08-02,8.78631284916201
2016-08-03,6.833798882681564
2016-08-04,4.881284916201118
2016-08-05,4.881284916201118
2016-08-06,12.691340782122905
2016-08-07,10.738826815642458
2016-08-08,6.833798882681564
2016-08-09,5.85754189944134
2016-08-10,12.691340782122905
2016-08-11,14.643854748603353
2016-08-12,8.78631284916201
2016-08-13,6.833798882681564
2016-08-14,5.85754189944134
2016-08-15,4.881284916201118
2016-08-16,3.905027932960894
2016-08-17,4.881284916201118
2016-08-18,2.92877094972067
2016-08-19,2.92877094972067
2016-08-20,4.881284916201118
2016-08-21,2.92877094972067
2016-08-22,6.833798882681564
2016-08-23,7.810055865921788
2016-08-24,5.85754189944134
2016-08-25,13.667597765363128
2016-08-26,15.620111731843576
2016-08-27,6.833798882681564
2016-08-28,4.881284916201118
2016-08-29,3.905027932960894
2016-08-30,2.92877094972067
2016-08-31,3.905027932960894
2016-09-01,3.905027932960894
2016-09-02,3.905027932960894
2016-09-03,2.92877094972067
2016-09-04,3.905027932960894
2016-09-05,2.92877094972067
2016-09-06,2.92877094972067
2016-09-07,11.71508379888268
2016-09-08,8.78631284916201
2016-09-09,5.85754189944134
2016-09-10,5.85754189944134
2016-09-11,3.905027932960894
2016-09-12,2.92877094972067
2016-09-13,3.905027932960894
2016-09-14,5.85754189944134
2016-09-15,4.881284916201118
2016-09-16,8.78631284916201
2016-09-17,3.905027932960894
2016-09-18,3.905027932960894
2016-09-19,2.92877094972067
2016-09-20,2.92877094972067
2016-09-21,2.92877094972067
2016-09-22,1.952513966480447
2016-09-23,2.92877094972067
2016-09-24,2.92877094972067
2016-09-25,3.905027932960894
2016-09-26,4.881284916201118
2016-09-27,4.881284916201118
2016-09-28,3.905027932960894
2016-09-29,3.905027932960894
2016-09-30,3.905027932960894
2016-10-01,3.952513966480447
2016-10-02,12.345670391061454
2016-10-03,41.01326815642458
2016-10-04,97.33659217877096
2016-10-05,25.691340782122907
2016-10-06,12.35754189944134
2016-10-07,8.393156424581004
2016-10-08,12.345670391061454
2016-10-09,8.393156424581004
2016-10-10,7.405027932960894
2016-10-11,8.405027932960895
2016-10-12,8.393156424581004
2016-10-13,7.405027932960894
2016-10-14,5.92877094972067
2016-10-15,6.416899441340782
2016-10-16,9.881284916201118
2016-10-17,98.81284916201118
2016-10-18,65.1927374301676
2016-10-19,51.87081005586592
2016-10-20,26.179469273743017
2016-10-21,20.250698324022345
2016-10-22,24.203212290502794
2016-10-23,16.7981843575419
2016-10-24,18.274441340782126
2016-10-25,16.2981843575419
2016-10-26,12.345670391061454
2016-10-27,11.85754189944134
2016-10-28,14.821927374301676
2016-10-29,14.821927374301676
