date,ted cruz
2016-05-01,9.0
2016-05-02,10.0
2016-05-03,16.0
2016-05-04,100.0
2016-05-05,19.0
2016-05-06,9.0
2016-05-07,6.0
2016-05-08,6.0
2016-05-09,5.0
2016-05-10,5.0
2016-05-11,4.0
2016-05-12,3.0
2016-05-13,3.0
2016-05-14,2.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,2.0
2016-05-19,2.0
2016-05-20,2.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,2.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,1.0
2016-06-07,1.0
2016-06-08,2.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,1.0
2016-06-19,1.0
2016-06-20,1.0
2016-06-21,1.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,1.0
2016-06-26,1.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-02,1.0
2016-07-03,1.0
2016-07-04,1.0
2016-07-05,1.0
2016-07-06,1.0
2016-07-07,1.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,2.0
2016-07-20,4.0
2016-07-21,56.0
2016-07-22,13.0
2016-07-23,6.0
2016-07-24,3.0
2016-07-25,3.0
2016-07-26,2.0
2016-07-27,2.0
2016-07-28,2.0
2016-07-29,1.0
2016-07-30,1.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,1.0
2016-08-13,1.0
2016-08-14,1.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,1.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,0.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,1.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,1.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,1.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,1.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,1.0
2016-09-12,1.0
2016-09-13,1.0
2016-09-14,1.0
2016-09-15,1.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,1.0
2016-09-22,1.0
2016-09-23,5.0
2016-09-24,4.0
2016-09-25,2.0
2016-09-26,2.0
2016-09-27,2.0
2016-09-28,1.0
2016-09-29,1.0
2016-09-30,1.0
2016-10-01,0.9015748031496063
2016-10-02,0.9015748031496063
2016-10-03,0.8569553805774278
2016-10-04,0.26771653543307083
2016-10-05,0.8569553805774278
2016-10-06,0.9461942257217848
2016-10-07,1.2139107611548556
2016-10-08,2.3385826771653546
2016-10-09,2.2939632545931756
2016-10-10,1.9816272965879265
2016-10-11,1.258530183727034
2016-10-12,1.0800524934383202
2016-10-13,0.9908136482939632
2016-10-14,1.0354330708661417
2016-10-15,0.9461942257217848
2016-10-16,0.8569553805774278
2016-10-17,0.8569553805774278
2016-10-18,0.9461942257217848
2016-10-19,0.9461942257217848
2016-10-20,1.1246719160104988
2016-10-21,1.1246719160104988
2016-10-22,0.9461942257217848
2016-10-23,0.9015748031496063
2016-10-24,0.8569553805774278
2016-10-25,0.9015748031496063
2016-10-26,0.9015748031496063
2016-10-27,1.0354330708661417
2016-10-28,1.0354330708661417
2016-10-29,1.0354330708661417
2016-10-30,0.8569553805774278
2016-10-31,0.8569553805774278
2016-11-01,0.9461942257217848
2016-11-02,0.7139107611548556
2016-11-03,1.3385826771653544
2016-11-04,1.3385826771653544
2016-11-05,0.8923884514435696
2016-11-06,0.9816272965879265
2016-11-07,1.2493438320209973
2016-11-08,1.874015748031496
2016-11-09,4.551181102362205
2016-11-10,2.2309711286089238
2016-11-11,1.874015748031496
2016-11-12,1.963254593175853
2016-11-13,1.4278215223097113
2016-11-14,1.3385826771653544
2016-11-15,1.3385826771653544
2016-11-16,3.8372703412073492
2016-11-17,2.5879265091863517
2016-11-18,2.05249343832021
2016-11-19,1.4278215223097113
2016-11-20,0.9816272965879265
2016-11-21,0.8031496062992126
2016-11-22,0.6246719160104987
2016-11-23,0.7139107611548556
2016-11-24,0.6246719160104987
2016-11-25,0.5354330708661417
2016-11-26,0.7139107611548556
2016-11-27,0.8923884514435696
2016-11-28,0.7139107611548556
2016-11-29,0.6246719160104987
2016-11-30,0.8031496062992126
2016-12-01,0.6246719160104987
2016-12-02,0.5354330708661417
2016-12-03,0.4461942257217848
2016-12-04,0.4461942257217848
2016-12-05,0.5354330708661417
2016-12-06,0.5354330708661417
2016-12-07,0.5354330708661417
2016-12-08,0.6246719160104987
