date,food stamps
2016-05-01,46.916274694261524
2016-05-02,76.23894637817499
2016-05-03,80.1486359360301
2016-05-04,89.92285983066793
2016-05-05,79.17121354656632
2016-05-06,62.555032925682035
2016-05-07,43.0065851364064
2016-05-08,34.20978363123236
2016-05-09,71.35183443085607
2016-05-10,69.39698965192851
2016-05-11,65.48730009407338
2016-05-12,65.48730009407338
2016-05-13,54.73565380997178
2016-05-14,42.02916274694262
2016-05-15,42.02916274694262
2016-05-16,65.48730009407338
2016-05-17,61.57761053621825
2016-05-18,61.57761053621825
2016-05-19,61.57761053621825
2016-05-20,52.780809031044214
2016-05-21,37.14205079962371
2016-05-22,32.2549388523048
2016-05-23,65.48730009407338
2016-05-24,64.5098777046096
2016-05-25,58.64534336782691
2016-05-26,59.622765757290686
2016-05-27,54.73565380997178
2016-05-28,36.16462841015993
2016-05-29,35.187206020696145
2016-05-30,41.051740357478835
2016-05-31,65.48730009407338
2016-06-01,70.37441204139229
2016-06-02,68.41956726246472
2016-06-03,64.5098777046096
2016-06-04,43.98400752587018
2016-06-05,43.0065851364064
2016-06-06,72.32925682031986
2016-06-07,72.32925682031986
2016-06-08,71.35183443085607
2016-06-09,65.48730009407338
2016-06-10,62.555032925682035
2016-06-11,42.02916274694262
2016-06-12,39.09689557855127
2016-06-13,72.32925682031986
2016-06-14,69.39698965192851
2016-06-15,64.5098777046096
2016-06-16,61.57761053621825
2016-06-17,52.780809031044214
2016-06-18,36.16462841015993
2016-06-19,35.187206020696145
2016-06-20,62.555032925682035
2016-06-21,61.57761053621825
2016-06-22,60.60018814675447
2016-06-23,64.5098777046096
2016-06-24,52.780809031044214
2016-06-25,44.961429915333966
2016-06-26,61.57761053621825
2016-06-27,90.9002822201317
2016-06-28,84.05832549388523
2016-06-29,73.30667920978364
2016-06-30,70.37441204139229
2016-07-01,67.44214487300094
2016-07-02,48.87111947318909
2016-07-03,41.051740357478835
2016-07-04,35.187206020696145
2016-07-05,80.1486359360301
2016-07-06,79.17121354656632
2016-07-07,79.17121354656632
2016-07-08,69.39698965192851
2016-07-09,52.780809031044214
2016-07-10,40.07431796801505
2016-07-11,80.1486359360301
2016-07-12,73.30667920978364
2016-07-13,74.28410159924742
2016-07-14,72.32925682031986
2016-07-15,59.622765757290686
2016-07-16,45.93885230479774
2016-07-17,39.09689557855127
2016-07-18,72.32925682031986
2016-07-19,70.37441204139229
2016-07-20,65.48730009407338
2016-07-21,65.48730009407338
2016-07-22,67.44214487300094
2016-07-23,44.961429915333966
2016-07-24,42.02916274694262
2016-07-25,74.28410159924742
2016-07-26,70.37441204139229
2016-07-27,72.32925682031986
2016-07-28,71.35183443085607
2016-07-29,62.555032925682035
2016-07-30,42.02916274694262
2016-07-31,46.916274694261524
2016-08-01,84.05832549388523
2016-08-02,76.23894637817499
2016-08-03,82.10348071495767
2016-08-04,75.2615239887112
2016-08-05,69.39698965192851
2016-08-06,46.916274694261524
2016-08-07,44.961429915333966
2016-08-08,86.0131702728128
2016-08-09,75.2615239887112
2016-08-10,80.1486359360301
2016-08-11,72.32925682031986
2016-08-12,68.41956726246472
2016-08-13,51.80338664158044
2016-08-14,51.80338664158044
2016-08-15,90.9002822201317
2016-08-16,86.0131702728128
2016-08-17,88.94543744120415
2016-08-18,83.08090310442145
2016-08-19,69.39698965192851
2016-08-20,48.87111947318909
2016-08-21,47.89369708372531
2016-08-22,87.96801505174037
2016-08-23,84.05832549388523
2016-08-24,78.19379115710254
2016-08-25,73.30667920978364
2016-08-26,70.37441204139229
2016-08-27,44.961429915333966
2016-08-28,44.961429915333966
2016-08-29,78.19379115710254
2016-08-30,73.30667920978364
2016-08-31,73.30667920978364
2016-09-01,75.2615239887112
2016-09-02,67.44214487300094
2016-09-03,43.98400752587018
2016-09-04,43.0065851364064
2016-09-05,50.825964252116655
2016-09-06,85.03574788334902
2016-09-07,82.10348071495767
2016-09-08,76.23894637817499
2016-09-09,69.39698965192851
2016-09-10,46.916274694261524
2016-09-11,45.93885230479774
2016-09-12,86.0131702728128
2016-09-13,77.21636876763876
2016-09-14,73.30667920978364
2016-09-15,73.30667920978364
2016-09-16,69.39698965192851
2016-09-17,44.961429915333966
2016-09-18,39.09689557855127
2016-09-19,79.17121354656632
2016-09-20,68.41956726246472
2016-09-21,60.60018814675447
2016-09-22,61.57761053621825
2016-09-23,58.64534336782691
2016-09-24,40.07431796801505
2016-09-25,38.11947318908749
2016-09-26,66.46472248353716
2016-09-27,67.44214487300094
2016-09-28,63.53245531514582
2016-09-29,60.60018814675447
2016-09-30,70.37441204139229
2016-10-01,54.39040451552211
2016-10-02,49.43555973659454
2016-10-03,79.09689557855127
2016-10-04,79.06302916274694
2016-10-05,74.66462841015993
2016-10-06,67.22107243650046
2016-10-07,64.76622765757291
2016-10-08,56.85653809971778
2016-10-09,49.42427093132643
2016-10-10,84.01787394167451
2016-10-11,98.87111947318908
2016-10-12,86.97271872060207
2016-10-13,80.58560677328316
2016-10-14,67.24365004703668
2016-10-15,49.43555973659454
2016-10-16,45.98071495766698
2016-10-17,82.55174035747883
2016-10-18,82.02916274694262
2016-10-19,70.69849482596425
2016-10-20,73.16462841015993
2016-10-21,63.26622765757291
2016-10-22,41.5032925682032
2016-10-23,41.51458137347131
2016-10-24,72.65333960489181
2016-10-25,65.24365004703668
2016-10-26,66.70978363123237
2016-10-27,66.73236124176859
2016-10-28,56.34524929444967
2016-10-29,34.11618062088429
2016-10-30,36.548447789275635
2016-10-31,64.24365004703668
2016-11-01,72.65333960489181
2016-11-02,71.0
