date,coma
2016-05-01,66.2351729818781
2016-05-02,70.77182866556836
2016-05-03,73.49382207578253
2016-05-04,69.86449752883031
2016-05-05,71.67915980230643
2016-05-06,68.95716639209226
2016-05-07,64.42051070840198
2016-05-08,65.32784184514003
2016-05-09,73.49382207578253
2016-05-10,70.77182866556836
2016-05-11,71.67915980230643
2016-05-12,71.67915980230643
2016-05-13,69.86449752883031
2016-05-14,68.95716639209226
2016-05-15,74.4011532125206
2016-05-16,71.67915980230643
2016-05-17,73.49382207578253
2016-05-18,70.77182866556836
2016-05-19,71.67915980230643
2016-05-20,73.49382207578253
2016-05-21,63.51317957166392
2016-05-22,70.77182866556836
2016-05-23,70.77182866556836
2016-05-24,69.86449752883031
2016-05-25,68.0498352553542
2016-05-26,71.67915980230643
2016-05-27,68.0498352553542
2016-05-28,65.32784184514003
2016-05-29,75.30848434925865
2016-05-30,73.49382207578253
2016-05-31,72.58649093904448
2016-06-01,74.4011532125206
2016-06-02,73.49382207578253
2016-06-03,63.51317957166392
2016-06-04,68.95716639209226
2016-06-05,67.14250411861615
2016-06-06,74.4011532125206
2016-06-07,72.58649093904448
2016-06-08,76.2158154859967
2016-06-09,81.65980230642504
2016-06-10,68.95716639209226
2016-06-11,64.42051070840198
2016-06-12,75.30848434925865
2016-06-13,70.77182866556836
2016-06-14,68.95716639209226
2016-06-15,69.86449752883031
2016-06-16,64.42051070840198
2016-06-17,61.69851729818781
2016-06-18,63.51317957166392
2016-06-19,69.86449752883031
2016-06-20,68.0498352553542
2016-06-21,70.77182866556836
2016-06-22,69.86449752883031
2016-06-23,64.42051070840198
2016-06-24,62.60584843492586
2016-06-25,65.32784184514003
2016-06-26,72.58649093904448
2016-06-27,64.42051070840198
2016-06-28,63.51317957166392
2016-06-29,67.14250411861615
2016-06-30,64.42051070840198
2016-07-01,60.79118616144975
2016-07-02,59.88385502471169
2016-07-03,65.32784184514003
2016-07-04,67.14250411861615
2016-07-05,67.14250411861615
2016-07-06,63.51317957166392
2016-07-07,70.77182866556836
2016-07-08,61.69851729818781
2016-07-09,65.32784184514003
2016-07-10,64.42051070840198
2016-07-11,67.14250411861615
2016-07-12,66.2351729818781
2016-07-13,65.32784184514003
2016-07-14,66.2351729818781
2016-07-15,56.254530477759474
2016-07-16,62.60584843492586
2016-07-17,68.0498352553542
2016-07-18,64.42051070840198
2016-07-19,66.2351729818781
2016-07-20,61.69851729818781
2016-07-21,63.51317957166392
2016-07-22,65.32784184514003
2016-07-23,64.42051070840198
2016-07-24,65.32784184514003
2016-07-25,62.60584843492586
2016-07-26,61.69851729818781
2016-07-27,66.2351729818781
2016-07-28,62.60584843492586
2016-07-29,60.79118616144975
2016-07-30,62.60584843492586
2016-07-31,65.32784184514003
2016-08-01,60.79118616144975
2016-08-02,64.42051070840198
2016-08-03,67.14250411861615
2016-08-04,77.12314662273477
2016-08-05,85.28912685337727
2016-08-06,80.75247116968698
2016-08-07,88.01112026359144
2016-08-08,77.12314662273477
2016-08-09,75.30848434925865
2016-08-10,90.7331136738056
2016-08-11,77.12314662273477
2016-08-12,68.95716639209226
2016-08-13,64.42051070840198
2016-08-14,67.14250411861615
2016-08-15,68.0498352553542
2016-08-16,68.95716639209226
2016-08-17,73.49382207578253
2016-08-18,73.49382207578253
2016-08-19,69.86449752883031
2016-08-20,65.32784184514003
2016-08-21,63.51317957166392
2016-08-22,68.0498352553542
2016-08-23,70.77182866556836
2016-08-24,69.86449752883031
2016-08-25,73.49382207578253
2016-08-26,68.95716639209226
2016-08-27,64.42051070840198
2016-08-28,67.14250411861615
2016-08-29,69.86449752883031
2016-08-30,69.86449752883031
2016-08-31,67.14250411861615
2016-09-01,68.0498352553542
2016-09-02,65.32784184514003
2016-09-03,66.2351729818781
2016-09-04,78.93780889621087
2016-09-05,75.30848434925865
2016-09-06,75.30848434925865
2016-09-07,76.2158154859967
2016-09-08,70.77182866556836
2016-09-09,69.86449752883031
2016-09-10,65.32784184514003
2016-09-11,68.0498352553542
2016-09-12,71.67915980230643
2016-09-13,71.67915980230643
2016-09-14,75.30848434925865
2016-09-15,66.2351729818781
2016-09-16,66.2351729818781
2016-09-17,63.51317957166392
2016-09-18,68.0498352553542
2016-09-19,76.2158154859967
2016-09-20,72.58649093904448
2016-09-21,74.4011532125206
2016-09-22,72.58649093904448
2016-09-23,69.86449752883031
2016-09-24,61.69851729818781
2016-09-25,64.42051070840198
2016-09-26,74.4011532125206
2016-09-27,69.86449752883031
2016-09-28,77.12314662273477
2016-09-29,74.4011532125206
2016-09-30,68.0498352553542
2016-10-01,58.98826194398682
2016-10-02,66.11758649093905
2016-10-03,69.97858319604613
2016-10-04,72.83957990115321
2016-10-05,69.93224876441516
2016-10-06,68.47858319604613
2016-10-07,66.11758649093905
2016-10-08,62.30292421746293
2016-10-09,67.47858319604613
2016-10-10,69.88591433278418
2016-10-11,66.57125205930808
2016-10-12,68.47858319604613
2016-10-13,68.93224876441516
2016-10-14,66.16392092257001
2016-10-15,60.75658978583196
2016-10-16,63.80292421746293
2016-10-17,75.15424217462933
2016-10-18,74.2005766062603
2016-10-19,73.74691103789127
2016-10-20,68.43224876441516
2016-10-21,63.30292421746293
2016-10-22,64.16392092257001
2016-10-23,70.47858319604613
2016-10-24,80.01523887973642
2016-10-25,86.6908978583196
2016-10-26,76.60790774299835
2016-10-27,70.43224876441516
2016-10-28,70.43224876441516
2016-10-29,62.849258649093905
2016-10-30,68.43224876441516
2016-10-31,67.07125205930808
2016-11-01,64.16392092257001
2016-11-02,71.0
