date,hillary scam
2016-05-01,7.2093726379440675
2016-05-02,0.0
2016-05-03,6.071050642479214
2016-05-04,6.071050642479214
2016-05-05,6.450491307634165
2016-05-06,6.450491307634165
2016-05-07,0.0
2016-05-08,11.003779289493576
2016-05-09,6.071050642479214
2016-05-10,6.071050642479214
2016-05-11,12.142101284958429
2016-05-12,6.071050642479214
2016-05-13,12.90098261526833
2016-05-14,0.0
2016-05-15,21.628117913832202
2016-05-16,12.52154195011338
2016-05-17,6.071050642479214
2016-05-18,0.0
2016-05-19,6.071050642479214
2016-05-20,9.486016628873772
2016-05-21,7.2093726379440675
2016-05-22,0.0
2016-05-23,9.106575963718821
2016-05-24,6.071050642479214
2016-05-25,6.071050642479214
2016-05-26,19.351473922902496
2016-05-27,6.450491307634165
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,6.450491307634165
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,15.557067271352986
2016-06-03,16.31594860166289
2016-06-04,0.0
2016-06-05,14.418745275888135
2016-06-06,0.0
2016-06-07,6.071050642479214
2016-06-08,12.52154195011338
2016-06-09,18.972033257747544
2016-06-10,22.766439909297056
2016-06-11,7.2093726379440675
2016-06-12,7.2093726379440675
2016-06-13,6.071050642479214
2016-06-14,18.592592592592595
2016-06-15,6.071050642479214
2016-06-16,6.450491307634165
2016-06-17,6.450491307634165
2016-06-18,7.588813303099018
2016-06-19,14.798185941043085
2016-06-20,6.071050642479214
2016-06-21,0.0
2016-06-22,6.071050642479214
2016-06-23,12.90098261526833
2016-06-24,0.0
2016-06-25,22.00755857898715
2016-06-26,0.0
2016-06-27,9.106575963718821
2016-06-28,12.52154195011338
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,16.31594860166289
2016-07-02,7.588813303099018
2016-07-03,7.588813303099018
2016-07-04,9.865457294028722
2016-07-05,6.450491307634165
2016-07-06,12.90098261526833
2016-07-07,6.450491307634165
2016-07-08,19.730914588057445
2016-07-09,7.588813303099018
2016-07-10,7.588813303099018
2016-07-11,0.0
2016-07-12,12.52154195011338
2016-07-13,6.450491307634165
2016-07-14,0.0
2016-07-15,6.450491307634165
2016-07-16,7.588813303099018
2016-07-17,15.177626606198036
2016-07-18,6.450491307634165
2016-07-19,9.486016628873772
2016-07-20,6.450491307634165
2016-07-21,12.90098261526833
2016-07-22,9.865457294028722
2016-07-23,22.386999244142103
2016-07-24,14.798185941043085
2016-07-25,12.52154195011338
2016-07-26,28.458049886621318
2016-07-27,22.00755857898715
2016-07-28,18.972033257747544
2016-07-29,29.97581254724112
2016-07-30,18.972033257747544
2016-07-31,11.383219954648528
2016-08-01,6.450491307634165
2016-08-02,18.972033257747544
2016-08-03,0.0
2016-08-04,18.972033257747544
2016-08-05,6.450491307634165
2016-08-06,11.383219954648528
2016-08-07,0.0
2016-08-08,12.52154195011338
2016-08-09,12.52154195011338
2016-08-10,18.972033257747544
2016-08-11,6.450491307634165
2016-08-12,13.280423280423282
2016-08-13,14.798185941043085
2016-08-14,7.588813303099018
2016-08-15,6.450491307634165
2016-08-16,12.52154195011338
2016-08-17,12.52154195011338
2016-08-18,0.0
2016-08-19,26.18140589569161
2016-08-20,14.418745275888135
2016-08-21,7.2093726379440675
2016-08-22,0.0
2016-08-23,37.94406651549509
2016-08-24,6.450491307634165
2016-08-25,12.90098261526833
2016-08-26,6.450491307634165
2016-08-27,7.2093726379440675
2016-08-28,7.2093726379440675
2016-08-29,6.071050642479214
2016-08-30,9.106575963718821
2016-08-31,6.071050642479214
2016-09-01,12.52154195011338
2016-09-02,6.450491307634165
2016-09-03,11.003779289493576
2016-09-04,0.0
2016-09-05,6.450491307634165
2016-09-06,6.071050642479214
2016-09-07,15.177626606198036
2016-09-08,12.52154195011338
2016-09-09,9.486016628873772
2016-09-10,7.2093726379440675
2016-09-11,0.0
2016-09-12,21.628117913832202
2016-09-13,18.213151927437643
2016-09-14,21.24867724867725
2016-09-15,9.486016628873772
2016-09-16,12.52154195011338
2016-09-17,7.2093726379440675
2016-09-18,6.829931972789116
2016-09-19,6.071050642479214
2016-09-20,8.727135298563871
2016-09-21,6.071050642479214
2016-09-22,21.24867724867725
2016-09-23,9.486016628873772
2016-09-24,7.2093726379440675
2016-09-25,20.869236583522298
2016-09-26,17.83371126228269
2016-09-27,29.59637188208617
2016-09-28,17.83371126228269
2016-09-29,12.142101284958429
2016-09-30,9.486016628873772
2016-10-01,19.01965230536659
2016-10-02,11.414965986394558
2016-10-03,7.8635676492819355
2016-10-04,12.381330309901738
2016-10-05,27.244897959183675
2016-10-06,16.571050642479214
2016-10-07,16.10657596371882
2016-10-08,14.829931972789115
2016-10-09,9.122448979591837
2016-10-10,24.434618291761147
2016-10-11,19.416855631141345
2016-10-12,21.124338624338627
2016-10-13,17.899092970521544
2016-10-14,12.331821617535905
2016-10-15,10.829931972789115
2016-10-16,10.829931972789115
2016-10-17,5.881330309901739
2016-10-18,6.345804988662132
2016-10-19,23.090702947845806
2016-10-20,27.764550264550266
2016-10-21,24.624338624338627
2016-10-22,3.414965986394558
2016-10-23,15.414965986394558
2016-10-24,15.881330309901738
2016-10-25,16.5551776266062
2016-10-26,5.691609977324264
2016-10-27,21.399092970521544
2016-10-28,18.088813303099016
2016-10-29,18.829931972789115
2016-10-30,12.537414965986395
2016-10-31,27.005668934240365
2016-11-01,8.05328798185941
2016-11-02,41.0
2016-11-03,68.0
2016-11-04,42.0
2016-11-05,31.0
2016-11-06,15.0
2016-11-07,40.0
2016-11-08,99.0
2016-11-09,100.0
2016-11-10,34.0
