date,president obama campaign
2016-05-01,6.529953917050692
2016-05-02,11.55299539170507
2016-05-03,5.525345622119816
2016-05-04,5.525345622119816
2016-05-05,11.55299539170507
2016-05-06,6.0276497695852544
2016-05-07,6.529953917050692
2016-05-08,0.0
2016-05-09,5.525345622119816
2016-05-10,8.539170506912443
2016-05-11,22.6036866359447
2016-05-12,5.525345622119816
2016-05-13,0.0
2016-05-14,6.529953917050692
2016-05-15,6.529953917050692
2016-05-16,5.525345622119816
2016-05-17,0.0
2016-05-18,16.57603686635945
2016-05-19,11.050691244239632
2016-05-20,6.0276497695852544
2016-05-21,6.529953917050692
2016-05-22,6.529953917050692
2016-05-23,22.101382488479263
2016-05-24,11.050691244239632
2016-05-25,5.525345622119816
2016-05-26,6.0276497695852544
2016-05-27,6.0276497695852544
2016-05-28,6.529953917050692
2016-05-29,0.0
2016-05-30,11.55299539170507
2016-05-31,5.525345622119816
2016-06-01,5.525345622119816
2016-06-02,11.55299539170507
2016-06-03,6.0276497695852544
2016-06-04,6.529953917050692
2016-06-05,0.0
2016-06-06,5.525345622119816
2016-06-07,5.525345622119816
2016-06-08,5.525345622119816
2016-06-09,5.525345622119816
2016-06-10,6.0276497695852544
2016-06-11,6.529953917050692
2016-06-12,13.059907834101384
2016-06-13,11.050691244239632
2016-06-14,11.050691244239632
2016-06-15,0.0
2016-06-16,5.525345622119816
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,6.529953917050692
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,11.050691244239632
2016-06-23,11.55299539170507
2016-06-24,6.0276497695852544
2016-06-25,6.529953917050692
2016-06-26,6.529953917050692
2016-06-27,5.525345622119816
2016-06-28,8.539170506912443
2016-06-29,5.525345622119816
2016-06-30,5.525345622119816
2016-07-01,6.0276497695852544
2016-07-02,7.03225806451613
2016-07-03,0.0
2016-07-04,6.0276497695852544
2016-07-05,23.608294930875577
2016-07-06,9.04147465437788
2016-07-07,23.608294930875577
2016-07-08,6.0276497695852544
2016-07-09,10.548387096774194
2016-07-10,6.529953917050692
2016-07-11,17.078341013824886
2016-07-12,0.0
2016-07-13,5.525345622119816
2016-07-14,6.0276497695852544
2016-07-15,0.0
2016-07-16,13.562211981566822
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,14.566820276497698
2016-07-20,8.539170506912443
2016-07-21,6.0276497695852544
2016-07-22,6.0276497695852544
2016-07-23,7.03225806451613
2016-07-24,13.562211981566822
2016-07-25,5.525345622119816
2016-07-26,11.55299539170507
2016-07-27,5.525345622119816
2016-07-28,6.0276497695852544
2016-07-29,18.08294930875576
2016-07-30,7.03225806451613
2016-07-31,6.529953917050692
2016-08-01,11.55299539170507
2016-08-02,23.10599078341014
2016-08-03,6.0276497695852544
2016-08-04,17.580645161290324
2016-08-05,6.0276497695852544
2016-08-06,7.03225806451613
2016-08-07,6.529953917050692
2016-08-08,5.525345622119816
2016-08-09,17.078341013824886
2016-08-10,5.525345622119816
2016-08-11,6.0276497695852544
2016-08-12,9.04147465437788
2016-08-13,0.0
2016-08-14,7.03225806451613
2016-08-15,6.0276497695852544
2016-08-16,5.525345622119816
2016-08-17,5.525345622119816
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,13.059907834101384
2016-08-21,6.529953917050692
2016-08-22,5.525345622119816
2016-08-23,17.078341013824886
2016-08-24,5.525345622119816
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,6.529953917050692
2016-08-28,6.529953917050692
2016-08-29,8.539170506912443
2016-08-30,5.525345622119816
2016-08-31,0.0
2016-09-01,5.525345622119816
2016-09-02,6.0276497695852544
2016-09-03,0.0
2016-09-04,6.529953917050692
2016-09-05,5.525345622119816
2016-09-06,5.525345622119816
2016-09-07,0.0
2016-09-08,11.050691244239632
2016-09-09,8.539170506912443
2016-09-10,6.529953917050692
2016-09-11,6.529953917050692
2016-09-12,8.539170506912443
2016-09-13,13.562211981566822
2016-09-14,22.101382488479263
2016-09-15,22.6036866359447
2016-09-16,14.566820276497698
2016-09-17,16.07373271889401
2016-09-18,6.0276497695852544
2016-09-19,19.087557603686637
2016-09-20,10.548387096774194
2016-09-21,16.57603686635945
2016-09-22,11.050691244239632
2016-09-23,6.0276497695852544
2016-09-24,9.543778801843319
2016-09-25,12.557603686635947
2016-09-26,0.0
2016-09-27,16.07373271889401
2016-09-28,11.050691244239632
2016-09-29,11.050691244239632
2016-09-30,11.55299539170507
2016-10-01,9.513824884792626
2016-10-02,9.02073732718894
2016-10-03,7.774193548387097
2016-10-04,5.2626728110599075
2016-10-05,16.036866359447004
2016-10-06,6.518433179723503
2016-10-07,5.7626728110599075
2016-10-08,6.264976958525346
2016-10-09,7.764976958525346
2016-10-10,12.018433179723502
2016-10-11,6.518433179723503
2016-10-12,8.262672811059907
2016-10-13,12.025345622119815
2016-10-14,18.294930875576036
2016-10-15,10.778801843317973
2016-10-16,18.527649769585253
2016-10-17,10.518433179723502
2016-10-18,9.518433179723502
2016-10-19,13.536866359447005
2016-10-20,23.811059907834103
2016-10-21,12.525345622119815
2016-10-22,15.778801843317973
2016-10-23,9.02073732718894
2016-10-24,16.29953917050691
2016-10-25,18.304147465437786
2016-10-26,9.011520737327189
2016-10-27,13.536866359447005
2016-10-28,19.294930875576036
2016-10-29,42.61520737327189
2016-10-30,23.557603686635947
2016-10-31,24.806451612903228
2016-11-01,13.518433179723502
2016-11-02,32.0
2016-11-03,34.0
2016-11-04,49.0
2016-11-05,37.0
2016-11-06,54.0
2016-11-07,34.0
2016-11-08,47.0
2016-11-09,100.0
