date,trump collusion
2016-12-09,0.0
2016-12-10,2.828767123287671
2016-12-11,2.828767123287671
2016-12-12,0.9429223744292238
2016-12-13,2.828767123287671
2016-12-14,0.9429223744292238
2016-12-15,0.0
2016-12-16,1.8858447488584476
2016-12-17,1.8858447488584476
2016-12-18,0.9429223744292238
2016-12-19,1.8858447488584476
2016-12-20,0.9429223744292238
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,1.8858447488584476
2016-12-25,0.0
2016-12-26,0.9429223744292238
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,2.828767123287671
2016-12-30,0.9429223744292238
2016-12-31,1.8858447488584476
2017-01-01,0.0
2017-01-02,0.9429223744292238
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,1.8858447488584476
2017-01-07,3.771689497716895
2017-01-08,1.8858447488584476
2017-01-09,0.9429223744292238
2017-01-10,3.771689497716895
2017-01-11,19.8013698630137
2017-01-12,4.7146118721461185
2017-01-13,3.771689497716895
2017-01-14,4.7146118721461185
2017-01-15,2.828767123287671
2017-01-16,0.9429223744292238
2017-01-17,1.8858447488584476
2017-01-18,0.0
2017-01-19,0.9429223744292238
2017-01-20,1.8858447488584476
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.9429223744292238
2017-01-24,0.9429223744292238
2017-01-25,1.8858447488584476
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.9429223744292238
2017-01-29,0.9429223744292238
2017-01-30,0.9429223744292238
2017-01-31,0.9429223744292238
2017-02-01,0.9429223744292238
2017-02-02,1.8858447488584476
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.9429223744292238
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,4.7146118721461185
2017-02-12,0.9429223744292238
2017-02-13,1.8858447488584476
2017-02-14,6.600456621004566
2017-02-15,13.200913242009133
2017-02-16,12.25799086757991
2017-02-17,5.657534246575342
2017-02-18,6.600456621004566
2017-02-19,2.828767123287671
2017-02-20,2.828767123287671
2017-02-21,2.828767123287671
2017-02-22,1.8858447488584476
2017-02-23,0.9429223744292238
2017-02-24,7.54337899543379
2017-02-25,2.828767123287671
2017-02-26,0.9429223744292238
2017-02-27,0.9429223744292238
2017-02-28,1.8858447488584476
2017-03-01,1.9143835616438356
2017-03-02,1.4429223744292239
2017-03-03,3.9143835616438354
2017-03-04,5.328767123287671
2017-03-05,8.18607305936073
2017-03-06,9.68607305936073
2017-03-07,3.3858447488584478
2017-03-08,8.82876712328767
2017-03-09,12.657534246575342
2017-03-10,3.8858447488584478
2017-03-11,7.2716894977168955
2017-03-12,2.442922374429224
2017-03-13,0.9429223744292238
2017-03-14,3.3858447488584478
2017-03-15,3.3858447488584478
2017-03-16,5.857305936073059
2017-03-17,2.4143835616438354
2017-03-18,6.7716894977168955
2017-03-19,25.25799086757991
2017-03-20,97.14611872146119
2017-03-21,25.200913242009133
2017-03-22,15.486301369863014
2017-03-23,54.98744292237443
2017-03-24,30.115296803652967
2017-03-25,19.400684931506852
2017-03-26,10.128995433789955
2017-03-27,4.7716894977168955
2017-03-28,8.771689497716896
2017-03-29,9.157534246575342
2017-03-30,6.828767123287671
2017-03-31,8.18607305936073
2017-04-01,5.857305936073059
2017-04-02,0.0
2017-04-03,7.0
2017-04-04,6.0
2017-04-05,7.0
2017-04-06,9.0
2017-04-07,13.0
2017-04-08,8.0
2017-04-09,3.0
2017-04-10,11.0
2017-04-11,4.0
2017-04-12,5.0
2017-04-13,10.0
2017-04-14,21.0
2017-04-15,20.0
2017-04-16,13.0
2017-04-17,10.0
2017-04-18,11.0
2017-04-19,9.0
2017-04-20,6.0
2017-04-21,5.0
2017-04-22,7.0
2017-04-23,3.0
2017-04-24,3.0
2017-04-25,6.0
2017-04-26,3.0
2017-04-27,6.0
2017-04-28,2.0
2017-04-29,1.0
2017-04-30,3.0
2017-05-01,8.0
2017-05-02,3.0
2017-05-03,2.0
2017-05-04,5.0
2017-05-05,4.0
2017-05-06,4.0
2017-05-07,7.0
2017-05-08,9.0
2017-05-09,16.0
2017-05-10,43.0
2017-05-11,38.0
2017-05-12,30.0
2017-05-13,12.0
2017-05-14,16.0
2017-05-15,14.0
2017-05-16,12.0
2017-05-17,16.0
2017-05-18,32.0
2017-05-19,26.0
2017-05-20,12.0
2017-05-21,12.0
2017-05-22,18.0
2017-05-23,52.0
2017-05-24,37.0
2017-05-25,16.0
2017-05-26,10.0
2017-05-27,16.0
2017-05-28,9.0
2017-05-29,6.0
2017-05-30,9.0
2017-05-31,14.0
2017-06-01,15.0
2017-06-02,5.0
2017-06-03,6.0
