date,hand
2016-05-01,70.36104442121466
2016-05-02,71.16060174418301
2016-05-03,68.76192977527798
2016-05-04,70.36104442121466
2016-05-05,68.76192977527798
2016-05-06,68.76192977527798
2016-05-07,67.96237245230962
2016-05-08,69.5614870982463
2016-05-09,69.5614870982463
2016-05-10,67.96237245230962
2016-05-11,66.36325780637291
2016-05-12,66.36325780637291
2016-05-13,65.56370048340456
2016-05-14,69.5614870982463
2016-05-15,70.36104442121466
2016-05-16,68.76192977527798
2016-05-17,67.96237245230962
2016-05-18,68.76192977527798
2016-05-19,69.5614870982463
2016-05-20,67.16281512934127
2016-05-21,67.96237245230962
2016-05-22,71.16060174418301
2016-05-23,68.76192977527798
2016-05-24,69.5614870982463
2016-05-25,67.16281512934127
2016-05-26,67.96237245230962
2016-05-27,66.36325780637291
2016-05-28,66.36325780637291
2016-05-29,67.96237245230962
2016-05-30,65.56370048340456
2016-05-31,67.96237245230962
2016-06-01,66.36325780637291
2016-06-02,68.76192977527798
2016-06-03,67.16281512934127
2016-06-04,67.96237245230962
2016-06-05,69.5614870982463
2016-06-06,66.36325780637291
2016-06-07,67.16281512934127
2016-06-08,68.76192977527798
2016-06-09,67.16281512934127
2016-06-10,66.36325780637291
2016-06-11,67.16281512934127
2016-06-12,70.36104442121466
2016-06-13,70.36104442121466
2016-06-14,71.96015906715137
2016-06-15,68.76192977527798
2016-06-16,69.5614870982463
2016-06-17,66.36325780637291
2016-06-18,71.16060174418301
2016-06-19,71.96015906715137
2016-06-20,68.76192977527798
2016-06-21,70.36104442121466
2016-06-22,71.16060174418301
2016-06-23,66.36325780637291
2016-06-24,64.76414316043622
2016-06-25,67.96237245230962
2016-06-26,72.7597163901197
2016-06-27,67.96237245230962
2016-06-28,69.5614870982463
2016-06-29,71.96015906715137
2016-06-30,70.36104442121466
2016-07-01,66.36325780637291
2016-07-02,71.96015906715137
2016-07-03,74.3588310360564
2016-07-04,71.16060174418301
2016-07-05,71.96015906715137
2016-07-06,72.7597163901197
2016-07-07,70.36104442121466
2016-07-08,67.96237245230962
2016-07-09,70.36104442121466
2016-07-10,72.7597163901197
2016-07-11,71.16060174418301
2016-07-12,69.5614870982463
2016-07-13,71.96015906715137
2016-07-14,68.76192977527798
2016-07-15,67.16281512934127
2016-07-16,70.36104442121466
2016-07-17,72.7597163901197
2016-07-18,71.16060174418301
2016-07-19,67.96237245230962
2016-07-20,70.36104442121466
2016-07-21,67.96237245230962
2016-07-22,68.76192977527798
2016-07-23,69.5614870982463
2016-07-24,72.7597163901197
2016-07-25,69.5614870982463
2016-07-26,68.76192977527798
2016-07-27,69.5614870982463
2016-07-28,69.5614870982463
2016-07-29,67.96237245230962
2016-07-30,72.7597163901197
2016-07-31,72.7597163901197
2016-08-01,69.5614870982463
2016-08-02,71.16060174418301
2016-08-03,70.36104442121466
2016-08-04,67.96237245230962
2016-08-05,68.76192977527798
2016-08-06,71.96015906715137
2016-08-07,72.7597163901197
2016-08-08,71.16060174418301
2016-08-09,71.96015906715137
2016-08-10,70.36104442121466
2016-08-11,71.96015906715137
2016-08-12,69.5614870982463
2016-08-13,73.55927371308805
2016-08-14,75.9579456819931
2016-08-15,74.3588310360564
2016-08-16,72.7597163901197
2016-08-17,74.3588310360564
2016-08-18,73.55927371308805
2016-08-19,78.35661765089814
2016-08-20,79.95573229683484
2016-08-21,79.95573229683484
2016-08-22,72.7597163901197
2016-08-23,70.36104442121466
2016-08-24,71.16060174418301
2016-08-25,72.7597163901197
2016-08-26,69.5614870982463
2016-08-27,70.36104442121466
2016-08-28,71.96015906715137
2016-08-29,71.96015906715137
2016-08-30,69.5614870982463
2016-08-31,71.16060174418301
2016-09-01,71.16060174418301
2016-09-02,70.36104442121466
2016-09-03,72.7597163901197
2016-09-04,75.15838835902476
2016-09-05,67.96237245230962
2016-09-06,71.96015906715137
2016-09-07,72.7597163901197
2016-09-08,71.96015906715137
2016-09-09,71.96015906715137
2016-09-10,72.7597163901197
2016-09-11,75.9579456819931
2016-09-12,73.55927371308805
2016-09-13,72.7597163901197
2016-09-14,74.3588310360564
2016-09-15,75.15838835902476
2016-09-16,74.3588310360564
2016-09-17,71.96015906715137
2016-09-18,74.3588310360564
2016-09-19,74.3588310360564
2016-09-20,71.16060174418301
2016-09-21,71.96015906715137
2016-09-22,71.16060174418301
2016-09-23,68.76192977527798
2016-09-24,69.5614870982463
2016-09-25,75.15838835902476
2016-09-26,71.96015906715137
2016-09-27,70.36104442121466
2016-09-28,73.55927371308805
2016-09-29,71.16060174418301
2016-09-30,69.5614870982463
2016-10-01,69.71790891755597
2016-10-02,70.60348293568286
2016-10-03,71.00326159716704
2016-10-04,71.84582726771465
2016-10-05,71.0462699447463
2016-10-06,70.16069592661941
2016-10-07,68.87534324700835
2016-10-08,70.60348293568286
2016-10-09,74.77330294084167
2016-10-10,72.68839293826227
2016-10-11,71.88883561529393
2016-10-12,73.93073727029406
2016-10-13,71.84582726771465
2016-10-14,70.16069592661941
2016-10-15,73.08817159974645
2016-10-16,76.05865562045274
2016-10-17,73.57396695638916
2016-10-18,77.74378696154797
2016-10-19,74.37352427935751
2016-10-20,71.4030402586512
2016-10-21,70.16069592661941
2016-10-22,71.84582726771465
2016-10-23,73.08817159974645
2016-10-24,73.5309586088099
2016-10-25,72.68839293826227
2016-10-26,72.68839293826227
2016-10-27,72.28861427677809
2016-10-28,71.88883561529393
2016-10-29,73.1311799473257
2016-10-30,74.37352427935751
2016-10-31,70.64649128326212
2016-11-01,71.4030402586512
2016-11-02,71.73149546827794
