date,hillary nazi
2016-05-01,0.0
2016-05-02,7.014563106796117
2016-05-03,3.5072815533980584
2016-05-04,3.5072815533980584
2016-05-05,3.5072815533980584
2016-05-06,3.5072815533980584
2016-05-07,4.20873786407767
2016-05-08,0.0
2016-05-09,3.5072815533980584
2016-05-10,3.5072815533980584
2016-05-11,3.5072815533980584
2016-05-12,0.0
2016-05-13,3.5072815533980584
2016-05-14,4.20873786407767
2016-05-15,8.41747572815534
2016-05-16,3.5072815533980584
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,4.20873786407767
2016-05-23,7.014563106796117
2016-05-24,0.0
2016-05-25,3.5072815533980584
2016-05-26,3.5072815533980584
2016-05-27,3.5072815533980584
2016-05-28,4.20873786407767
2016-05-29,8.41747572815534
2016-05-30,3.5072815533980584
2016-05-31,3.5072815533980584
2016-06-01,7.014563106796117
2016-06-02,3.5072815533980584
2016-06-03,3.5072815533980584
2016-06-04,8.41747572815534
2016-06-05,0.0
2016-06-06,5.611650485436893
2016-06-07,0.0
2016-06-08,5.611650485436893
2016-06-09,5.611650485436893
2016-06-10,5.611650485436893
2016-06-11,4.20873786407767
2016-06-12,4.20873786407767
2016-06-13,8.41747572815534
2016-06-14,10.521844660194175
2016-06-15,5.611650485436893
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,4.20873786407767
2016-06-19,4.20873786407767
2016-06-20,7.014563106796117
2016-06-21,7.014563106796117
2016-06-22,3.5072815533980584
2016-06-23,10.521844660194175
2016-06-24,3.5072815533980584
2016-06-25,4.20873786407767
2016-06-26,4.20873786407767
2016-06-27,3.5072815533980584
2016-06-28,3.5072815533980584
2016-06-29,3.5072815533980584
2016-06-30,3.5072815533980584
2016-07-01,7.716019417475728
2016-07-02,6.3131067961165055
2016-07-03,8.41747572815534
2016-07-04,7.716019417475728
2016-07-05,3.5072815533980584
2016-07-06,11.223300970873787
2016-07-07,7.716019417475728
2016-07-08,7.716019417475728
2016-07-09,4.20873786407767
2016-07-10,0.0
2016-07-11,7.014563106796117
2016-07-12,7.014563106796117
2016-07-13,7.014563106796117
2016-07-14,3.5072815533980584
2016-07-15,7.716019417475728
2016-07-16,12.626213592233011
2016-07-17,0.0
2016-07-18,11.223300970873787
2016-07-19,3.5072815533980584
2016-07-20,7.014563106796117
2016-07-21,70.14563106796116
2016-07-22,50.504854368932044
2016-07-23,28.058252427184467
2016-07-24,12.626213592233011
2016-07-25,12.626213592233011
2016-07-26,10.521844660194175
2016-07-27,12.626213592233011
2016-07-28,12.626213592233011
2016-07-29,16.83495145631068
2016-07-30,4.20873786407767
2016-07-31,10.521844660194175
2016-08-01,3.5072815533980584
2016-08-02,7.014563106796117
2016-08-03,3.5072815533980584
2016-08-04,5.611650485436893
2016-08-05,7.716019417475728
2016-08-06,6.3131067961165055
2016-08-07,12.626213592233011
2016-08-08,5.611650485436893
2016-08-09,10.521844660194175
2016-08-10,5.611650485436893
2016-08-11,5.611650485436893
2016-08-12,7.716019417475728
2016-08-13,0.0
2016-08-14,4.20873786407767
2016-08-15,9.118932038834952
2016-08-16,7.014563106796117
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,3.5072815533980584
2016-08-20,4.20873786407767
2016-08-21,8.41747572815534
2016-08-22,0.0
2016-08-23,7.014563106796117
2016-08-24,0.0
2016-08-25,14.730582524271846
2016-08-26,11.223300970873787
2016-08-27,6.3131067961165055
2016-08-28,12.626213592233011
2016-08-29,3.5072815533980584
2016-08-30,3.5072815533980584
2016-08-31,7.014563106796117
2016-09-01,5.611650485436893
2016-09-02,3.5072815533980584
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,3.5072815533980584
2016-09-06,7.014563106796117
2016-09-07,3.5072815533980584
2016-09-08,7.014563106796117
2016-09-09,3.5072815533980584
2016-09-10,0.0
2016-09-11,4.20873786407767
2016-09-12,9.118932038834952
2016-09-13,11.924757281553399
2016-09-14,8.41747572815534
2016-09-15,9.118932038834952
2016-09-16,7.014563106796117
2016-09-17,8.41747572815534
2016-09-18,11.924757281553399
2016-09-19,3.5072815533980584
2016-09-20,7.014563106796117
2016-09-21,3.5072815533980584
2016-09-22,7.014563106796117
2016-09-23,3.5072815533980584
2016-09-24,4.20873786407767
2016-09-25,7.716019417475728
2016-09-26,8.41747572815534
2016-09-27,16.83495145631068
2016-09-28,11.924757281553399
2016-09-29,7.014563106796117
2016-09-30,3.5072815533980584
2016-10-01,8.462378640776699
2016-10-02,15.66383495145631
2016-10-03,1.7536407766990292
2016-10-04,10.41747572815534
2016-10-05,15.962378640776699
2016-10-06,7.260922330097087
2016-10-07,7.507281553398059
2016-10-08,4.604368932038835
2016-10-09,2.104368932038835
2016-10-10,7.962378640776699
2016-10-11,7.507281553398059
2016-10-12,15.760922330097088
2016-10-13,11.260922330097088
2016-10-14,9.507281553398059
2016-10-15,6.604368932038835
2016-10-16,6.604368932038835
2016-10-17,11.507281553398059
2016-10-18,6.663834951456311
2016-10-19,7.507281553398059
2016-10-20,15.962378640776699
2016-10-21,9.260922330097088
2016-10-22,11.16383495145631
2016-10-23,10.462378640776699
2016-10-24,13.507281553398059
2016-10-25,16.16383495145631
2016-10-26,7.156553398058253
2016-10-27,6.20873786407767
2016-10-28,7.507281553398059
2016-10-29,3.858009708737864
2016-10-30,7.410194174757281
2016-10-31,7.507281553398059
2016-11-01,8.20873786407767
2016-11-02,16.0
2016-11-03,4.0
2016-11-04,12.0
2016-11-05,4.0
2016-11-06,13.0
2016-11-07,19.0
