date,trump idiot
2016-05-01,2.9295774647887325
2016-05-02,4.394366197183099
2016-05-03,4.76056338028169
2016-05-04,8.422535211267606
2016-05-05,8.788732394366198
2016-05-06,7.323943661971831
2016-05-07,6.225352112676057
2016-05-08,4.394366197183099
2016-05-09,5.859154929577465
2016-05-10,9.15492957746479
2016-05-11,3.295774647887324
2016-05-12,5.859154929577465
2016-05-13,4.394366197183099
2016-05-14,2.563380281690141
2016-05-15,1.0985915492957747
2016-05-16,3.295774647887324
2016-05-17,2.563380281690141
2016-05-18,2.9295774647887325
2016-05-19,5.859154929577465
2016-05-20,4.76056338028169
2016-05-21,4.394366197183099
2016-05-22,3.6619718309859155
2016-05-23,3.6619718309859155
2016-05-24,3.6619718309859155
2016-05-25,4.76056338028169
2016-05-26,4.394366197183099
2016-05-27,7.690140845070423
2016-05-28,5.492957746478873
2016-05-29,5.492957746478873
2016-05-30,4.394366197183099
2016-05-31,3.6619718309859155
2016-06-01,2.563380281690141
2016-06-02,5.492957746478873
2016-06-03,6.225352112676057
2016-06-04,7.690140845070423
2016-06-05,6.225352112676057
2016-06-06,8.788732394366198
2016-06-07,7.323943661971831
2016-06-08,6.95774647887324
2016-06-09,8.056338028169014
2016-06-10,4.028169014084507
2016-06-11,2.9295774647887325
2016-06-12,5.492957746478873
2016-06-13,10.985915492957746
2016-06-14,7.323943661971831
2016-06-15,7.323943661971831
2016-06-16,5.126760563380282
2016-06-17,3.295774647887324
2016-06-18,6.225352112676057
2016-06-19,6.225352112676057
2016-06-20,3.6619718309859155
2016-06-21,4.76056338028169
2016-06-22,6.225352112676057
2016-06-23,4.394366197183099
2016-06-24,11.71830985915493
2016-06-25,6.95774647887324
2016-06-26,8.788732394366198
2016-06-27,7.323943661971831
2016-06-28,6.95774647887324
2016-06-29,3.6619718309859155
2016-06-30,6.591549295774648
2016-07-01,1.0985915492957747
2016-07-02,2.563380281690141
2016-07-03,6.225352112676057
2016-07-04,5.126760563380282
2016-07-05,4.76056338028169
2016-07-06,5.492957746478873
2016-07-07,5.126760563380282
2016-07-08,5.126760563380282
2016-07-09,4.394366197183099
2016-07-10,1.0985915492957747
2016-07-11,4.394366197183099
2016-07-12,3.6619718309859155
2016-07-13,1.4647887323943662
2016-07-14,7.690140845070423
2016-07-15,4.394366197183099
2016-07-16,3.6619718309859155
2016-07-17,5.859154929577465
2016-07-18,4.76056338028169
2016-07-19,15.746478873239438
2016-07-20,12.084507042253522
2016-07-21,15.380281690140846
2016-07-22,16.845070422535212
2016-07-23,6.95774647887324
2016-07-24,5.859154929577465
2016-07-25,4.76056338028169
2016-07-26,7.323943661971831
2016-07-27,10.253521126760564
2016-07-28,16.112676056338028
2016-07-29,16.47887323943662
2016-07-30,11.71830985915493
2016-07-31,15.014084507042254
2016-08-01,18.30985915492958
2016-08-02,14.647887323943662
2016-08-03,13.91549295774648
2016-08-04,16.112676056338028
2016-08-05,11.352112676056338
2016-08-06,7.690140845070423
2016-08-07,7.690140845070423
2016-08-08,9.52112676056338
2016-08-09,4.76056338028169
2016-08-10,10.619718309859156
2016-08-11,10.253521126760564
2016-08-12,6.591549295774648
2016-08-13,6.95774647887324
2016-08-14,8.788732394366198
2016-08-15,8.788732394366198
2016-08-16,4.394366197183099
2016-08-17,7.323943661971831
2016-08-18,3.295774647887324
2016-08-19,6.225352112676057
2016-08-20,14.647887323943662
2016-08-21,1.8309859154929577
2016-08-22,5.126760563380282
2016-08-23,5.859154929577465
2016-08-24,4.394366197183099
2016-08-25,5.859154929577465
2016-08-26,7.323943661971831
2016-08-27,6.225352112676057
2016-08-28,4.394366197183099
2016-08-29,3.295774647887324
2016-08-30,2.9295774647887325
2016-08-31,3.6619718309859155
2016-09-01,7.323943661971831
2016-09-02,4.394366197183099
2016-09-03,2.9295774647887325
2016-09-04,3.6619718309859155
2016-09-05,1.0985915492957747
2016-09-06,5.126760563380282
2016-09-07,2.9295774647887325
2016-09-08,10.619718309859156
2016-09-09,7.323943661971831
2016-09-10,6.591549295774648
2016-09-11,4.028169014084507
2016-09-12,3.295774647887324
2016-09-13,3.6619718309859155
2016-09-14,2.9295774647887325
2016-09-15,5.859154929577465
2016-09-16,5.492957746478873
2016-09-17,7.690140845070423
2016-09-18,5.859154929577465
2016-09-19,2.9295774647887325
2016-09-20,5.492957746478873
2016-09-21,1.4647887323943662
2016-09-22,4.028169014084507
2016-09-23,5.492957746478873
2016-09-24,4.028169014084507
2016-09-25,4.76056338028169
2016-09-26,4.028169014084507
2016-09-27,36.61971830985916
2016-09-28,15.746478873239438
2016-09-29,11.71830985915493
2016-09-30,11.352112676056338
2016-10-01,7.028169014084507
2016-10-02,11.211267605633804
2016-10-03,6.97887323943662
2016-10-04,8.211267605633804
2016-10-05,6.577464788732395
2016-10-06,5.295774647887324
2016-10-07,4.112676056338028
2016-10-08,14.73943661971831
2016-10-09,16.408450704225352
2016-10-10,32.78169014084507
2016-10-11,14.274647887323944
2016-10-12,11.908450704225352
2016-10-13,9.859154929577464
2016-10-14,12.823943661971832
2016-10-15,11.859154929577464
2016-10-16,9.626760563380282
2016-10-17,10.26056338028169
2016-10-18,12.95774647887324
2016-10-19,8.76056338028169
2016-10-20,31.514084507042256
2016-10-21,9.176056338028168
2016-10-22,7.161971830985916
2016-10-23,6.47887323943662
2016-10-24,9.429577464788732
2016-10-25,6.112676056338028
2016-10-26,6.429577464788732
2016-10-27,11.26056338028169
2016-10-28,6.063380281690141
2016-10-29,5.063380281690141
2016-10-30,3.563380281690141
2016-10-31,10.626760563380282
