date,vladimir putin book
2016-05-01,17.442193087008345
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,15.181168057210966
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,14.535160905840288
2016-05-11,0.0
2016-05-12,14.858164481525627
2016-05-13,15.504171632896306
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,15.181168057210966
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,15.827175208581647
2016-05-28,17.765196662693686
2016-05-29,0.0
2016-05-30,15.181168057210966
2016-05-31,0.0
2016-06-01,14.858164481525627
2016-06-02,15.181168057210966
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,29.393325387365913
2016-06-08,15.181168057210966
2016-06-09,0.0
2016-06-10,15.504171632896306
2016-06-11,0.0
2016-06-12,17.442193087008345
2016-06-13,0.0
2016-06-14,29.716328963051254
2016-06-15,0.0
2016-06-16,15.181168057210966
2016-06-17,0.0
2016-06-18,17.765196662693686
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,17.765196662693686
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,15.181168057210966
2016-06-29,14.858164481525627
2016-06-30,15.181168057210966
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,16.150178784266984
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,17.765196662693686
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,15.504171632896306
2016-07-21,0.0
2016-07-22,15.827175208581647
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,15.181168057210966
2016-07-27,15.181168057210966
2016-07-28,15.181168057210966
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,17.765196662693686
2016-08-01,0.0
2016-08-02,0.0
