date,trump dumb
2016-05-01,1.3048245614035088
2016-05-02,1.8640350877192982
2016-05-03,2.6096491228070176
2016-05-04,5.7785087719298245
2016-05-05,6.337719298245614
2016-05-06,2.6096491228070176
2016-05-07,3.3552631578947367
2016-05-08,2.6096491228070176
2016-05-09,2.7960526315789473
2016-05-10,2.7960526315789473
2016-05-11,3.3552631578947367
2016-05-12,1.8640350877192982
2016-05-13,2.982456140350877
2016-05-14,1.3048245614035088
2016-05-15,1.3048245614035088
2016-05-16,2.050438596491228
2016-05-17,1.8640350877192982
2016-05-18,1.6776315789473684
2016-05-19,1.4912280701754386
2016-05-20,1.4912280701754386
2016-05-21,0.9320175438596491
2016-05-22,0.9320175438596491
2016-05-23,1.4912280701754386
2016-05-24,1.118421052631579
2016-05-25,2.050438596491228
2016-05-26,1.3048245614035088
2016-05-27,1.3048245614035088
2016-05-28,1.3048245614035088
2016-05-29,1.8640350877192982
2016-05-30,1.6776315789473684
2016-05-31,1.118421052631579
2016-06-01,2.4232456140350878
2016-06-02,2.050438596491228
2016-06-03,2.050438596491228
2016-06-04,2.050438596491228
2016-06-05,1.4912280701754386
2016-06-06,1.3048245614035088
2016-06-07,2.050438596491228
2016-06-08,4.100877192982456
2016-06-09,2.4232456140350878
2016-06-10,2.7960526315789473
2016-06-11,1.6776315789473684
2016-06-12,1.6776315789473684
2016-06-13,4.100877192982456
2016-06-14,1.4912280701754386
2016-06-15,1.4912280701754386
2016-06-16,1.118421052631579
2016-06-17,1.4912280701754386
2016-06-18,2.050438596491228
2016-06-19,2.050438596491228
2016-06-20,1.118421052631579
2016-06-21,1.8640350877192982
2016-06-22,1.6776315789473684
2016-06-23,1.6776315789473684
2016-06-24,2.236842105263158
2016-06-25,3.5416666666666665
2016-06-26,2.236842105263158
2016-06-27,1.6776315789473684
2016-06-28,2.4232456140350878
2016-06-29,1.4912280701754386
2016-06-30,1.8640350877192982
2016-07-01,2.982456140350877
2016-07-02,1.118421052631579
2016-07-03,1.118421052631579
2016-07-04,1.4912280701754386
2016-07-05,1.4912280701754386
2016-07-06,2.236842105263158
2016-07-07,1.6776315789473684
2016-07-08,0.9320175438596491
2016-07-09,1.6776315789473684
2016-07-10,1.8640350877192982
2016-07-11,1.118421052631579
2016-07-12,2.7960526315789473
2016-07-13,0.9320175438596491
2016-07-14,2.7960526315789473
2016-07-15,2.7960526315789473
2016-07-16,3.3552631578947367
2016-07-17,4.100877192982456
2016-07-18,6.337719298245614
2016-07-19,12.302631578947368
2016-07-20,12.489035087719298
2016-07-21,13.793859649122806
2016-07-22,18.640350877192983
2016-07-23,12.302631578947368
2016-07-24,9.692982456140351
2016-07-25,7.269736842105263
2016-07-26,7.269736842105263
2016-07-27,6.337719298245614
2016-07-28,7.642543859649122
2016-07-29,5.405701754385965
2016-07-30,4.287280701754386
2016-07-31,5.7785087719298245
2016-08-01,3.168859649122807
2016-08-02,4.473684210526316
2016-08-03,6.524122807017544
2016-08-04,5.032894736842105
2016-08-05,2.982456140350877
2016-08-06,4.287280701754386
2016-08-07,2.4232456140350878
2016-08-08,3.5416666666666665
2016-08-09,3.5416666666666665
2016-08-10,4.660087719298246
2016-08-11,5.219298245614035
2016-08-12,4.287280701754386
2016-08-13,2.236842105263158
2016-08-14,2.7960526315789473
2016-08-15,1.6776315789473684
2016-08-16,2.6096491228070176
2016-08-17,2.6096491228070176
2016-08-18,2.982456140350877
2016-08-19,1.6776315789473684
2016-08-20,1.6776315789473684
2016-08-21,2.236842105263158
2016-08-22,2.4232456140350878
2016-08-23,2.236842105263158
2016-08-24,1.8640350877192982
2016-08-25,3.5416666666666665
2016-08-26,2.050438596491228
2016-08-27,1.6776315789473684
2016-08-28,2.050438596491228
2016-08-29,1.4912280701754386
2016-08-30,2.4232456140350878
2016-08-31,3.914473684210526
2016-09-01,3.5416666666666665
2016-09-02,2.050438596491228
2016-09-03,2.050438596491228
2016-09-04,1.8640350877192982
2016-09-05,0.9320175438596491
2016-09-06,1.118421052631579
2016-09-07,2.050438596491228
2016-09-08,2.050438596491228
2016-09-09,2.7960526315789473
2016-09-10,2.236842105263158
2016-09-11,1.4912280701754386
2016-09-12,2.050438596491228
2016-09-13,2.236842105263158
2016-09-14,3.7280701754385963
2016-09-15,1.118421052631579
2016-09-16,2.050438596491228
2016-09-17,1.8640350877192982
2016-09-18,1.4912280701754386
2016-09-19,1.3048245614035088
2016-09-20,2.236842105263158
2016-09-21,3.7280701754385963
2016-09-22,10.625
2016-09-23,6.896929824561403
2016-09-24,4.660087719298246
2016-09-25,3.168859649122807
2016-09-26,4.100877192982456
2016-09-27,11.557017543859649
2016-09-28,5.405701754385965
2016-09-29,5.7785087719298245
2016-09-30,5.592105263157895
2016-10-01,4.364035087719298
2016-10-02,5.2368421052631575
2016-10-03,4.423245614035087
2016-10-04,4.330043859649123
2016-10-05,4.7368421052631575
2016-10-06,2.4912280701754383
2016-10-07,2.8980263157894735
2016-10-08,4.609649122807017
2016-10-09,6.855263157894736
2016-10-10,11.930921052631579
2016-10-11,6.762061403508772
2016-10-12,6.1688596491228065
2016-10-13,5.423245614035087
2016-10-14,7.321271929824562
2016-10-15,4.609649122807017
2016-10-16,4.550438596491228
2016-10-17,4.423245614035087
2016-10-18,7.041666666666666
2016-10-19,5.202850877192983
2016-10-20,12.744517543859649
2016-10-21,6.262061403508772
2016-10-22,4.7368421052631575
2016-10-23,5.202850877192983
2016-10-24,4.270833333333333
2016-10-25,4.1436403508771935
2016-10-26,3.957236842105263
2016-10-27,4.423245614035087
