date,obama crime
2016-05-01,4.019559902200489
2016-05-02,6.699266503667482
2016-05-03,6.699266503667482
2016-05-04,13.398533007334963
2016-05-05,0.0
2016-05-06,7.36919315403423
2016-05-07,12.058679706601467
2016-05-08,0.0
2016-05-09,3.349633251833741
2016-05-10,10.048899755501223
2016-05-11,3.349633251833741
2016-05-12,3.349633251833741
2016-05-13,3.349633251833741
2016-05-14,11.388753056234718
2016-05-15,4.019559902200489
2016-05-16,3.349633251833741
2016-05-17,13.398533007334963
2016-05-18,6.699266503667482
2016-05-19,6.699266503667482
2016-05-20,6.699266503667482
2016-05-21,0.0
2016-05-22,4.019559902200489
2016-05-23,6.699266503667482
2016-05-24,3.349633251833741
2016-05-25,10.048899755501223
2016-05-26,6.699266503667482
2016-05-27,7.36919315403423
2016-05-28,4.019559902200489
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,3.349633251833741
2016-06-01,0.0
2016-06-02,10.048899755501223
2016-06-03,0.0
2016-06-04,4.019559902200489
2016-06-05,12.058679706601467
2016-06-06,13.398533007334963
2016-06-07,3.349633251833741
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,3.349633251833741
2016-06-11,4.019559902200489
2016-06-12,23.447432762836186
2016-06-13,13.398533007334963
2016-06-14,13.398533007334963
2016-06-15,13.398533007334963
2016-06-16,10.048899755501223
2016-06-17,6.699266503667482
2016-06-18,8.039119804400977
2016-06-19,12.058679706601467
2016-06-20,3.349633251833741
2016-06-21,6.699266503667482
2016-06-22,3.349633251833741
2016-06-23,0.0
2016-06-24,6.699266503667482
2016-06-25,8.039119804400977
2016-06-26,4.019559902200489
2016-06-27,3.349633251833741
2016-06-28,0.0
2016-06-29,3.349633251833741
2016-06-30,10.048899755501223
2016-07-01,3.349633251833741
2016-07-02,4.019559902200489
2016-07-03,0.0
2016-07-04,7.36919315403423
2016-07-05,0.0
2016-07-06,3.349633251833741
2016-07-07,7.36919315403423
2016-07-08,32.82640586797066
2016-07-09,24.117359413202934
2016-07-10,24.117359413202934
2016-07-11,20.767726161369193
2016-07-12,13.398533007334963
2016-07-13,17.418092909535453
2016-07-14,14.06845965770171
2016-07-15,10.71882640586797
2016-07-16,4.019559902200489
2016-07-17,12.058679706601467
2016-07-18,20.767726161369193
2016-07-19,27.466992665036674
2016-07-20,10.048899755501223
2016-07-21,10.71882640586797
2016-07-22,60.293398533007334
2016-07-23,44.215158924205376
2016-07-24,16.078239608801955
2016-07-25,20.097799511002446
2016-07-26,20.097799511002446
2016-07-27,27.466992665036674
2016-07-28,17.418092909535453
2016-07-29,7.36919315403423
2016-07-30,20.767726161369193
2016-07-31,12.058679706601467
2016-08-01,3.349633251833741
2016-08-02,6.699266503667482
2016-08-03,3.349633251833741
2016-08-04,6.699266503667482
2016-08-05,10.71882640586797
2016-08-06,8.039119804400977
2016-08-07,4.019559902200489
2016-08-08,10.048899755501223
2016-08-09,3.349633251833741
2016-08-10,6.699266503667482
2016-08-11,6.699266503667482
2016-08-12,3.349633251833741
2016-08-13,12.058679706601467
2016-08-14,4.019559902200489
2016-08-15,7.36919315403423
2016-08-16,6.699266503667482
2016-08-17,13.398533007334963
2016-08-18,3.349633251833741
2016-08-19,7.36919315403423
2016-08-20,8.039119804400977
2016-08-21,4.019559902200489
2016-08-22,6.699266503667482
2016-08-23,6.699266503667482
2016-08-24,6.699266503667482
2016-08-25,34.16625916870416
2016-08-26,7.36919315403423
2016-08-27,16.078239608801955
2016-08-28,8.039119804400977
2016-08-29,6.699266503667482
2016-08-30,6.699266503667482
2016-08-31,19.427872860635695
2016-09-01,3.349633251833741
2016-09-02,0.0
2016-09-03,8.039119804400977
2016-09-04,4.019559902200489
2016-09-05,14.06845965770171
2016-09-06,19.427872860635695
2016-09-07,13.398533007334963
2016-09-08,6.699266503667482
2016-09-09,3.349633251833741
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,10.048899755501223
2016-09-13,6.699266503667482
2016-09-14,0.0
2016-09-15,3.349633251833741
2016-09-16,6.699266503667482
2016-09-17,11.388753056234718
2016-09-18,4.019559902200489
2016-09-19,3.349633251833741
2016-09-20,12.728606356968214
2016-09-21,6.699266503667482
2016-09-22,10.048899755501223
2016-09-23,13.398533007334963
2016-09-24,11.388753056234718
2016-09-25,0.0
2016-09-26,12.728606356968214
2016-09-27,66.99266503667481
2016-09-28,19.427872860635695
2016-09-29,6.699266503667482
2016-09-30,10.048899755501223
2016-10-01,11.19437652811736
2016-10-02,10.86919315403423
2016-10-03,3.349633251833741
2016-10-04,13.864303178484107
2016-10-05,7.689486552567237
2016-10-06,4.67481662591687
2016-10-07,13.19926650366748
2016-10-08,2.0097799511002443
2016-10-09,11.19437652811736
2016-10-10,16.213936430317847
2016-10-11,9.34963325183374
2016-10-12,14.874083129584351
2016-10-13,3.0
2016-10-14,9.84963325183374
2016-10-15,9.184596577017114
2016-10-16,12.86919315403423
2016-10-17,10.689486552567237
2016-10-18,7.689486552567237
2016-10-19,7.514669926650367
2016-10-20,15.539119804400977
2016-10-21,7.84963325183374
2016-10-22,0.0
2016-10-23,12.359413202933986
2016-10-24,7.689486552567237
2016-10-25,10.689486552567237
2016-10-26,9.014669926650367
2016-10-27,6.189486552567237
2016-10-28,10.864303178484107
2016-10-29,2.0
2016-10-30,0.0
2016-10-31,4.67481662591687
2016-11-01,7.84963325183374
2016-11-02,25.0
2016-11-03,6.0
2016-11-04,16.0
2016-11-05,14.0
2016-11-06,3.0
2016-11-07,9.0
2016-11-08,12.0
2016-11-09,50.0
2016-11-10,30.0
