date,donald trump moron
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,24.914616497829233
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,15.182344428364688
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,12.457308248914616
2016-05-11,0.0
2016-05-12,12.846599131693198
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,12.457308248914616
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,12.457308248914616
2016-05-25,12.846599131693198
2016-05-26,13.23589001447178
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,12.846599131693198
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,13.23589001447178
2016-06-04,15.182344428364688
2016-06-05,14.793053545586107
2016-06-06,0.0
2016-06-07,12.846599131693198
2016-06-08,12.846599131693198
2016-06-09,26.082489146164978
2016-06-10,13.23589001447178
2016-06-11,14.793053545586107
2016-06-12,14.793053545586107
2016-06-13,18.685962373371925
2016-06-14,12.457308248914616
2016-06-15,0.0
2016-06-16,26.082489146164978
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,12.846599131693198
2016-06-21,12.846599131693198
2016-06-22,12.846599131693198
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,30.364688856729376
2016-06-26,30.364688856729376
2016-06-27,12.846599131693198
2016-06-28,0.0
2016-06-29,12.846599131693198
2016-06-30,0.0
2016-07-01,13.625180897250361
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,13.23589001447178
2016-07-06,26.86107091172214
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,13.23589001447178
2016-07-12,0.0
2016-07-13,12.846599131693198
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,15.57163531114327
2016-07-18,25.693198263386396
2016-07-19,13.23589001447178
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,22.968162083936324
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,19.46454413892909
2016-07-28,13.23589001447178
2016-07-29,27.250361794500723
2016-07-30,15.57163531114327
2016-07-31,0.0
2016-08-01,26.082489146164978
2016-08-02,12.846599131693198
2016-08-03,13.23589001447178
2016-08-04,0.0
2016-08-05,27.250361794500723
2016-08-06,15.57163531114327
2016-08-07,30.753979739507958
2016-08-08,0.0
2016-08-09,12.846599131693198
2016-08-10,25.693198263386396
2016-08-11,13.23589001447178
2016-08-12,13.23589001447178
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,13.23589001447178
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,26.86107091172214
2016-08-27,0.0
2016-08-28,15.182344428364688
2016-08-29,0.0
2016-08-30,24.914616497829233
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,12.457308248914616
2016-09-08,12.846599131693198
2016-09-09,12.846599131693198
2016-09-10,14.793053545586107
2016-09-11,14.403762662807525
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,12.846599131693198
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,12.068017366136035
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,12.457308248914616
2016-09-23,38.92908827785818
2016-09-24,14.403762662807525
2016-09-25,14.403762662807525
2016-09-26,12.457308248914616
2016-09-27,18.296671490593344
2016-09-28,12.457308248914616
2016-09-29,12.457308248914616
2016-09-30,12.846599131693198
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,9.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,15.728654124457307
2016-10-08,21.705499276410997
2016-10-09,7.201881331403762
2016-10-10,34.37698986975398
2016-10-11,15.034008683068016
2016-10-12,28.34298118668596
2016-10-13,0.0
2016-10-14,21.957308248914615
2016-10-15,7.201881331403762
2016-10-16,10.510853835021708
2016-10-17,0.0
2016-10-18,6.034008683068017
2016-10-19,12.068017366136035
2016-10-20,30.568017366136033
2016-10-21,15.728654124457307
2016-10-22,7.007235890014472
2016-10-23,0.0
2016-10-24,6.034008683068017
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,9.5
2016-10-29,11.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,18.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,21.0
2016-11-06,41.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,100.0
2016-11-10,37.0
2016-11-11,0.0
2016-11-12,64.0
2016-11-13,0.0
2016-11-14,36.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,18.0
2016-11-18,0.0
2016-11-19,21.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,18.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,19.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,21.0
2016-12-19,0.0
2016-12-20,19.0
2016-12-21,19.0
2016-12-22,0.0
2016-12-23,20.0
2016-12-24,23.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,19.0
2016-12-29,19.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,46.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,18.0
2017-01-06,0.0
2017-01-07,20.0
2017-01-08,20.0
2017-01-09,18.0
2017-01-10,0.0
2017-01-11,17.0
2017-01-12,0.0
2017-01-13,18.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,20.0
2017-01-22,20.0
2017-01-23,17.0
2017-01-24,17.0
2017-01-25,17.0
2017-01-26,18.0
2017-01-27,18.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,17.0
