date,obama benghazi
2016-12-17,18.944818304172276
2016-12-18,4.942126514131898
2016-12-19,8.236877523553163
2016-12-20,62.600269179004044
2016-12-21,42.008075370121134
2016-12-22,9.06056527590848
2016-12-23,0.0
2016-12-24,15.650067294751011
2016-12-25,4.942126514131898
2016-12-26,4.942126514131898
2016-12-27,4.118438761776582
2016-12-28,4.118438761776582
2016-12-29,4.118438761776582
2016-12-30,9.06056527590848
2016-12-31,9.884253028263796
2017-01-01,4.942126514131898
2017-01-02,13.179004037685061
2017-01-03,8.236877523553163
2017-01-04,15.650067294751011
2017-01-05,12.355316285329746
2017-01-06,16.473755047106327
2017-01-07,0.0
2017-01-08,4.118438761776582
2017-01-09,15.650067294751011
2017-01-10,4.118438761776582
2017-01-11,8.236877523553163
2017-01-12,4.118438761776582
2017-01-13,4.118438761776582
2017-01-14,18.12113055181696
2017-01-15,18.12113055181696
2017-01-16,4.118438761776582
2017-01-17,4.118438761776582
2017-01-18,4.118438761776582
2017-01-19,15.650067294751011
2017-01-20,32.123822341857334
2017-01-21,9.06056527590848
2017-01-22,13.179004037685061
2017-01-23,18.944818304172276
2017-01-24,15.650067294751011
2017-01-25,7.413189771197847
2017-01-26,8.236877523553163
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,4.118438761776582
2017-01-30,18.944818304172276
2017-01-31,4.118438761776582
2017-02-01,0.0
2017-02-02,15.650067294751011
2017-02-03,12.355316285329746
2017-02-04,27.181695827725438
2017-02-05,9.06056527590848
2017-02-06,15.650067294751011
2017-02-07,7.413189771197847
2017-02-08,7.413189771197847
2017-02-09,4.118438761776582
2017-02-10,4.118438761776582
2017-02-11,4.118438761776582
2017-02-12,0.0
2017-02-13,11.531628532974429
2017-02-14,4.118438761776582
2017-02-15,15.650067294751011
2017-02-16,18.944818304172276
2017-02-17,8.236877523553163
2017-02-18,13.179004037685061
2017-02-19,4.118438761776582
2017-02-20,0.0
2017-02-21,4.118438761776582
2017-02-22,4.118438761776582
2017-02-23,4.118438761776582
2017-02-24,4.118438761776582
2017-02-25,22.23956931359354
2017-02-26,4.118438761776582
2017-02-27,11.531628532974429
2017-02-28,11.531628532974429
2017-03-01,19.869250644633674
2017-03-02,25.61491599349967
2017-03-03,10.66844890208153
2017-03-04,8.980775562128464
2017-03-05,8.876807147202989
2017-03-06,7.865331482617938
2017-03-07,4.138587679397798
2017-03-08,6.825647333363184
2017-03-09,3.1190524477642603
2017-03-10,4.242556094323273
2017-03-11,5.698113903279928
2017-03-12,6.737798052534682
2017-03-13,4.138587679397798
2017-03-14,0.0
2017-03-15,9.924550863506228
2017-03-16,7.865331482617938
2017-03-17,2.059219380888291
2017-03-18,4.450492924174224
2017-03-19,6.921556181240174
2017-03-20,5.1782718286525515
2017-03-21,2.059219380888291
2017-03-22,10.860266597835505
2017-03-23,5.7859631841084305
2017-03-24,4.242556094323273
2017-03-25,5.802082318205404
2017-03-26,4.554461339099699
2017-03-27,2.079368298509507
2017-03-28,6.2381048955285205
2017-03-29,4.138587679397798
2017-03-30,4.242556094323273
2017-03-31,4.366673426869965
2017-04-01,4.966305215277357
2017-04-02,4.990483916422816
2017-04-03,4.366673426869965
2017-04-04,6.446041725379471
2017-04-05,8.525410023888979
2017-04-06,0.0
2017-04-07,8.94128368359088
2017-04-08,9.980967832845632
2017-04-09,10.188904662696583
2017-04-10,4.366673426869965
2017-04-11,8.73334685373993
2017-04-12,4.366673426869965
2017-04-13,6.653978555230422
2017-04-14,4.990483916422816
2017-04-15,5.198420746273767
2017-04-16,10.188904662696583
2017-04-17,4.5746102567209155
2017-04-18,6.2381048955285205
2017-04-19,6.2381048955285205
2017-04-20,4.366673426869965
2017-04-21,8.94128368359088
2017-04-22,0.0
2017-04-23,4.990483916422816
2017-04-24,4.366673426869965
2017-04-25,4.158736597019014
2017-04-26,8.317473194038028
2017-04-27,4.158736597019014
2017-04-28,6.653978555230422
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,9.357157343292782
2017-05-02,4.366673426869965
2017-05-03,4.158736597019014
2017-05-04,4.158736597019014
2017-05-05,4.366673426869965
2017-05-06,12.476209791057041
2017-05-07,4.990483916422816
2017-05-08,4.158736597019014
2017-05-09,12.684146620907992
2017-05-10,4.158736597019014
2017-05-11,0.0
2017-05-12,6.653978555230422
2017-05-13,4.990483916422816
2017-05-14,10.188904662696583
2017-05-15,4.158736597019014
2017-05-16,12.684146620907992
2017-05-17,14.7635149194175
2017-05-18,10.812715152249435
2017-05-19,6.653978555230422
2017-05-20,4.990483916422816
2017-05-21,4.990483916422816
2017-05-22,14.7635149194175
2017-05-23,8.317473194038028
2017-05-24,0.0
2017-05-25,8.94128368359088
2017-05-26,6.861915385081373
2017-05-27,5.198420746273767
2017-05-28,7.9015995343361265
2017-05-29,8.94128368359088
2017-05-30,4.366673426869965
2017-05-31,4.366673426869965
2017-06-01,4.366673426869965
2017-06-02,11.228588811951337
2017-06-03,4.990483916422816
