date,obama limo
2016-12-07,4.0
2016-12-08,0.0
2016-12-09,5.0
2016-12-10,6.0
2016-12-11,5.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,5.0
2016-12-21,7.0
2016-12-22,5.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,5.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,5.0
2017-01-03,0.0
2017-01-04,4.0
2017-01-05,9.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,5.0
2017-01-09,4.0
2017-01-10,0.0
2017-01-11,13.0
2017-01-12,11.0
2017-01-13,0.0
2017-01-14,7.0
2017-01-15,5.0
2017-01-16,0.0
2017-01-17,4.0
2017-01-18,0.0
2017-01-19,13.0
2017-01-20,100.0
2017-01-21,81.0
2017-01-22,24.0
2017-01-23,44.0
2017-01-24,23.0
2017-01-25,11.0
2017-01-26,22.0
2017-01-27,13.0
2017-01-28,10.0
2017-01-29,5.0
2017-01-30,8.0
2017-01-31,8.0
2017-02-01,4.0
2017-02-02,8.0
2017-02-03,9.0
2017-02-04,5.0
2017-02-05,7.0
2017-02-06,0.0
2017-02-07,4.0
2017-02-08,10.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,5.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,4.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,5.0
2017-02-19,5.0
2017-02-20,4.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,8.0
2017-02-24,4.0
2017-02-25,5.0
2017-02-26,10.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,6.320987654320987
2017-03-02,2.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,6.7407407407407405
2017-03-10,4.419753086419753
2017-03-11,2.5
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,2.3209876543209873
2017-03-15,4.320987654320987
2017-03-16,0.0
2017-03-17,2.4691358024691357
2017-03-18,2.5
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,2.3209876543209873
2017-03-22,2.0
2017-03-23,4.320987654320987
2017-03-24,4.469135802469136
2017-03-25,2.765432098765432
2017-03-26,5.265432098765432
2017-03-27,2.0
2017-03-28,0.0
2017-03-29,2.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,5.265432098765432
2017-04-02,5.530864197530864
2017-04-03,0.0
2017-04-04,4.7407407407407405
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,5.62962962962963
2017-04-09,5.62962962962963
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,5.82716049382716
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,5.432098765432098
2017-04-24,4.7407407407407405
2017-04-25,4.7407407407407405
2017-04-26,0.0
2017-04-27,4.7407407407407405
2017-04-28,9.876543209876543
2017-04-29,5.530864197530864
2017-04-30,5.728395061728395
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,4.7407407407407405
2017-05-04,4.7407407407407405
2017-05-05,9.876543209876543
2017-05-06,5.530864197530864
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,4.839506172839506
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,4.938271604938271
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,4.7407407407407405
2017-05-16,0.0
2017-05-17,4.7407407407407405
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,4.7407407407407405
2017-05-23,0.0
2017-05-24,9.580246913580247
2017-05-25,5.037037037037036
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,4.7407407407407405
2017-05-31,4.839506172839506
2017-06-01,0.0
2017-06-02,5.037037037037036
2017-06-03,0.0
