date,jill stein
2016-05-01,2.026295436968291
2016-05-02,0.8105181747873164
2016-05-03,1.2157772621809746
2016-05-04,3.2420726991492654
2016-05-05,2.8368136117556073
2016-05-06,2.026295436968291
2016-05-07,1.6210363495746327
2016-05-08,2.026295436968291
2016-05-09,1.6210363495746327
2016-05-10,1.6210363495746327
2016-05-11,2.026295436968291
2016-05-12,2.8368136117556073
2016-05-13,1.2157772621809746
2016-05-14,0.4052590873936582
2016-05-15,1.2157772621809746
2016-05-16,1.2157772621809746
2016-05-17,1.2157772621809746
2016-05-18,1.6210363495746327
2016-05-19,1.6210363495746327
2016-05-20,1.6210363495746327
2016-05-21,1.6210363495746327
2016-05-22,1.2157772621809746
2016-05-23,1.6210363495746327
2016-05-24,1.2157772621809746
2016-05-25,1.2157772621809746
2016-05-26,1.6210363495746327
2016-05-27,2.026295436968291
2016-05-28,1.2157772621809746
2016-05-29,1.2157772621809746
2016-05-30,1.6210363495746327
2016-05-31,1.2157772621809746
2016-06-01,2.026295436968291
2016-06-02,1.2157772621809746
2016-06-03,0.8105181747873164
2016-06-04,1.2157772621809746
2016-06-05,1.2157772621809746
2016-06-06,2.026295436968291
2016-06-07,4.052590873936582
2016-06-08,16.615622583139984
2016-06-09,14.589327146171694
2016-06-10,10.131477184841454
2016-06-11,5.673627223511215
2016-06-12,5.673627223511215
2016-06-13,2.431554524361949
2016-06-14,2.431554524361949
2016-06-15,2.431554524361949
2016-06-16,2.431554524361949
2016-06-17,2.026295436968291
2016-06-18,2.026295436968291
2016-06-19,3.2420726991492654
2016-06-20,3.6473317865429236
2016-06-21,2.026295436968291
2016-06-22,2.8368136117556073
2016-06-23,2.8368136117556073
2016-06-24,4.052590873936582
2016-06-25,4.052590873936582
2016-06-26,3.6473317865429236
2016-06-27,2.8368136117556073
2016-06-28,2.8368136117556073
2016-06-29,3.2420726991492654
2016-06-30,3.2420726991492654
2016-07-01,2.8368136117556073
2016-07-02,4.052590873936582
2016-07-03,3.6473317865429236
2016-07-04,2.431554524361949
2016-07-05,2.8368136117556073
2016-07-06,4.052590873936582
2016-07-07,3.6473317865429236
2016-07-08,4.45784996133024
2016-07-09,4.45784996133024
