date,president obama scandal
2016-05-01,0.0
2016-05-02,30.812572759022117
2016-05-03,14.813736903376018
2016-05-04,15.406286379511059
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,14.813736903376018
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,17.77648428405122
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,30.220023282887077
2016-05-19,15.406286379511059
2016-05-20,0.0
2016-05-21,18.369033760186262
2016-05-22,0.0
2016-05-23,15.406286379511059
2016-05-24,15.406286379511059
2016-05-25,15.406286379511059
2016-05-26,23.70197904540163
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,15.406286379511059
2016-06-02,15.406286379511059
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,17.77648428405122
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,15.406286379511059
2016-06-10,31.9976717112922
2016-06-11,17.77648428405122
2016-06-12,17.77648428405122
2016-06-13,0.0
2016-06-14,14.813736903376018
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,18.369033760186262
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,15.9988358556461
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,15.406286379511059
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,15.406286379511059
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,15.9988358556461
2016-07-07,15.9988358556461
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,18.369033760186262
2016-07-11,0.0
2016-07-12,15.406286379511059
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,15.9988358556461
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,15.9988358556461
2016-07-27,15.406286379511059
2016-07-28,31.405122235157158
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,18.369033760186262
2016-08-01,31.405122235157158
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,37.330616996507565
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,23.70197904540163
2016-08-12,15.9988358556461
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,17.77648428405122
2016-08-22,0.0
2016-08-23,15.406286379511059
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,15.9988358556461
2016-08-27,0.0
2016-08-28,17.77648428405122
2016-08-29,0.0
2016-08-30,14.813736903376018
2016-08-31,0.0
2016-09-01,15.406286379511059
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,35.55296856810244
2016-09-05,15.406286379511059
2016-09-06,14.813736903376018
2016-09-07,0.0
2016-09-08,15.406286379511059
