date,hillary supporter
2016-05-01,1.2629582806573958
2016-05-02,2.7364096080910243
2016-05-03,2.7364096080910243
2016-05-04,4.209860935524652
2016-05-05,2.315423514538559
2016-05-06,2.315423514538559
2016-05-07,1.8944374209860937
2016-05-08,1.2629582806573958
2016-05-09,2.7364096080910243
2016-05-10,2.104930467762326
2016-05-11,4.209860935524652
2016-05-12,4.4203539823008855
2016-05-13,1.052465233881163
2016-05-14,2.5259165613147916
2016-05-15,1.8944374209860937
2016-05-16,3.1573957016434893
2016-05-17,2.104930467762326
2016-05-18,7.998735777496839
2016-05-19,5.472819216182049
2016-05-20,1.683944374209861
2016-05-21,2.5259165613147916
2016-05-22,2.5259165613147916
2016-05-23,2.104930467762326
2016-05-24,2.7364096080910243
2016-05-25,4.4203539823008855
2016-05-26,1.052465233881163
2016-05-27,2.315423514538559
2016-05-28,1.2629582806573958
2016-05-29,1.8944374209860937
2016-05-30,2.7364096080910243
2016-05-31,1.052465233881163
2016-06-01,3.7888748419721874
2016-06-02,2.104930467762326
2016-06-03,3.367888748419722
2016-06-04,5.893805309734513
2016-06-05,3.7888748419721874
2016-06-06,3.1573957016434893
2016-06-07,2.7364096080910243
2016-06-08,4.84134007585335
2016-06-09,2.7364096080910243
2016-06-10,5.051833122629583
2016-06-11,1.8944374209860937
2016-06-12,1.8944374209860937
2016-06-13,1.683944374209861
2016-06-14,2.104930467762326
2016-06-15,1.683944374209861
2016-06-16,2.7364096080910243
2016-06-17,3.367888748419722
2016-06-18,2.5259165613147916
2016-06-19,1.2629582806573958
2016-06-20,1.052465233881163
2016-06-21,4.84134007585335
2016-06-22,3.7888748419721874
2016-06-23,2.7364096080910243
2016-06-24,2.9469026548672566
2016-06-25,2.5259165613147916
2016-06-26,3.1573957016434893
2016-06-27,3.7888748419721874
2016-06-28,1.052465233881163
2016-06-29,4.4203539823008855
2016-06-30,2.315423514538559
2016-07-01,2.315423514538559
2016-07-02,2.5259165613147916
2016-07-03,1.2629582806573958
2016-07-04,4.630847029077118
2016-07-05,3.367888748419722
2016-07-06,1.052465233881163
2016-07-07,1.052465233881163
2016-07-08,1.683944374209861
2016-07-09,2.5259165613147916
2016-07-10,2.5259165613147916
2016-07-11,1.683944374209861
2016-07-12,4.4203539823008855
2016-07-13,5.472819216182049
2016-07-14,1.052465233881163
2016-07-15,1.052465233881163
2016-07-16,1.2629582806573958
2016-07-17,3.9993678887484196
2016-07-18,4.4203539823008855
2016-07-19,4.4203539823008855
2016-07-20,5.051833122629583
2016-07-21,4.4203539823008855
2016-07-22,8.630214917825537
2016-07-23,5.262326169405815
2016-07-24,3.1573957016434893
2016-07-25,7.788242730720607
2016-07-26,7.156763590391909
2016-07-27,7.788242730720607
2016-07-28,11.15613147914033
2016-07-29,11.577117572692794
2016-07-30,8.630214917825537
2016-07-31,4.630847029077118
2016-08-01,5.051833122629583
2016-08-02,6.735777496839444
2016-08-03,5.683312262958281
2016-08-04,5.051833122629583
2016-08-05,6.3147914032869785
2016-08-06,2.7364096080910243
2016-08-07,1.8944374209860937
2016-08-08,3.367888748419722
2016-08-09,4.84134007585335
2016-08-10,5.472819216182049
2016-08-11,6.104298356510746
2016-08-12,3.367888748419722
2016-08-13,3.1573957016434893
2016-08-14,1.2629582806573958
2016-08-15,5.683312262958281
2016-08-16,2.104930467762326
2016-08-17,2.104930467762326
2016-08-18,2.7364096080910243
2016-08-19,4.630847029077118
2016-08-20,5.051833122629583
2016-08-21,2.5259165613147916
2016-08-22,3.367888748419722
2016-08-23,6.525284450063212
2016-08-24,2.104930467762326
2016-08-25,3.9993678887484196
2016-08-26,2.9469026548672566
2016-08-27,5.051833122629583
2016-08-28,5.683312262958281
2016-08-29,6.3147914032869785
2016-08-30,4.84134007585335
2016-08-31,3.7888748419721874
2016-09-01,2.104930467762326
2016-09-02,2.7364096080910243
2016-09-03,3.1573957016434893
2016-09-04,3.1573957016434893
2016-09-05,3.367888748419722
2016-09-06,1.683944374209861
2016-09-07,3.7888748419721874
2016-09-08,5.472819216182049
2016-09-09,2.7364096080910243
2016-09-10,6.3147914032869785
2016-09-11,8.630214917825537
2016-09-12,1.052465233881163
2016-09-13,6.3147914032869785
2016-09-14,8.419721871049305
2016-09-15,3.367888748419722
2016-09-16,3.7888748419721874
2016-09-17,4.84134007585335
