date,donald trump crime
2016-05-01,6.328871892925431
2016-05-02,4.430210325047802
2016-05-03,5.695984703632887
2016-05-04,5.695984703632887
2016-05-05,6.961759082217974
2016-05-06,4.430210325047802
2016-05-07,3.797323135755258
2016-05-08,5.0630975143403445
2016-05-09,10.126195028680689
2016-05-10,5.695984703632887
2016-05-11,3.1644359464627154
2016-05-12,6.328871892925431
2016-05-13,6.961759082217974
2016-05-14,5.0630975143403445
2016-05-15,7.594646271510516
2016-05-16,1.898661567877629
2016-05-17,6.328871892925431
2016-05-18,6.328871892925431
2016-05-19,3.1644359464627154
2016-05-20,2.5315487571701722
2016-05-21,3.797323135755258
2016-05-22,2.5315487571701722
2016-05-23,1.898661567877629
2016-05-24,5.695984703632887
2016-05-25,4.430210325047802
2016-05-26,5.695984703632887
2016-05-27,8.227533460803059
2016-05-28,7.594646271510516
2016-05-29,3.797323135755258
2016-05-30,3.1644359464627154
2016-05-31,5.695984703632887
2016-06-01,4.430210325047802
2016-06-02,4.430210325047802
2016-06-03,6.961759082217974
2016-06-04,2.5315487571701722
2016-06-05,0.0
2016-06-06,5.695984703632887
2016-06-07,3.1644359464627154
2016-06-08,2.5315487571701722
2016-06-09,4.430210325047802
2016-06-10,15.189292543021033
2016-06-11,15.822179732313577
2016-06-12,8.860420650095604
2016-06-13,9.493307839388146
2016-06-14,10.759082217973232
2016-06-15,4.430210325047802
2016-06-16,12.024856596558319
2016-06-17,3.1644359464627154
2016-06-18,5.0630975143403445
2016-06-19,2.5315487571701722
2016-06-20,5.695984703632887
2016-06-21,12.024856596558319
2016-06-22,5.695984703632887
2016-06-23,2.5315487571701722
2016-06-24,5.695984703632887
2016-06-25,2.5315487571701722
2016-06-26,3.797323135755258
2016-06-27,0.0
2016-06-28,3.1644359464627154
2016-06-29,2.5315487571701722
2016-06-30,2.5315487571701722
2016-07-01,4.430210325047802
2016-07-02,6.961759082217974
2016-07-03,5.0630975143403445
2016-07-04,6.961759082217974
2016-07-05,5.695984703632887
2016-07-06,4.430210325047802
2016-07-07,5.695984703632887
2016-07-08,3.797323135755258
2016-07-09,8.227533460803059
2016-07-10,12.024856596558319
2016-07-11,6.961759082217974
2016-07-12,2.5315487571701722
2016-07-13,3.1644359464627154
2016-07-14,6.961759082217974
2016-07-15,43.66921606118547
2016-07-16,21.518164435946463
2016-07-17,6.961759082217974
2016-07-18,3.1644359464627154
2016-07-19,11.391969407265774
2016-07-20,10.126195028680689
2016-07-21,5.695984703632887
2016-07-22,24.68260038240918
2016-07-23,12.024856596558319
2016-07-24,9.493307839388146
2016-07-25,3.1644359464627154
2016-07-26,14.55640535372849
2016-07-27,10.126195028680689
2016-07-28,17.087954110898664
2016-07-29,12.024856596558319
2016-07-30,13.290630975143404
2016-07-31,6.961759082217974
2016-08-01,6.961759082217974
2016-08-02,10.126195028680689
2016-08-03,8.860420650095604
2016-08-04,5.695984703632887
2016-08-05,6.961759082217974
2016-08-06,2.5315487571701722
2016-08-07,5.0630975143403445
2016-08-08,4.430210325047802
2016-08-09,3.1644359464627154
2016-08-10,7.594646271510516
2016-08-11,5.695984703632887
2016-08-12,6.961759082217974
2016-08-13,6.328871892925431
2016-08-14,2.5315487571701722
2016-08-15,4.430210325047802
2016-08-16,10.126195028680689
2016-08-17,4.430210325047802
2016-08-18,5.695984703632887
2016-08-19,2.5315487571701722
2016-08-20,2.5315487571701722
2016-08-21,5.0630975143403445
2016-08-22,3.1644359464627154
2016-08-23,13.290630975143404
2016-08-24,8.860420650095604
2016-08-25,12.657743785850862
2016-08-26,3.1644359464627154
2016-08-27,15.822179732313577
2016-08-28,2.5315487571701722
2016-08-29,5.695984703632887
2016-08-30,6.328871892925431
2016-08-31,4.430210325047802
2016-09-01,7.594646271510516
2016-09-02,4.430210325047802
2016-09-03,6.328871892925431
2016-09-04,5.0630975143403445
2016-09-05,2.5315487571701722
2016-09-06,5.695984703632887
2016-09-07,5.695984703632887
2016-09-08,0.0
2016-09-09,4.430210325047802
2016-09-10,3.797323135755258
2016-09-11,8.860420650095604
2016-09-12,7.594646271510516
2016-09-13,5.695984703632887
2016-09-14,8.860420650095604
2016-09-15,3.1644359464627154
2016-09-16,3.1644359464627154
2016-09-17,2.5315487571701722
2016-09-18,6.328871892925431
2016-09-19,6.328871892925431
2016-09-20,9.493307839388146
2016-09-21,5.0630975143403445
