date,hillary clinton benghazi
2016-05-01,3.5571955719557193
2016-05-02,7.114391143911439
2016-05-03,8.003690036900368
2016-05-04,19.564575645756456
2016-05-05,20.453874538745385
2016-05-06,15.118081180811807
2016-05-07,14.228782287822877
2016-05-08,16.007380073800736
2016-05-09,7.114391143911439
2016-05-10,14.228782287822877
2016-05-11,16.007380073800736
2016-05-12,8.892988929889299
2016-05-13,8.003690036900368
2016-05-14,7.114391143911439
2016-05-15,8.003690036900368
2016-05-16,6.225092250922509
2016-05-17,7.114391143911439
2016-05-18,6.225092250922509
2016-05-19,6.225092250922509
2016-05-20,5.335793357933579
2016-05-21,6.225092250922509
2016-05-22,2.6678966789667893
2016-05-23,8.003690036900368
2016-05-24,6.225092250922509
2016-05-25,12.450184501845017
2016-05-26,16.007380073800736
2016-05-27,21.343173431734314
2016-05-28,19.564575645756456
2016-05-29,14.228782287822877
2016-05-30,16.007380073800736
2016-05-31,8.892988929889299
2016-06-01,9.782287822878228
2016-06-02,16.89667896678967
2016-06-03,12.450184501845017
2016-06-04,8.892988929889299
2016-06-05,15.118081180811807
2016-06-06,14.228782287822877
2016-06-07,20.453874538745385
2016-06-08,40.90774907749077
2016-06-09,36.46125461254612
2016-06-10,48.02214022140221
2016-06-11,43.57564575645756
2016-06-12,45.35424354243542
2016-06-13,27.568265682656826
2016-06-14,17.785977859778598
2016-06-15,14.228782287822877
2016-06-16,14.228782287822877
2016-06-17,12.450184501845017
2016-06-18,17.785977859778598
2016-06-19,18.675276752767527
2016-06-20,11.560885608856088
2016-06-21,11.560885608856088
2016-06-22,14.228782287822877
2016-06-23,12.450184501845017
2016-06-24,9.782287822878228
2016-06-25,11.560885608856088
2016-06-26,16.007380073800736
2016-06-27,18.675276752767527
2016-06-28,44.464944649446494
2016-06-29,34.68265682656826
2016-06-30,20.453874538745385
2016-07-01,15.118081180811807
2016-07-02,22.232472324723247
2016-07-03,27.568265682656826
2016-07-04,21.343173431734314
2016-07-05,23.121771217712176
2016-07-06,33.79335793357934
2016-07-07,25.789667896678964
2016-07-08,16.89667896678967
2016-07-09,19.564575645756456
2016-07-10,17.785977859778598
2016-07-11,7.114391143911439
2016-07-12,8.892988929889299
2016-07-13,10.671586715867157
2016-07-14,7.114391143911439
2016-07-15,13.339483394833948
2016-07-16,12.450184501845017
2016-07-17,12.450184501845017
2016-07-18,16.007380073800736
2016-07-19,56.91512915129151
2016-07-20,28.457564575645755
2016-07-21,34.68265682656826
2016-07-22,26.678966789667896
2016-07-23,22.232472324723247
2016-07-24,20.453874538745385
2016-07-25,19.564575645756456
2016-07-26,32.01476014760147
2016-07-27,41.7970479704797
2016-07-28,40.018450184501845
2016-07-29,60.472324723247226
2016-07-30,32.904059040590404
2016-07-31,33.79335793357934
2016-08-01,28.457564575645755
2016-08-02,24.011070110701105
2016-08-03,22.232472324723247
2016-08-04,16.007380073800736
2016-08-05,12.450184501845017
2016-08-06,16.007380073800736
2016-08-07,12.450184501845017
2016-08-08,9.782287822878228
2016-08-09,29.346863468634684
2016-08-10,16.89667896678967
2016-08-11,7.114391143911439
2016-08-12,10.671586715867157
2016-08-13,9.782287822878228
2016-08-14,16.007380073800736
2016-08-15,11.560885608856088
2016-08-16,8.003690036900368
2016-08-17,7.114391143911439
2016-08-18,6.225092250922509
2016-08-19,5.335793357933579
2016-08-20,8.892988929889299
2016-08-21,12.450184501845017
2016-08-22,7.114391143911439
2016-08-23,7.114391143911439
2016-08-24,9.782287822878228
2016-08-25,9.782287822878228
2016-08-26,6.225092250922509
2016-08-27,8.892988929889299
2016-08-28,8.003690036900368
2016-08-29,5.335793357933579
2016-08-30,8.003690036900368
2016-08-31,11.560885608856088
2016-09-01,3.5571955719557193
2016-09-02,7.114391143911439
2016-09-03,5.335793357933579
2016-09-04,3.5571955719557193
2016-09-05,9.782287822878228
2016-09-06,7.114391143911439
2016-09-07,7.114391143911439
2016-09-08,5.335793357933579
2016-09-09,4.446494464944649
2016-09-10,6.225092250922509
2016-09-11,11.560885608856088
2016-09-12,14.228782287822877
2016-09-13,7.114391143911439
2016-09-14,10.671586715867157
2016-09-15,8.892988929889299
2016-09-16,6.225092250922509
2016-09-17,4.446494464944649
2016-09-18,6.225092250922509
2016-09-19,5.335793357933579
2016-09-20,4.446494464944649
2016-09-21,6.225092250922509
2016-09-22,8.003690036900368
2016-09-23,7.114391143911439
2016-09-24,11.560885608856088
2016-09-25,8.003690036900368
2016-09-26,12.450184501845017
2016-09-27,60.472324723247226
2016-09-28,32.01476014760147
2016-09-29,19.564575645756456
2016-09-30,14.228782287822877
2016-10-01,15.114391143911439
2016-10-02,13.169741697416974
2016-10-03,11.725092250922508
2016-10-04,13.169741697416974
2016-10-05,13.225092250922508
2016-10-06,7.167896678966789
2016-10-07,11.335793357933579
2016-10-08,30.728782287822877
2016-10-09,43.78782287822878
2016-10-10,84.4649446494465
2016-10-11,34.50738007380073
2016-10-12,34.119926199262
2016-10-13,28.784132841328415
2016-10-14,31.562730627306273
2016-10-15,21.72693726937269
2016-10-16,20.282287822878228
2016-10-17,15.669741697416974
2016-10-18,19.337638376383765
2016-10-19,26.339483394833948
2016-10-20,38.619926199262
2016-10-21,20.671586715867157
2016-10-22,15.059040590405903
2016-10-23,17.337638376383765
2016-10-24,16.448339483394832
2016-10-25,13.503690036900368
2016-10-26,13.835793357933579
2016-10-27,14.948339483394834
2016-10-28,16.225092250922508
2016-10-29,23.839483394833948
2016-10-30,21.56088560885609
2016-10-31,15.169741697416974
2016-11-01,19.56088560885609
