date,donald trump cake
2016-05-01,1.8624722507986353
2016-05-02,1.1529590123991553
2016-05-03,1.1529590123991553
2016-05-04,1.9511614055985704
2016-05-05,3.636255346797336
2016-05-06,2.1285397151984404
2016-05-07,2.8380529535979204
2016-05-08,2.7493637987979858
2016-05-09,3.1041204179977253
2016-05-10,2.66067464399805
2016-05-11,1.1529590123991553
2016-05-12,3.192809572797661
2016-05-13,2.3946071795982453
2016-05-14,0.8868915479993501
2016-05-15,0.8868915479993501
2016-05-16,1.5964047863988304
2016-05-17,0.7982023931994152
2016-05-18,0.0
2016-05-19,1.5964047863988304
2016-05-20,1.5964047863988304
2016-05-21,2.3059180247983107
2016-05-22,1.4190264767989602
2016-05-23,4.611836049596621
2016-05-24,1.5964047863988304
2016-05-25,0.7982023931994152
2016-05-26,0.0
2016-05-27,0.7982023931994152
2016-05-28,1.8624722507986353
2016-05-29,0.9755807027992852
2016-05-30,1.5964047863988304
2016-05-31,0.7982023931994152
2016-06-01,1.1529590123991553
2016-06-02,1.9511614055985704
2016-06-03,0.7982023931994152
2016-06-04,0.9755807027992852
2016-06-05,0.8868915479993501
2016-06-06,1.1529590123991553
2016-06-07,2.3059180247983107
2016-06-08,1.5964047863988304
2016-06-09,1.5964047863988304
2016-06-10,0.7982023931994152
2016-06-11,3.192809572797661
2016-06-12,1.8624722507986353
2016-06-13,3.1041204179977253
2016-06-14,3.4588770371974658
2016-06-15,2.3946071795982453
2016-06-16,0.7982023931994152
2016-06-17,0.7982023931994152
2016-06-18,2.8380529535979204
2016-06-19,1.8624722507986353
2016-06-20,1.5964047863988304
2016-06-21,0.7982023931994152
2016-06-22,1.5964047863988304
2016-06-23,0.0
2016-06-24,1.2416481671990902
2016-06-25,1.4190264767989602
2016-06-26,0.9755807027992852
2016-06-27,1.1529590123991553
2016-06-28,0.7982023931994152
2016-06-29,2.3946071795982453
2016-06-30,1.2416481671990902
2016-07-01,0.0
2016-07-02,1.8624722507986353
2016-07-03,1.4190264767989602
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,2.0398505603985053
2016-07-08,1.685093941198765
2016-07-09,0.0
2016-07-10,0.9755807027992852
2016-07-11,0.7982023931994152
2016-07-12,0.0
2016-07-13,0.7982023931994152
2016-07-14,1.2416481671990902
2016-07-15,2.4832963343981804
2016-07-16,1.8624722507986353
2016-07-17,0.9755807027992852
2016-07-18,1.2416481671990902
2016-07-19,3.2814987275975955
2016-07-20,3.2814987275975955
2016-07-21,4.523146894796685
2016-07-22,3.37018788239753
2016-07-23,2.3946071795982453
2016-07-24,1.8624722507986353
2016-07-25,2.3946071795982453
2016-07-26,1.5964047863988304
2016-07-27,0.7982023931994152
2016-07-28,2.3946071795982453
2016-07-29,2.5719854891981155
2016-07-30,1.9511614055985704
2016-07-31,0.9755807027992852
2016-08-01,1.2416481671990902
2016-08-02,3.192809572797661
2016-08-03,2.3946071795982453
2016-08-04,1.2416481671990902
2016-08-05,1.2416481671990902
2016-08-06,0.9755807027992852
2016-08-07,1.4190264767989602
2016-08-08,0.7982023931994152
2016-08-09,2.0398505603985053
2016-08-10,0.0
2016-08-11,1.5964047863988304
2016-08-12,2.0398505603985053
2016-08-13,0.9755807027992852
2016-08-14,1.4190264767989602
2016-08-15,1.685093941198765
2016-08-16,1.5964047863988304
2016-08-17,0.7982023931994152
2016-08-18,0.7982023931994152
2016-08-19,4.168390275596946
2016-08-20,0.0
2016-08-21,0.8868915479993501
2016-08-22,2.3946071795982453
2016-08-23,0.0
2016-08-24,0.7982023931994152
2016-08-25,0.7982023931994152
2016-08-26,0.7982023931994152
2016-08-27,1.4190264767989602
2016-08-28,0.8868915479993501
2016-08-29,1.5077156315988953
2016-08-30,1.9511614055985704
2016-08-31,0.7982023931994152
2016-09-01,1.9511614055985704
2016-09-02,1.5964047863988304
2016-09-03,1.4190264767989602
2016-09-04,0.8868915479993501
2016-09-05,1.2416481671990902
2016-09-06,1.5077156315988953
2016-09-07,0.7982023931994152
2016-09-08,1.9511614055985704
2016-09-09,0.7982023931994152
2016-09-10,0.0
2016-09-11,1.7737830959987002
2016-09-12,1.1529590123991553
2016-09-13,0.7982023931994152
2016-09-14,1.1529590123991553
2016-09-15,1.5964047863988304
2016-09-16,0.7982023931994152
2016-09-17,1.7737830959987002
2016-09-18,0.8868915479993501
2016-09-19,0.7982023931994152
2016-09-20,1.5077156315988953
2016-09-21,0.7982023931994152
2016-09-22,0.7982023931994152
2016-09-23,3.192809572797661
2016-09-24,0.8868915479993501
2016-09-25,0.0
2016-09-26,0.7982023931994152
2016-09-27,5.676105907195841
2016-09-28,1.5077156315988953
2016-09-29,1.1529590123991553
2016-09-30,3.192809572797661
2016-10-01,2.1197682603281174
2016-10-02,2.07542368292815
2016-10-03,2.726460555525475
2016-10-04,1.5627808760625914
2016-10-05,1.316205533596838
2016-10-06,2.410688180193838
2016-10-07,1.7153067301965454
2016-10-08,8.872813904380312
2016-10-09,4.2926525529265245
2016-10-10,5.550381720721208
2016-10-11,4.397422708322053
2016-10-12,3.3721370945909364
2016-10-13,2.7405923439276623
2016-10-14,3.865287779522443
2016-10-15,0.9365964589311819
2016-10-16,1.7791434295305646
2016-10-17,2.025718771996318
2016-10-18,2.602198278195895
2016-10-19,1.0696301911310846
2016-10-20,2.9428231089934482
2016-10-21,3.49445015972711
2016-10-22,3.5051708267908386
2016-10-23,3.0120201418593315
2016-10-24,1.9175374952623312
2016-10-25,1.848340462396448
2016-10-26,2.5880664897937082
2016-10-27,0.7538578157994477
