date,burger
2016-05-01,84.87996092395056
2016-05-02,63.65997069296292
2016-05-03,59.046929338400396
2016-05-04,61.81475415113792
2016-05-05,65.50518723478794
2016-05-06,71.96344513117548
2016-05-07,80.26691956938804
2016-05-08,75.6538782148255
2016-05-09,58.124321067487884
2016-05-10,59.046929338400396
2016-05-11,59.046929338400396
2016-05-12,61.81475415113792
2016-05-13,71.96344513117548
2016-05-14,82.11213611121305
2016-05-15,83.95735265303806
2016-05-16,65.50518723478794
2016-05-17,59.9695376093129
2016-05-18,61.81475415113792
2016-05-19,62.73736242205042
2016-05-20,69.19562031843796
2016-05-21,82.11213611121305
2016-05-22,77.49909475665052
2016-05-23,60.89214588022541
2016-05-24,60.89214588022541
2016-05-25,63.65997069296292
2016-05-26,67.35040377661295
2016-05-27,74.731269943913
2016-05-28,84.87996092395056
2016-05-29,84.87996092395056
2016-05-30,71.96344513117548
2016-05-31,61.81475415113792
2016-06-01,63.65997069296292
2016-06-02,65.50518723478794
2016-06-03,72.88605340208798
2016-06-04,83.95735265303806
2016-06-05,81.18952784030054
2016-06-06,59.9695376093129
2016-06-07,60.89214588022541
2016-06-08,62.73736242205042
2016-06-09,64.58257896387543
2016-06-10,70.11822858935047
2016-06-11,79.34431129847553
2016-06-12,80.26691956938804
2016-06-13,58.124321067487884
2016-06-14,59.9695376093129
2016-06-15,63.65997069296292
2016-06-16,64.58257896387543
2016-06-17,73.8086616730005
2016-06-18,82.11213611121305
2016-06-19,81.18952784030054
2016-06-20,60.89214588022541
2016-06-21,62.73736242205042
2016-06-22,65.50518723478794
2016-06-23,71.04083686026297
2016-06-24,80.26691956938804
2016-06-25,86.72517746577557
2016-06-26,87.64778573668808
2016-06-27,67.35040377661295
2016-06-28,67.35040377661295
2016-06-29,71.96344513117548
2016-06-30,72.88605340208798
2016-07-01,80.26691956938804
2016-07-02,86.72517746577557
2016-07-03,88.5703940076006
2016-07-04,76.57648648573802
2016-07-05,67.35040377661295
2016-07-06,68.27301204752546
2016-07-07,69.19562031843796
2016-07-08,74.731269943913
2016-07-09,84.87996092395056
2016-07-10,82.11213611121305
2016-07-11,64.58257896387543
2016-07-12,65.50518723478794
2016-07-13,67.35040377661295
2016-07-14,69.19562031843796
2016-07-15,72.88605340208798
2016-07-16,83.03474438212555
2016-07-17,92.26082709125062
2016-07-18,69.19562031843796
2016-07-19,64.58257896387543
2016-07-20,67.35040377661295
2016-07-21,71.04083686026297
2016-07-22,76.57648648573802
2016-07-23,84.87996092395056
2016-07-24,84.87996092395056
2016-07-25,67.35040377661295
2016-07-26,66.42779550570044
2016-07-27,67.35040377661295
2016-07-28,74.731269943913
2016-07-29,78.42170302756303
2016-07-30,84.87996092395056
2016-07-31,87.64778573668808
2016-08-01,68.27301204752546
2016-08-02,67.35040377661295
2016-08-03,67.35040377661295
2016-08-04,69.19562031843796
2016-08-05,74.731269943913
2016-08-06,83.03474438212555
2016-08-07,83.03474438212555
2016-08-08,62.73736242205042
2016-08-09,64.58257896387543
2016-08-10,66.42779550570044
2016-08-11,69.19562031843796
2016-08-12,72.88605340208798
2016-08-13,79.34431129847553
2016-08-14,82.11213611121305
2016-08-15,70.11822858935047
2016-08-16,63.65997069296292
2016-08-17,63.65997069296292
2016-08-18,65.50518723478794
2016-08-19,71.04083686026297
2016-08-20,78.42170302756303
2016-08-21,79.34431129847553
2016-08-22,63.65997069296292
2016-08-23,62.73736242205042
2016-08-24,64.58257896387543
2016-08-25,72.88605340208798
2016-08-26,73.8086616730005
2016-08-27,81.18952784030054
2016-08-28,82.11213611121305
2016-08-29,61.81475415113792
2016-08-30,60.89214588022541
2016-08-31,61.81475415113792
2016-09-01,63.65997069296292
2016-09-02,71.96344513117548
2016-09-03,82.11213611121305
2016-09-04,84.87996092395056
2016-09-05,68.27301204752546
2016-09-06,58.124321067487884
2016-09-07,60.89214588022541
2016-09-08,59.9695376093129
2016-09-09,67.35040377661295
2016-09-10,79.34431129847553
2016-09-11,78.42170302756303
2016-09-12,59.9695376093129
2016-09-13,58.124321067487884
2016-09-14,59.9695376093129
2016-09-15,63.65997069296292
2016-09-16,70.11822858935047
2016-09-17,79.34431129847553
2016-09-18,78.42170302756303
2016-09-19,57.20171279657538
2016-09-20,56.27910452566288
2016-09-21,60.89214588022541
2016-09-22,61.81475415113792
2016-09-23,71.04083686026297
2016-09-24,80.26691956938804
2016-09-25,78.42170302756303
2016-09-26,58.124321067487884
2016-09-27,57.20171279657538
2016-09-28,60.89214588022541
2016-09-29,60.89214588022541
2016-09-30,70.11822858935047
2016-10-01,80.34721690461471
2016-10-02,76.60386057729256
2016-10-03,59.23570918460249
2016-10-04,56.39732004696881
2016-10-05,57.79887353456161
2016-10-06,61.09856680765155
2016-10-07,69.54316989565642
2016-10-08,81.3051073379753
2016-10-09,77.5441099294291
2016-10-10,58.73912288669815
2016-10-11,59.69701332005874
2016-10-12,62.50012029524434
2016-10-13,61.09856680765155
2016-10-14,69.56081097688046
2016-10-15,80.36485798583874
2016-10-16,77.5441099294291
2016-10-17,57.31992831788131
2016-10-18,59.6793722388347
2016-10-19,61.09856680765155
2016-10-20,62.97906551192464
2016-10-21,70.96236446447327
2016-10-22,83.18560604224838
2016-10-23,77.5441099294291
2016-10-24,57.79887353456161
2016-10-25,58.73912288669815
2016-10-26,61.09856680765155
2016-10-27,64.39826008074148
2016-10-28,74.72336187301947
2016-10-29,86.00635409865804
2016-10-30,84.58715952984119
2016-10-31,62.961424430700596
2016-11-01,66.74006292047083
2016-11-02,62.26287816843827
