date,obama pussy
2016-05-01,7.683516483516484
2016-05-02,4.802197802197802
2016-05-03,3.841758241758242
2016-05-04,1.920879120879121
2016-05-05,1.920879120879121
2016-05-06,0.9604395604395605
2016-05-07,1.920879120879121
2016-05-08,0.9604395604395605
2016-05-09,0.9604395604395605
2016-05-10,2.8813186813186813
2016-05-11,0.9604395604395605
2016-05-12,0.9604395604395605
2016-05-13,1.920879120879121
2016-05-14,0.9604395604395605
2016-05-15,3.841758241758242
2016-05-16,1.920879120879121
2016-05-17,0.9604395604395605
2016-05-18,0.9604395604395605
2016-05-19,0.9604395604395605
2016-05-20,0.9604395604395605
2016-05-21,0.9604395604395605
2016-05-22,1.920879120879121
2016-05-23,1.920879120879121
2016-05-24,2.8813186813186813
2016-05-25,1.920879120879121
2016-05-26,0.9604395604395605
2016-05-27,0.9604395604395605
2016-05-28,1.920879120879121
2016-05-29,3.841758241758242
2016-05-30,1.920879120879121
2016-05-31,1.920879120879121
2016-06-01,3.841758241758242
2016-06-02,1.920879120879121
2016-06-03,3.841758241758242
2016-06-04,2.8813186813186813
2016-06-05,3.841758241758242
2016-06-06,1.920879120879121
2016-06-07,0.9604395604395605
2016-06-08,0.9604395604395605
2016-06-09,0.9604395604395605
2016-06-10,1.920879120879121
2016-06-11,0.9604395604395605
2016-06-12,1.920879120879121
2016-06-13,3.841758241758242
2016-06-14,2.8813186813186813
2016-06-15,2.8813186813186813
2016-06-16,2.8813186813186813
2016-06-17,1.920879120879121
2016-06-18,1.920879120879121
2016-06-19,1.920879120879121
2016-06-20,0.9604395604395605
2016-06-21,0.9604395604395605
2016-06-22,0.9604395604395605
2016-06-23,2.8813186813186813
2016-06-24,1.920879120879121
2016-06-25,0.9604395604395605
2016-06-26,0.9604395604395605
2016-06-27,1.920879120879121
2016-06-28,0.9604395604395605
2016-06-29,0.9604395604395605
2016-06-30,1.920879120879121
2016-07-01,1.920879120879121
2016-07-02,1.920879120879121
2016-07-03,1.920879120879121
2016-07-04,1.920879120879121
2016-07-05,0.9604395604395605
2016-07-06,3.841758241758242
2016-07-07,0.9604395604395605
2016-07-08,1.920879120879121
2016-07-09,1.920879120879121
2016-07-10,0.9604395604395605
2016-07-11,0.9604395604395605
2016-07-12,0.9604395604395605
2016-07-13,1.920879120879121
2016-07-14,0.9604395604395605
2016-07-15,0.9604395604395605
2016-07-16,1.920879120879121
2016-07-17,1.920879120879121
2016-07-18,0.9604395604395605
2016-07-19,3.841758241758242
2016-07-20,1.920879120879121
2016-07-21,1.920879120879121
2016-07-22,1.920879120879121
2016-07-23,2.8813186813186813
2016-07-24,1.920879120879121
2016-07-25,0.9604395604395605
2016-07-26,2.8813186813186813
2016-07-27,3.841758241758242
2016-07-28,2.8813186813186813
2016-07-29,1.920879120879121
2016-07-30,2.8813186813186813
2016-07-31,3.841758241758242
2016-08-01,0.9604395604395605
2016-08-02,1.920879120879121
2016-08-03,0.9604395604395605
2016-08-04,4.802197802197802
2016-08-05,3.841758241758242
2016-08-06,1.920879120879121
2016-08-07,1.920879120879121
2016-08-08,2.8813186813186813
2016-08-09,0.9604395604395605
2016-08-10,0.9604395604395605
2016-08-11,1.920879120879121
2016-08-12,0.9604395604395605
2016-08-13,1.920879120879121
2016-08-14,2.8813186813186813
2016-08-15,2.8813186813186813
2016-08-16,0.9604395604395605
2016-08-17,1.920879120879121
2016-08-18,0.9604395604395605
2016-08-19,1.920879120879121
2016-08-20,0.0
2016-08-21,2.8813186813186813
2016-08-22,0.9604395604395605
2016-08-23,0.9604395604395605
2016-08-24,0.9604395604395605
2016-08-25,1.920879120879121
2016-08-26,0.9604395604395605
2016-08-27,0.9604395604395605
2016-08-28,0.9604395604395605
2016-08-29,0.9604395604395605
2016-08-30,1.920879120879121
2016-08-31,0.9604395604395605
2016-09-01,1.920879120879121
2016-09-02,0.9604395604395605
2016-09-03,1.920879120879121
2016-09-04,0.9604395604395605
2016-09-05,1.920879120879121
2016-09-06,1.920879120879121
2016-09-07,2.8813186813186813
2016-09-08,1.920879120879121
2016-09-09,0.9604395604395605
2016-09-10,1.920879120879121
2016-09-11,1.920879120879121
2016-09-12,0.9604395604395605
2016-09-13,1.920879120879121
2016-09-14,0.9604395604395605
2016-09-15,1.920879120879121
2016-09-16,1.920879120879121
2016-09-17,1.920879120879121
2016-09-18,0.9604395604395605
2016-09-19,1.920879120879121
2016-09-20,2.8813186813186813
2016-09-21,2.8813186813186813
2016-09-22,1.920879120879121
2016-09-23,1.920879120879121
2016-09-24,2.8813186813186813
2016-09-25,1.920879120879121
2016-09-26,1.920879120879121
2016-09-27,1.920879120879121
2016-09-28,0.9604395604395605
2016-09-29,0.9604395604395605
2016-09-30,0.9604395604395605
2016-10-01,1.9604395604395606
2016-10-02,0.48021978021978023
2016-10-03,0.48021978021978023
2016-10-04,1.9406593406593406
2016-10-05,0.9802197802197803
2016-10-06,1.9802197802197803
2016-10-07,0.9802197802197803
2016-10-08,61.253846153846155
2016-10-09,98.02197802197801
2016-10-10,64.21428571428572
2016-10-11,33.36703296703297
2016-10-12,29.40659340659341
2016-10-13,25.946153846153848
2016-10-14,24.465934065934064
2016-10-15,13.203296703296704
2016-10-16,8.341758241758242
2016-10-17,9.302197802197803
2016-10-18,7.861538461538462
2016-10-19,7.821978021978022
2016-10-20,6.821978021978022
2016-10-21,5.881318681318682
2016-10-22,3.420879120879121
2016-10-23,4.9010989010989015
2016-10-24,1.4604395604395606
2016-10-25,2.440659340659341
2016-10-26,3.420879120879121
2016-10-27,5.4010989010989015
