date,endorsed hillary
2016-05-01,4.737732656514383
2016-05-02,8.527918781725889
2016-05-03,3.790186125211506
2016-05-04,4.737732656514383
2016-05-05,8.527918781725889
2016-05-06,18.003384094754654
2016-05-07,0.0
2016-05-08,10.423011844331642
2016-05-09,4.737732656514383
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,4.737732656514383
2016-05-14,15.160744500846024
2016-05-15,4.737732656514383
2016-05-16,0.0
2016-05-17,8.527918781725889
2016-05-18,4.737732656514383
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,10.423011844331642
2016-05-22,4.737732656514383
2016-05-23,8.527918781725889
2016-05-24,12.318104906937394
2016-05-25,4.737732656514383
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,10.423011844331642
2016-05-30,8.527918781725889
2016-05-31,0.0
2016-06-01,8.527918781725889
2016-06-02,8.527918781725889
2016-06-03,13.26565143824027
2016-06-04,0.0
2016-06-05,10.423011844331642
2016-06-06,0.0
2016-06-07,17.055837563451778
2016-06-08,4.737732656514383
2016-06-09,30.321489001692047
2016-06-10,58.74788494077834
2016-06-11,19.898477157360407
2016-06-12,24.63620981387479
2016-06-13,0.0
2016-06-14,3.790186125211506
2016-06-15,8.527918781725889
2016-06-16,13.26565143824027
2016-06-17,9.475465313028765
2016-06-18,10.423011844331642
2016-06-19,0.0
2016-06-20,17.055837563451778
2016-06-21,0.0
2016-06-22,4.737732656514383
2016-06-23,13.26565143824027
2016-06-24,4.737732656514383
2016-06-25,4.737732656514383
2016-06-26,4.737732656514383
2016-06-27,4.737732656514383
2016-06-28,4.737732656514383
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,9.475465313028765
2016-07-02,0.0
2016-07-03,5.685279187817259
2016-07-04,9.475465313028765
2016-07-05,0.0
2016-07-06,9.475465313028765
2016-07-07,4.737732656514383
2016-07-08,4.737732656514383
2016-07-09,5.685279187817259
2016-07-10,10.423011844331642
2016-07-11,18.003384094754654
2016-07-12,60.642978003384094
2016-07-13,57.800338409475465
2016-07-14,44.534686971235196
2016-07-15,22.741116751269036
2016-07-16,4.737732656514383
2016-07-17,0.0
2016-07-18,18.003384094754654
2016-07-19,8.527918781725889
2016-07-20,4.737732656514383
2016-07-21,13.26565143824027
2016-07-22,13.26565143824027
2016-07-23,36.00676818950931
2016-07-24,46.42978003384095
2016-07-25,30.321489001692047
2016-07-26,39.796954314720814
2016-07-27,17.055837563451778
2016-07-28,26.53130287648054
2016-07-29,32.2165820642978
2016-07-30,26.53130287648054
2016-07-31,25.583756345177665
2016-08-01,21.79357021996616
2016-08-02,13.26565143824027
2016-08-03,26.53130287648054
2016-08-04,4.737732656514383
2016-08-05,9.475465313028765
2016-08-06,5.685279187817259
2016-08-07,10.423011844331642
2016-08-08,17.055837563451778
2016-08-09,4.737732656514383
2016-08-10,13.26565143824027
2016-08-11,9.475465313028765
2016-08-12,13.26565143824027
2016-08-13,4.737732656514383
2016-08-14,10.423011844331642
2016-08-15,4.737732656514383
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,13.26565143824027
2016-08-19,4.737732656514383
2016-08-20,0.0
2016-08-21,10.423011844331642
2016-08-22,8.527918781725889
2016-08-23,0.0
2016-08-24,4.737732656514383
2016-08-25,13.26565143824027
2016-08-26,4.737732656514383
2016-08-27,0.0
2016-08-28,10.423011844331642
2016-08-29,8.527918781725889
2016-08-30,0.0
2016-08-31,3.790186125211506
2016-09-01,4.737732656514383
2016-09-02,8.527918781725889
2016-09-03,4.737732656514383
2016-09-04,4.737732656514383
2016-09-05,8.527918781725889
2016-09-06,17.055837563451778
2016-09-07,21.79357021996616
2016-09-08,13.26565143824027
2016-09-09,13.26565143824027
2016-09-10,4.737732656514383
2016-09-11,9.475465313028765
2016-09-12,4.737732656514383
2016-09-13,0.0
2016-09-14,12.318104906937394
2016-09-15,8.527918781725889
2016-09-16,8.527918781725889
2016-09-17,15.160744500846024
2016-09-18,9.475465313028765
2016-09-19,8.527918781725889
2016-09-20,16.1082910321489
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,21.79357021996616
2016-09-24,44.534686971235196
2016-09-25,34.111675126903556
2016-09-26,29.37394247038917
2016-09-27,94.75465313028765
2016-09-28,37.90186125211506
2016-09-29,34.111675126903556
2016-09-30,35.05922165820643
2016-10-01,27.713197969543145
2016-10-02,12.606598984771573
2016-10-03,14.55414551607445
2016-10-04,17.449238578680202
2016-10-05,21.92301184433164
2016-10-06,26.818104906937393
2016-10-07,18.527918781725887
2016-10-08,11.737732656514382
2016-10-09,7.868866328257191
2016-10-10,36.34602368866328
2016-10-11,25.92301184433164
2016-10-12,17.527918781725887
2016-10-13,18.318104906937393
2016-10-14,17.42301184433164
2016-10-15,11.368866328257191
2016-10-16,24.844331641285955
2016-10-17,12.659052453468696
2016-10-18,11.763959390862944
2016-10-19,14.05414551607445
2016-10-20,37.87225042301185
2016-10-21,7.2639593908629445
2016-10-22,10.237732656514382
2016-10-23,22.975465313028764
2016-10-24,16.92301184433164
2016-10-25,7.790186125211505
2016-10-26,17.449238578680202
2016-10-27,8.5
2016-10-28,21.686971235194584
2016-10-29,21.213197969543145
2016-10-30,11.237732656514382
2016-10-31,15.159052453468696
2016-11-01,12.263959390862944
2016-11-02,27.0
2016-11-03,21.0
2016-11-04,24.0
2016-11-05,20.0
2016-11-06,17.0
2016-11-07,34.0
2016-11-08,35.0
2016-11-09,100.0
2016-11-10,61.0
2016-11-11,46.0
2016-11-12,27.0
2016-11-13,15.0
