date,hillary stroke
2016-05-01,0.0
2016-05-02,2.0
2016-05-03,3.0
2016-05-04,2.0
2016-05-05,3.0
2016-05-06,2.0
2016-05-07,3.0
2016-05-08,0.0
2016-05-09,1.0
2016-05-10,0.0
2016-05-11,1.0
2016-05-12,2.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,0.0
2016-05-19,2.0
2016-05-20,0.0
2016-05-21,2.0
2016-05-22,0.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,2.0
2016-05-26,2.0
2016-05-27,2.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,2.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,4.0
2016-06-08,3.0
2016-06-09,3.0
2016-06-10,2.0
2016-06-11,4.0
2016-06-12,3.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,3.0
2016-06-16,3.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,0.0
2016-06-20,1.0
2016-06-21,0.0
2016-06-22,2.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,0.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,2.0
2016-06-29,2.0
2016-06-30,2.0
2016-07-01,0.0
2016-07-02,5.0
2016-07-03,2.0
2016-07-04,0.0
2016-07-05,5.0
2016-07-06,3.0
2016-07-07,2.0
2016-07-08,3.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,2.0
2016-07-12,2.0
2016-07-13,2.0
2016-07-14,2.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,2.0
2016-07-19,2.0
2016-07-20,2.0
2016-07-21,5.0
2016-07-22,6.0
2016-07-23,12.0
2016-07-24,8.0
2016-07-25,9.0
2016-07-26,5.0
2016-07-27,7.0
2016-07-28,10.0
2016-07-29,16.0
2016-07-30,10.0
2016-07-31,7.0
2016-08-01,5.0
2016-08-02,5.0
2016-08-03,3.0
2016-08-04,9.0
2016-08-05,4.0
2016-08-06,6.0
2016-08-07,15.0
2016-08-08,19.0
2016-08-09,14.0
2016-08-10,24.0
2016-08-11,13.0
2016-08-12,10.0
2016-08-13,6.0
2016-08-14,6.0
2016-08-15,10.0
2016-08-16,8.0
2016-08-17,9.0
2016-08-18,5.0
2016-08-19,7.0
2016-08-20,8.0
2016-08-21,10.0
2016-08-22,8.0
2016-08-23,11.0
2016-08-24,6.0
2016-08-25,3.0
2016-08-26,6.0
2016-08-27,2.0
2016-08-28,6.0
2016-08-29,4.0
2016-08-30,3.0
2016-08-31,4.0
2016-09-01,4.0
2016-09-02,4.0
2016-09-03,5.0
2016-09-04,5.0
2016-09-05,2.0
2016-09-06,7.0
2016-09-07,4.0
2016-09-08,7.0
2016-09-09,5.0
2016-09-10,9.0
2016-09-11,100.0
2016-09-12,77.0
2016-09-13,53.0
2016-09-14,19.0
2016-09-15,14.0
2016-09-16,8.0
2016-09-17,8.0
2016-09-18,5.0
2016-09-19,3.0
2016-09-20,4.0
2016-09-21,11.0
2016-09-22,4.0
2016-09-23,10.0
2016-09-24,2.0
2016-09-25,3.0
2016-09-26,6.0
2016-09-27,18.0
2016-09-28,8.0
2016-09-29,4.0
2016-09-30,4.0
2016-10-01,5.249618320610686
2016-10-02,1.9068702290076336
2016-10-03,1.331297709923664
2016-10-04,3.9648854961832063
2016-10-05,2.0870229007633587
2016-10-06,1.331297709923664
2016-10-07,1.331297709923664
2016-10-08,0.9068702290076336
2016-10-09,3.813740458015267
2016-10-10,6.749618320610686
2016-10-11,2.709160305343511
2016-10-12,3.209160305343511
2016-10-13,0.5
2016-10-14,6.325190839694656
2016-10-15,5.296183206106869
2016-10-16,3.3603053435114503
2016-10-17,1.7557251908396947
2016-10-18,3.0870229007633587
2016-10-19,2.5870229007633587
2016-10-20,7.051908396946565
2016-10-21,2.331297709923664
2016-10-22,5.127480916030534
2016-10-23,2.406870229007634
2016-10-24,0.7557251908396946
2016-10-25,6.342748091603053
2016-10-26,2.5870229007633587
2016-10-27,1.2557251908396947
2016-10-28,3.662595419847328
2016-10-29,1.9068702290076336
2016-10-30,3.406870229007634
2016-10-31,2.831297709923664
2016-11-01,1.831297709923664
2016-11-02,7.859541984732824
2016-11-03,5.441221374045801
2016-11-04,2.4183206106870228
2016-11-05,0.0
2016-11-06,2.7206106870229005
2016-11-07,6.196946564885496
2016-11-08,6.045801526717557
2016-11-09,15.114503816793892
2016-11-10,6.196946564885496
2016-11-11,4.987786259541984
2016-11-12,1.8137404580152672
2016-11-13,1.8137404580152672
2016-11-14,1.5114503816793892
2016-11-15,2.2671755725190836
2016-11-16,2.2671755725190836
2016-11-17,3.1740458015267174
2016-11-18,1.662595419847328
2016-11-19,3.6274809160305344
2016-11-20,1.8137404580152672
2016-11-21,1.5114503816793892
2016-11-22,1.5114503816793892
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,1.662595419847328
2016-11-26,0.0
2016-11-27,3.4763358778625952
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,3.1740458015267174
2016-12-01,2.2671755725190836
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,1.5114503816793892
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,3.1740458015267174
2016-12-09,0.0
2016-12-10,1.964885496183206
2016-12-11,0.0
2016-12-12,1.5114503816793892
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,1.5114503816793892
2016-12-16,1.662595419847328
2016-12-17,1.8137404580152672
2016-12-18,1.8137404580152672
2016-12-19,1.5114503816793892
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,1.662595419847328
2016-12-23,0.0
2016-12-24,1.964885496183206
2016-12-25,3.0229007633587783
2016-12-26,0.0
2016-12-27,1.662595419847328
2016-12-28,0.0
2016-12-29,1.662595419847328
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,1.964885496183206
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,1.662595419847328
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,1.8137404580152672
2017-01-15,0.0
2017-01-16,1.5114503816793892
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,3.4763358778625952
2017-01-22,1.662595419847328
2017-01-23,1.5114503816793892
2017-01-24,1.5114503816793892
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,1.662595419847328
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,1.5114503816793892
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,1.5114503816793892
2017-02-09,1.5114503816793892
2017-02-10,0.0
2017-02-11,1.662595419847328
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,1.662595419847328
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,2.2671755725190836
2017-02-23,1.5114503816793892
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.7557251908396946
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,2.246887647932783
2017-03-22,2.2164557610533326
2017-03-23,0.0
2017-03-24,0.7557251908396946
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.7557251908396946
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.7557251908396946
2017-03-31,1.582458117731441
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,6.025513602131256
2017-04-04,4.564783031917618
2017-04-05,0.0
2017-04-06,3.10405246170398
2017-04-07,3.164916235462882
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,3.10405246170398
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,3.712690199292996
2017-04-17,0.0
2017-04-18,6.025513602131256
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,3.2257800092217837
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,6.086377375890158
2017-04-28,0.0
2017-04-29,3.590962651775193
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,2.982324914186177
2017-05-04,2.982324914186177
2017-05-05,0.0
2017-05-06,3.5300988780162914
2017-05-07,3.5300988780162914
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,3.164916235462882
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,2.982324914186177
2017-05-18,3.10405246170398
2017-05-19,3.164916235462882
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,3.2257800092217837
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,3.2257800092217837
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,3.164916235462882
2017-06-02,3.2257800092217837
2017-06-03,0.0
