date,donald trump scam
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,8.124341412012646
2016-05-04,8.124341412012646
2016-05-05,8.665964172813489
2016-05-06,12.998946259220233
2016-05-07,0.0
2016-05-08,19.49841938883035
2016-05-09,8.124341412012646
2016-05-10,15.707060063224448
2016-05-11,8.124341412012646
2016-05-12,8.124341412012646
2016-05-13,16.790305584826136
2016-05-14,18.956796628029508
2016-05-15,0.0
2016-05-16,8.124341412012646
2016-05-17,15.707060063224448
2016-05-18,20.581664910432035
2016-05-19,0.0
2016-05-20,8.665964172813489
2016-05-21,9.749209694415175
2016-05-22,9.749209694415175
2016-05-23,8.124341412012646
2016-05-24,11.915700737618547
2016-05-25,16.24868282402529
2016-05-26,8.665964172813489
2016-05-27,8.665964172813489
2016-05-28,9.749209694415175
2016-05-29,9.749209694415175
2016-05-30,8.665964172813489
2016-05-31,24.373024236037935
2016-06-01,20.581664910432035
2016-06-02,16.24868282402529
2016-06-03,25.997892518440466
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,12.45732349841939
2016-06-07,8.124341412012646
2016-06-08,8.124341412012646
2016-06-09,20.581664910432035
2016-06-10,17.331928345626977
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,11.915700737618547
2016-06-14,32.49736564805058
2016-06-15,8.124341412012646
2016-06-16,12.45732349841939
2016-06-17,25.456269757639625
2016-06-18,19.49841938883035
2016-06-19,9.749209694415175
2016-06-20,8.124341412012646
2016-06-21,24.373024236037935
2016-06-22,16.790305584826136
2016-06-23,0.0
2016-06-24,25.997892518440466
2016-06-25,9.749209694415175
2016-06-26,9.749209694415175
2016-06-27,12.45732349841939
2016-06-28,12.45732349841939
2016-06-29,20.581664910432035
2016-06-30,0.0
2016-07-01,17.331928345626977
2016-07-02,9.749209694415175
2016-07-03,10.290832455216018
2016-07-04,17.331928345626977
2016-07-05,17.331928345626977
2016-07-06,8.665964172813489
2016-07-07,8.665964172813489
2016-07-08,8.665964172813489
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,8.124341412012646
2016-07-13,8.665964172813489
2016-07-14,16.790305584826136
2016-07-15,8.665964172813489
2016-07-16,9.749209694415175
2016-07-17,9.749209694415175
2016-07-18,16.790305584826136
2016-07-19,12.45732349841939
2016-07-20,16.790305584826136
2016-07-21,8.665964172813489
2016-07-22,0.0
2016-07-23,9.749209694415175
2016-07-24,14.623814541622762
2016-07-25,8.124341412012646
2016-07-26,8.124341412012646
2016-07-27,8.124341412012646
2016-07-28,16.790305584826136
2016-07-29,12.998946259220233
2016-07-30,20.04004214963119
2016-07-31,24.91464699683878
2016-08-01,8.124341412012646
2016-08-02,24.91464699683878
2016-08-03,0.0
2016-08-04,12.45732349841939
2016-08-05,17.331928345626977
2016-08-06,0.0
2016-08-07,20.04004214963119
2016-08-08,24.91464699683878
2016-08-09,8.124341412012646
2016-08-10,8.124341412012646
2016-08-11,8.665964172813489
2016-08-12,8.665964172813489
2016-08-13,9.749209694415175
2016-08-14,0.0
2016-08-15,8.665964172813489
2016-08-16,0.0
2016-08-17,16.790305584826136
2016-08-18,8.665964172813489
2016-08-19,17.331928345626977
2016-08-20,19.49841938883035
2016-08-21,9.749209694415175
2016-08-22,8.124341412012646
2016-08-23,24.91464699683878
2016-08-24,16.790305584826136
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,9.749209694415175
2016-08-29,8.124341412012646
2016-08-30,16.24868282402529
2016-08-31,11.915700737618547
2016-09-01,33.038988408851424
2016-09-02,8.665964172813489
2016-09-03,14.082191780821919
2016-09-04,14.623814541622762
2016-09-05,8.124341412012646
2016-09-06,16.24868282402529
2016-09-07,8.124341412012646
2016-09-08,12.45732349841939
2016-09-09,8.124341412012646
2016-09-10,14.082191780821919
2016-09-11,18.415173867228663
2016-09-12,16.24868282402529
2016-09-13,0.0
2016-09-14,8.124341412012646
2016-09-15,32.49736564805058
2016-09-16,42.24657534246576
2016-09-17,9.207586933614332
2016-09-18,0.0
2016-09-19,8.124341412012646
2016-09-20,7.5827186512118026
2016-09-21,20.04004214963119
2016-09-22,8.124341412012646
2016-09-23,25.456269757639625
2016-09-24,0.0
2016-09-25,9.207586933614332
2016-09-26,8.124341412012646
2016-09-27,19.49841938883035
2016-09-28,11.915700737618547
2016-09-29,16.24868282402529
2016-09-30,16.790305584826136
2016-10-01,17.20758693361433
2016-10-02,20.93677555321391
2016-10-03,14.853530031612223
2016-10-04,14.853530031612223
2016-10-05,9.457850368809273
2016-10-06,11.353530031612223
2016-10-07,9.457850368809273
2016-10-08,15.707586933614332
2016-10-09,17.270284510010537
2016-10-10,43.269230769230774
2016-10-11,16.853530031612223
2016-10-12,9.562170706006324
2016-10-13,12.957850368809273
2016-10-14,23.186512118018967
2016-10-15,10.603793466807165
2016-10-16,43.58113804004215
2016-10-17,25.082718651211803
2016-10-18,9.187038988408851
2016-10-19,12.687038988408851
2016-10-20,34.540569020021074
2016-10-21,7.562170706006323
2016-10-22,17.20758693361433
2016-10-23,12.603793466807165
2016-10-24,13.082718651211803
2016-10-25,15.144889357218126
2016-10-26,11.082718651211803
2016-10-27,9.457850368809273
2016-10-28,15.624341412012646
2016-10-29,17.103793466807165
2016-10-30,0.0
2016-10-31,7.562170706006323
2016-11-01,14.957850368809273
2016-11-02,7.0
2016-11-03,7.0
2016-11-04,22.0
2016-11-05,8.0
2016-11-06,16.0
2016-11-07,14.0
2016-11-08,41.0
2016-11-09,100.0
2016-11-10,91.0
2016-11-11,29.0
