date,trump health
2016-05-01,0.3839184597961495
2016-05-02,1.1517553793884485
2016-05-03,1.4077010192525483
2016-05-04,3.071347678369196
2016-05-05,2.431483578708947
2016-05-06,1.791619479048698
2016-05-07,1.0237825594563987
2016-05-08,0.6398640996602492
2016-05-09,1.535673839184598
2016-05-10,0.895809739524349
2016-05-11,1.4077010192525483
2016-05-12,1.9195922989807477
2016-05-13,1.6636466591166479
2016-05-14,0.6398640996602492
2016-05-15,0.5118912797281994
2016-05-16,0.895809739524349
2016-05-17,1.2797281993204983
2016-05-18,1.2797281993204983
2016-05-19,1.1517553793884485
2016-05-20,0.3839184597961495
2016-05-21,0.5118912797281994
2016-05-22,0.5118912797281994
2016-05-23,0.6398640996602492
2016-05-24,0.895809739524349
2016-05-25,0.5118912797281994
2016-05-26,1.0237825594563987
2016-05-27,1.0237825594563987
2016-05-28,0.5118912797281994
2016-05-29,0.895809739524349
2016-05-30,0.767836919592299
2016-05-31,0.6398640996602492
2016-06-01,1.0237825594563987
2016-06-02,0.6398640996602492
2016-06-03,0.767836919592299
2016-06-04,0.6398640996602492
2016-06-05,0.6398640996602492
2016-06-06,0.767836919592299
2016-06-07,1.1517553793884485
2016-06-08,1.0237825594563987
2016-06-09,0.895809739524349
2016-06-10,1.0237825594563987
2016-06-11,0.6398640996602492
2016-06-12,0.6398640996602492
2016-06-13,1.1517553793884485
2016-06-14,1.4077010192525483
2016-06-15,1.1517553793884485
2016-06-16,1.0237825594563987
2016-06-17,0.767836919592299
2016-06-18,0.5118912797281994
2016-06-19,0.6398640996602492
2016-06-20,0.767836919592299
2016-06-21,0.895809739524349
2016-06-22,0.767836919592299
2016-06-23,0.767836919592299
2016-06-24,0.6398640996602492
2016-06-25,0.6398640996602492
2016-06-26,0.895809739524349
2016-06-27,0.767836919592299
2016-06-28,0.767836919592299
2016-06-29,0.5118912797281994
2016-06-30,0.6398640996602492
2016-07-01,0.2559456398640997
2016-07-02,0.2559456398640997
2016-07-03,0.6398640996602492
2016-07-04,0.3839184597961495
2016-07-05,0.6398640996602492
2016-07-06,0.895809739524349
2016-07-07,0.6398640996602492
2016-07-08,0.6398640996602492
2016-07-09,0.5118912797281994
2016-07-10,0.2559456398640997
2016-07-11,0.6398640996602492
2016-07-12,0.895809739524349
2016-07-13,0.767836919592299
2016-07-14,1.4077010192525483
2016-07-15,0.6398640996602492
2016-07-16,0.6398640996602492
2016-07-17,0.6398640996602492
2016-07-18,1.1517553793884485
2016-07-19,4.479048697621744
2016-07-20,3.071347678369196
2016-07-21,2.943374858437146
2016-07-22,4.479048697621744
2016-07-23,1.791619479048698
2016-07-24,1.1517553793884485
2016-07-25,1.2797281993204983
2016-07-26,2.431483578708947
2016-07-27,2.431483578708947
2016-07-28,2.1755379388448475
2016-07-29,2.431483578708947
2016-07-30,2.303510758776897
