date,hillary conference
2016-05-01,0.0
2016-05-02,1.0936708860759494
2016-05-03,1.6405063291139241
2016-05-04,3.8278481012658228
2016-05-05,1.6405063291139241
2016-05-06,2.187341772151899
2016-05-07,0.0
2016-05-08,2.187341772151899
2016-05-09,0.0
2016-05-10,1.0936708860759494
2016-05-11,1.6405063291139241
2016-05-12,0.0
2016-05-13,1.6405063291139241
2016-05-14,1.0936708860759494
2016-05-15,2.187341772151899
2016-05-16,1.0936708860759494
2016-05-17,1.6405063291139241
2016-05-18,1.0936708860759494
2016-05-19,1.6405063291139241
2016-05-20,0.0
2016-05-21,1.0936708860759494
2016-05-22,1.6405063291139241
2016-05-23,2.7341772151898738
2016-05-24,1.0936708860759494
2016-05-25,2.7341772151898738
2016-05-26,2.187341772151899
2016-05-27,2.187341772151899
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,2.7341772151898738
2016-06-01,3.8278481012658228
2016-06-02,4.374683544303798
2016-06-03,4.921518987341773
2016-06-04,1.0936708860759494
2016-06-05,3.2810126582278483
2016-06-06,1.6405063291139241
2016-06-07,5.4683544303797476
2016-06-08,4.921518987341773
2016-06-09,3.8278481012658228
2016-06-10,1.0936708860759494
2016-06-11,1.6405063291139241
2016-06-12,2.187341772151899
2016-06-13,4.921518987341773
2016-06-14,3.8278481012658228
2016-06-15,3.8278481012658228
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,1.0936708860759494
2016-06-19,0.0
2016-06-20,3.8278481012658228
2016-06-21,1.6405063291139241
2016-06-22,1.6405063291139241
2016-06-23,1.0936708860759494
2016-06-24,3.2810126582278483
2016-06-25,3.2810126582278483
2016-06-26,1.0936708860759494
2016-06-27,1.0936708860759494
2016-06-28,2.7341772151898738
2016-06-29,1.6405063291139241
2016-06-30,1.6405063291139241
2016-07-01,1.0936708860759494
2016-07-02,1.0936708860759494
2016-07-03,4.374683544303798
2016-07-04,1.0936708860759494
2016-07-05,23.513924050632912
2016-07-06,18.045569620253165
2016-07-07,8.202531645569621
2016-07-08,7.6556962025316455
2016-07-09,5.4683544303797476
2016-07-10,3.2810126582278483
2016-07-11,1.6405063291139241
2016-07-12,2.187341772151899
2016-07-13,1.6405063291139241
2016-07-14,1.6405063291139241
2016-07-15,1.6405063291139241
2016-07-16,1.0936708860759494
2016-07-17,2.187341772151899
2016-07-18,2.187341772151899
2016-07-19,3.2810126582278483
2016-07-20,1.6405063291139241
2016-07-21,1.0936708860759494
2016-07-22,6.015189873417722
2016-07-23,6.015189873417722
2016-07-24,3.8278481012658228
2016-07-25,4.374683544303798
2016-07-26,3.2810126582278483
2016-07-27,20.77974683544304
2016-07-28,24.60759493670886
2016-07-29,19.68607594936709
2016-07-30,9.843037974683545
2016-07-31,8.749367088607595
2016-08-01,4.921518987341773
2016-08-02,4.921518987341773
2016-08-03,4.921518987341773
2016-08-04,5.4683544303797476
2016-08-05,21.326582278481013
2016-08-06,19.68607594936709
2016-08-07,8.202531645569621
2016-08-08,42.106329113924055
2016-08-09,43.74683544303798
2016-08-10,6.015189873417722
2016-08-11,3.2810126582278483
2016-08-12,5.4683544303797476
2016-08-13,2.187341772151899
2016-08-14,1.0936708860759494
2016-08-15,2.7341772151898738
2016-08-16,1.6405063291139241
2016-08-17,2.7341772151898738
2016-08-18,2.7341772151898738
2016-08-19,4.374683544303798
2016-08-20,3.2810126582278483
2016-08-21,6.015189873417722
2016-08-22,7.6556962025316455
2016-08-23,6.015189873417722
2016-08-24,7.6556962025316455
2016-08-25,9.843037974683545
2016-08-26,6.5620253164556965
2016-08-27,3.8278481012658228
2016-08-28,4.921518987341773
2016-08-29,3.8278481012658228
2016-08-30,6.5620253164556965
2016-08-31,7.1088607594936715
2016-09-01,10.936708860759495
2016-09-02,8.749367088607595
2016-09-03,7.1088607594936715
2016-09-04,9.29620253164557
2016-09-05,14.217721518987343
2016-09-06,22.96708860759494
2016-09-07,12.030379746835443
2016-09-08,54.68354430379747
2016-09-09,20.77974683544304
2016-09-10,12.030379746835443
2016-09-11,14.764556962025317
2016-09-12,13.670886075949367
2016-09-13,6.5620253164556965
2016-09-14,6.5620253164556965
2016-09-15,11.48354430379747
2016-09-16,11.48354430379747
2016-09-17,7.1088607594936715
2016-09-18,6.015189873417722
2016-09-19,18.59240506329114
2016-09-20,7.6556962025316455
2016-09-21,8.202531645569621
2016-09-22,6.5620253164556965
2016-09-23,7.1088607594936715
2016-09-24,4.921518987341773
2016-09-25,5.4683544303797476
2016-09-26,4.921518987341773
2016-09-27,9.29620253164557
2016-09-28,5.4683544303797476
2016-09-29,3.2810126582278483
2016-09-30,1.6405063291139241
2016-10-01,1.8670886075949369
2016-10-02,1.320253164556962
2016-10-03,5.734177215189874
2016-10-04,8.648101265822785
2016-10-05,6.281012658227848
2016-10-06,3.640506329113924
2016-10-07,1.0
2016-10-08,2.9139240506329114
2016-10-09,8.827848101265822
2016-10-10,17.843037974683547
2016-10-11,7.281012658227848
2016-10-12,5.007594936708861
2016-10-13,2.367088607594937
2016-10-14,3.4139240506329114
2016-10-15,2.867088607594937
2016-10-16,2.320253164556962
2016-10-17,3.9139240506329114
2016-10-18,5.234177215189874
2016-10-19,4.460759493670887
2016-10-20,6.007594936708861
2016-10-21,4.960759493670887
2016-10-22,2.867088607594937
2016-10-23,3.367088607594937
2016-10-24,3.367088607594937
2016-10-25,1.0468354430379747
2016-10-26,1.320253164556962
2016-10-27,2.320253164556962
2016-10-28,31.58481012658228
2016-10-29,43.232911392405065
2016-10-30,6.054430379746836
