date,abedin
2016-05-01,0.9626373626373627
2016-05-02,0.0
2016-05-03,0.9626373626373627
2016-05-04,0.9626373626373627
2016-05-05,1.9252747252747253
2016-05-06,6.7384615384615385
2016-05-07,1.9252747252747253
2016-05-08,0.9626373626373627
2016-05-09,0.9626373626373627
2016-05-10,0.9626373626373627
2016-05-11,0.9626373626373627
2016-05-12,0.9626373626373627
2016-05-13,0.9626373626373627
2016-05-14,0.9626373626373627
2016-05-15,0.9626373626373627
2016-05-16,0.9626373626373627
2016-05-17,0.9626373626373627
2016-05-18,0.9626373626373627
2016-05-19,0.9626373626373627
2016-05-20,0.9626373626373627
2016-05-21,0.9626373626373627
2016-05-22,0.9626373626373627
2016-05-23,0.9626373626373627
2016-05-24,0.9626373626373627
2016-05-25,0.9626373626373627
2016-05-26,0.9626373626373627
2016-05-27,1.9252747252747253
2016-05-28,0.9626373626373627
2016-05-29,0.9626373626373627
2016-05-30,1.9252747252747253
2016-05-31,0.9626373626373627
2016-06-01,0.9626373626373627
2016-06-02,1.9252747252747253
2016-06-03,0.9626373626373627
2016-06-04,0.9626373626373627
2016-06-05,0.9626373626373627
2016-06-06,0.9626373626373627
2016-06-07,0.9626373626373627
2016-06-08,0.9626373626373627
2016-06-09,0.9626373626373627
2016-06-10,0.9626373626373627
2016-06-11,0.9626373626373627
2016-06-12,0.9626373626373627
2016-06-13,1.9252747252747253
2016-06-14,2.887912087912088
2016-06-15,1.9252747252747253
2016-06-16,1.9252747252747253
2016-06-17,0.9626373626373627
2016-06-18,0.9626373626373627
2016-06-19,0.9626373626373627
2016-06-20,0.0
2016-06-21,0.9626373626373627
2016-06-22,0.9626373626373627
2016-06-23,0.9626373626373627
2016-06-24,0.9626373626373627
2016-06-25,0.9626373626373627
2016-06-26,1.9252747252747253
2016-06-27,0.9626373626373627
2016-06-28,2.887912087912088
2016-06-29,2.887912087912088
2016-06-30,3.8505494505494506
2016-07-01,1.9252747252747253
2016-07-02,0.9626373626373627
2016-07-03,0.9626373626373627
2016-07-04,1.9252747252747253
2016-07-05,3.8505494505494506
2016-07-06,2.887912087912088
2016-07-07,1.9252747252747253
2016-07-08,0.9626373626373627
2016-07-09,0.9626373626373627
2016-07-10,0.9626373626373627
2016-07-11,0.9626373626373627
2016-07-12,0.9626373626373627
2016-07-13,0.9626373626373627
2016-07-14,0.9626373626373627
2016-07-15,0.9626373626373627
2016-07-16,0.9626373626373627
2016-07-17,0.9626373626373627
2016-07-18,0.9626373626373627
2016-07-19,0.0
2016-07-20,0.9626373626373627
2016-07-21,0.9626373626373627
2016-07-22,0.9626373626373627
2016-07-23,0.0
2016-07-24,0.9626373626373627
2016-07-25,0.9626373626373627
2016-07-26,0.9626373626373627
2016-07-27,1.9252747252747253
2016-07-28,0.9626373626373627
2016-07-29,2.887912087912088
2016-07-30,1.9252747252747253
2016-07-31,0.9626373626373627
2016-08-01,0.9626373626373627
2016-08-02,0.9626373626373627
2016-08-03,0.9626373626373627
2016-08-04,0.9626373626373627
2016-08-05,0.9626373626373627
2016-08-06,1.9252747252747253
2016-08-07,1.9252747252747253
2016-08-08,0.9626373626373627
2016-08-09,0.9626373626373627
2016-08-10,2.887912087912088
2016-08-11,2.887912087912088
2016-08-12,1.9252747252747253
2016-08-13,1.9252747252747253
2016-08-14,1.9252747252747253
2016-08-15,2.887912087912088
2016-08-16,1.9252747252747253
2016-08-17,1.9252747252747253
2016-08-18,0.9626373626373627
2016-08-19,0.9626373626373627
2016-08-20,1.9252747252747253
2016-08-21,4.813186813186813
2016-08-22,9.626373626373626
2016-08-23,9.626373626373626
2016-08-24,7.701098901098901
2016-08-25,7.701098901098901
2016-08-26,3.8505494505494506
2016-08-27,3.8505494505494506
2016-08-28,2.887912087912088
2016-08-29,73.16043956043956
2016-08-30,65.45934065934065
2016-08-31,18.29010989010989
2016-09-01,7.701098901098901
2016-09-02,4.813186813186813
2016-09-03,5.775824175824176
2016-09-04,4.813186813186813
2016-09-05,3.8505494505494506
2016-09-06,1.9252747252747253
2016-09-07,1.9252747252747253
2016-09-08,1.9252747252747253
2016-09-09,0.9626373626373627
2016-09-10,0.9626373626373627
2016-09-11,1.9252747252747253
2016-09-12,1.9252747252747253
2016-09-13,1.9252747252747253
2016-09-14,1.9252747252747253
2016-09-15,1.9252747252747253
2016-09-16,0.9626373626373627
2016-09-17,0.9626373626373627
2016-09-18,1.9252747252747253
2016-09-19,0.9626373626373627
2016-09-20,0.9626373626373627
2016-09-21,1.9252747252747253
2016-09-22,2.887912087912088
2016-09-23,2.887912087912088
2016-09-24,1.9252747252747253
2016-09-25,1.9252747252747253
2016-09-26,1.9252747252747253
2016-09-27,1.9252747252747253
2016-09-28,1.9252747252747253
2016-09-29,1.9252747252747253
2016-09-30,0.9626373626373627
2016-10-01,0.9813186813186814
2016-10-02,1.9626373626373628
2016-10-03,2.443956043956044
2016-10-04,0.9813186813186814
2016-10-05,0.9813186813186814
2016-10-06,0.9813186813186814
2016-10-07,2.4626373626373628
2016-10-08,1.9626373626373628
2016-10-09,1.9626373626373628
2016-10-10,1.9626373626373628
2016-10-11,1.4813186813186814
2016-10-12,1.9626373626373628
2016-10-13,1.4626373626373628
2016-10-14,1.4626373626373628
2016-10-15,0.9813186813186814
2016-10-16,1.9626373626373628
2016-10-17,1.9626373626373628
2016-10-18,3.9252747252747255
2016-10-19,3.9252747252747255
2016-10-20,3.9252747252747255
2016-10-21,3.4252747252747255
2016-10-22,3.4252747252747255
2016-10-23,5.887912087912088
2016-10-24,2.943956043956044
