date,hillary campaign
2016-05-01,4.3363774733637745
2016-05-02,4.730593607305936
2016-05-03,5.1248097412480975
2016-05-04,13.403348554033485
2016-05-05,9.855403348554033
2016-05-06,7.884322678843226
2016-05-07,4.730593607305936
2016-05-08,4.730593607305936
2016-05-09,3.942161339421613
2016-05-10,5.519025875190258
2016-05-11,5.1248097412480975
2016-05-12,5.1248097412480975
2016-05-13,3.942161339421613
2016-05-14,4.3363774733637745
2016-05-15,3.1537290715372905
2016-05-16,3.942161339421613
2016-05-17,3.547945205479452
2016-05-18,5.1248097412480975
2016-05-19,5.91324200913242
2016-05-20,3.547945205479452
2016-05-21,3.1537290715372905
2016-05-22,3.942161339421613
2016-05-23,3.547945205479452
2016-05-24,3.942161339421613
2016-05-25,5.1248097412480975
2016-05-26,5.91324200913242
2016-05-27,3.1537290715372905
2016-05-28,2.759512937595129
2016-05-29,3.942161339421613
2016-05-30,3.942161339421613
2016-05-31,4.3363774733637745
2016-06-01,3.1537290715372905
2016-06-02,5.91324200913242
2016-06-03,5.91324200913242
2016-06-04,3.547945205479452
2016-06-05,3.942161339421613
2016-06-06,4.3363774733637745
2016-06-07,6.701674277016743
2016-06-08,15.768645357686452
2016-06-09,8.672754946727549
2016-06-10,7.095890410958904
2016-06-11,5.91324200913242
2016-06-12,7.095890410958904
2016-06-13,4.3363774733637745
2016-06-14,3.547945205479452
2016-06-15,4.730593607305936
2016-06-16,4.3363774733637745
2016-06-17,4.730593607305936
2016-06-18,3.1537290715372905
2016-06-19,3.547945205479452
2016-06-20,3.1537290715372905
2016-06-21,7.095890410958904
2016-06-22,7.095890410958904
2016-06-23,5.519025875190258
2016-06-24,5.1248097412480975
2016-06-25,4.730593607305936
2016-06-26,4.730593607305936
2016-06-27,4.730593607305936
2016-06-28,4.730593607305936
2016-06-29,3.942161339421613
2016-06-30,3.942161339421613
2016-07-01,4.3363774733637745
2016-07-02,4.3363774733637745
2016-07-03,4.3363774733637745
2016-07-04,3.942161339421613
2016-07-05,9.855403348554033
2016-07-06,7.490106544901065
2016-07-07,6.701674277016743
2016-07-08,5.1248097412480975
2016-07-09,3.942161339421613
2016-07-10,3.547945205479452
2016-07-11,3.942161339421613
2016-07-12,5.519025875190258
2016-07-13,4.730593607305936
2016-07-14,4.3363774733637745
2016-07-15,4.730593607305936
2016-07-16,5.519025875190258
2016-07-17,4.3363774733637745
2016-07-18,4.730593607305936
2016-07-19,7.095890410958904
2016-07-20,8.278538812785389
2016-07-21,8.278538812785389
2016-07-22,11.038051750380516
2016-07-23,11.038051750380516
2016-07-24,12.220700152207002
2016-07-25,21.681887366818874
2016-07-26,22.864535768645357
2016-07-27,20.89345509893455
2016-07-28,18.922374429223744
2016-07-29,39.42161339421613
2016-07-30,22.470319634703195
2016-07-31,17.73972602739726
2016-08-01,12.220700152207002
2016-08-02,12.614916286149162
2016-08-03,9.461187214611872
2016-08-04,11.82648401826484
