date,speech
2016-05-01,7.4793875147232045
2016-05-02,8.676089517078918
2016-05-03,8.07773851590106
2016-05-04,9.274440518256773
2016-05-05,8.07773851590106
2016-05-06,6.8810365135453475
2016-05-07,5.684334511189635
2016-05-08,6.282685512367491
2016-05-09,8.07773851590106
2016-05-10,7.778563015312132
2016-05-11,7.778563015312132
2016-05-12,7.4793875147232045
2016-05-13,6.58186101295642
2016-05-14,5.385159010600707
2016-05-15,6.282685512367491
2016-05-16,7.778563015312132
2016-05-17,8.676089517078918
2016-05-18,8.975265017667844
2016-05-19,8.975265017667844
2016-05-20,8.37691401648999
2016-05-21,7.4793875147232045
2016-05-22,6.282685512367491
2016-05-23,6.8810365135453475
2016-05-24,7.180212014134276
2016-05-25,6.8810365135453475
2016-05-26,6.8810365135453475
2016-05-27,6.58186101295642
2016-05-28,5.385159010600707
2016-05-29,5.983510011778563
2016-05-30,6.282685512367491
2016-05-31,6.58186101295642
2016-06-01,6.58186101295642
2016-06-02,6.8810365135453475
2016-06-03,6.8810365135453475
2016-06-04,6.282685512367491
2016-06-05,5.983510011778563
2016-06-06,6.8810365135453475
2016-06-07,6.8810365135453475
2016-06-08,9.573616018845701
2016-06-09,9.573616018845701
2016-06-10,7.4793875147232045
2016-06-11,5.684334511189635
2016-06-12,6.282685512367491
2016-06-13,8.37691401648999
2016-06-14,8.37691401648999
2016-06-15,7.4793875147232045
2016-06-16,7.4793875147232045
2016-06-17,6.58186101295642
2016-06-18,5.684334511189635
2016-06-19,5.983510011778563
2016-06-20,6.282685512367491
2016-06-21,6.282685512367491
2016-06-22,7.4793875147232045
2016-06-23,7.4793875147232045
2016-06-24,8.676089517078918
2016-06-25,5.684334511189635
2016-06-26,5.684334511189635
2016-06-27,9.274440518256773
2016-06-28,9.274440518256773
2016-06-29,7.4793875147232045
2016-06-30,8.37691401648999
2016-07-01,6.58186101295642
2016-07-02,5.684334511189635
2016-07-03,5.983510011778563
2016-07-04,6.282685512367491
2016-07-05,6.58186101295642
2016-07-06,6.58186101295642
2016-07-07,6.282685512367491
2016-07-08,6.282685512367491
2016-07-09,5.385159010600707
2016-07-10,5.385159010600707
2016-07-11,5.983510011778563
2016-07-12,6.58186101295642
2016-07-13,8.37691401648999
2016-07-14,7.778563015312132
2016-07-15,5.983510011778563
2016-07-16,5.085983510011779
2016-07-17,5.684334511189635
2016-07-18,6.8810365135453475
2016-07-19,29.917550058892818
2016-07-20,23.634864546525325
2016-07-21,21.2414605418139
2016-07-22,25.429917550058896
2016-07-23,10.471142520612485
2016-07-24,8.975265017667844
2016-07-25,8.975265017667844
2016-07-26,23.634864546525325
2016-07-27,18.848056537102476
2016-07-28,25.729093050647823
2016-07-29,25.729093050647823
2016-07-30,12.565371024734983
2016-07-31,10.471142520612485
2016-08-01,8.07773851590106
2016-08-02,8.37691401648999
2016-08-03,7.778563015312132
2016-08-04,7.4793875147232045
2016-08-05,6.58186101295642
2016-08-06,6.282685512367491
2016-08-07,7.778563015312132
2016-08-08,8.37691401648999
2016-08-09,8.37691401648999
2016-08-10,8.37691401648999
2016-08-11,8.676089517078918
2016-08-12,7.778563015312132
2016-08-13,7.180212014134276
2016-08-14,9.573616018845701
2016-08-15,10.171967020023558
2016-08-16,7.4793875147232045
2016-08-17,7.180212014134276
2016-08-18,6.282685512367491
2016-08-19,6.282685512367491
2016-08-20,5.085983510011779
2016-08-21,6.282685512367491
2016-08-22,7.4793875147232045
2016-08-23,7.778563015312132
2016-08-24,7.4793875147232045
2016-08-25,8.07773851590106
2016-08-26,8.07773851590106
2016-08-27,6.58186101295642
2016-08-28,6.282685512367491
2016-08-29,9.274440518256773
2016-08-30,8.676089517078918
2016-08-31,9.573616018845701
2016-09-01,11.667844522968199
2016-09-02,8.37691401648999
2016-09-03,6.8810365135453475
2016-09-04,8.37691401648999
2016-09-05,7.778563015312132
2016-09-06,8.37691401648999
2016-09-07,8.676089517078918
2016-09-08,8.37691401648999
2016-09-09,7.4793875147232045
2016-09-10,7.180212014134276
2016-09-11,7.180212014134276
2016-09-12,8.37691401648999
2016-09-13,8.676089517078918
2016-09-14,8.676089517078918
2016-09-15,8.37691401648999
2016-09-16,7.4793875147232045
2016-09-17,5.684334511189635
2016-09-18,6.8810365135453475
2016-09-19,9.573616018845701
2016-09-20,9.274440518256773
2016-09-21,9.573616018845701
2016-09-22,9.573616018845701
2016-09-23,8.07773851590106
2016-09-24,6.8810365135453475
2016-09-25,7.778563015312132
2016-09-26,9.573616018845701
2016-09-27,9.87279151943463
2016-09-28,9.274440518256773
2016-09-29,8.37691401648999
2016-09-30,7.4793875147232045
2016-10-01,6.141342756183746
2016-10-02,6.940518256772673
2016-10-03,8.03886925795053
2016-10-04,8.188457008244995
2016-10-05,8.188457008244995
2016-10-06,8.03886925795053
2016-10-07,6.79093050647821
2016-10-08,5.9917550058892814
2016-10-09,6.79093050647821
2016-10-10,7.889281507656066
2016-10-11,8.03886925795053
2016-10-12,8.838044758539459
2016-10-13,9.936395759717314
2016-10-14,11.034746760895171
2016-10-15,7.889281507656066
2016-10-16,7.889281507656066
2016-10-17,8.838044758539459
2016-10-18,8.987632508833922
2016-10-19,9.637220259128387
2016-10-20,10.235571260306243
2016-10-21,9.936395759717314
2016-10-22,7.239693757361602
2016-10-23,7.0901060070671384
2016-10-24,8.188457008244995
2016-10-25,8.188457008244995
2016-10-26,8.03886925795053
2016-10-27,8.03886925795053
2016-10-28,6.940518256772673
2016-10-29,5.04299175500589
2016-10-30,5.842167255594818
2016-10-31,7.0901060070671384
