date,donald trump suit
2016-05-01,7.846636771300449
2016-05-02,12.071748878923767
2016-05-03,6.639461883408072
2016-05-04,16.296860986547085
2016-05-05,7.24304932735426
2016-05-06,10.86457399103139
2016-05-07,4.2251121076233185
2016-05-08,6.0358744394618835
2016-05-09,3.62152466367713
2016-05-10,6.639461883408072
2016-05-11,10.260986547085203
2016-05-12,4.828699551569507
2016-05-13,6.639461883408072
2016-05-14,6.0358744394618835
2016-05-15,6.0358744394618835
2016-05-16,4.828699551569507
2016-05-17,19.918385650224216
2016-05-18,3.62152466367713
2016-05-19,13.278923766816144
2016-05-20,7.24304932735426
2016-05-21,0.0
2016-05-22,4.2251121076233185
2016-05-23,3.62152466367713
2016-05-24,6.639461883408072
2016-05-25,4.828699551569507
2016-05-26,7.24304932735426
2016-05-27,3.62152466367713
2016-05-28,0.0
2016-05-29,27.765022421524662
2016-05-30,10.260986547085203
2016-05-31,4.828699551569507
2016-06-01,6.639461883408072
2016-06-02,10.260986547085203
2016-06-03,7.24304932735426
2016-06-04,10.260986547085203
2016-06-05,12.071748878923767
2016-06-06,3.62152466367713
2016-06-07,21.72914798206278
2016-06-08,21.72914798206278
2016-06-09,18.711210762331838
2016-06-10,10.86457399103139
2016-06-11,4.2251121076233185
2016-06-12,6.0358744394618835
2016-06-13,21.72914798206278
2016-06-14,8.450224215246637
2016-06-15,8.450224215246637
2016-06-16,16.900448430493274
2016-06-17,10.86457399103139
2016-06-18,6.0358744394618835
2016-06-19,6.0358744394618835
2016-06-20,6.639461883408072
2016-06-21,4.828699551569507
2016-06-22,6.639461883408072
2016-06-23,8.450224215246637
2016-06-24,10.86457399103139
2016-06-25,7.846636771300449
2016-06-26,4.2251121076233185
2016-06-27,4.828699551569507
2016-06-28,6.639461883408072
2016-06-29,3.62152466367713
2016-06-30,6.639461883408072
2016-07-01,7.24304932735426
2016-07-02,12.071748878923767
2016-07-03,4.2251121076233185
2016-07-04,10.86457399103139
2016-07-05,0.0
2016-07-06,12.675336322869956
2016-07-07,5.432286995515695
2016-07-08,0.0
2016-07-09,4.2251121076233185
2016-07-10,4.2251121076233185
2016-07-11,6.639461883408072
2016-07-12,0.0
2016-07-13,6.639461883408072
2016-07-14,7.24304932735426
2016-07-15,3.62152466367713
2016-07-16,6.0358744394618835
2016-07-17,8.450224215246637
2016-07-18,10.260986547085203
2016-07-19,24.143497757847534
2016-07-20,21.12556053811659
2016-07-21,15.693273542600897
2016-07-22,30.17937219730942
2016-07-23,12.071748878923767
2016-07-24,18.10762331838565
2016-07-25,3.62152466367713
2016-07-26,15.693273542600897
2016-07-27,12.071748878923767
2016-07-28,17.504035874439463
2016-07-29,21.72914798206278
2016-07-30,28.97219730941704
2016-07-31,12.071748878923767
2016-08-01,24.143497757847534
2016-08-02,10.260986547085203
2016-08-03,5.432286995515695
2016-08-04,10.260986547085203
2016-08-05,10.86457399103139
2016-08-06,8.450224215246637
2016-08-07,10.260986547085203
2016-08-08,8.450224215246637
2016-08-09,6.639461883408072
2016-08-10,12.071748878923767
2016-08-11,7.24304932735426
2016-08-12,9.053811659192824
2016-08-13,12.071748878923767
2016-08-14,4.2251121076233185
2016-08-15,12.675336322869956
2016-08-16,8.450224215246637
2016-08-17,8.450224215246637
2016-08-18,15.693273542600897
2016-08-19,10.86457399103139
2016-08-20,15.693273542600897
2016-08-21,4.2251121076233185
2016-08-22,3.62152466367713
2016-08-23,10.260986547085203
2016-08-24,13.882511210762331
2016-08-25,6.639461883408072
2016-08-26,5.432286995515695
2016-08-27,12.071748878923767
2016-08-28,4.2251121076233185
2016-08-29,13.278923766816144
2016-08-30,10.260986547085203
2016-08-31,6.639461883408072
2016-09-01,8.450224215246637
2016-09-02,7.24304932735426
2016-09-03,11.468161434977578
2016-09-04,7.846636771300449
2016-09-05,6.639461883408072
2016-09-06,6.639461883408072
2016-09-07,6.639461883408072
2016-09-08,4.828699551569507
2016-09-09,10.260986547085203
2016-09-10,11.468161434977578
2016-09-11,7.846636771300449
2016-09-12,12.071748878923767
2016-09-13,4.828699551569507
2016-09-14,9.657399103139014
2016-09-15,11.468161434977578
2016-09-16,17.504035874439463
2016-09-17,6.0358744394618835
2016-09-18,9.657399103139014
2016-09-19,9.657399103139014
2016-09-20,6.639461883408072
2016-09-21,6.639461883408072
2016-09-22,4.828699551569507
2016-09-23,17.504035874439463
2016-09-24,7.846636771300449
2016-09-25,7.846636771300449
2016-09-26,16.296860986547085
2016-09-27,30.782959641255605
2016-09-28,11.468161434977578
2016-09-29,16.296860986547085
2016-09-30,32.59372197309417
2016-10-01,13.950224215246637
2016-10-02,14.837668161434978
2016-10-03,7.923318385650225
2016-10-04,15.760986547085203
2016-10-05,19.657399103139014
2016-10-06,13.639461883408071
2016-10-07,7.3197309417040355
2016-10-08,31.72914798206278
2016-10-09,34.80582959641256
2016-10-10,42.945291479820625
2016-10-11,31.3914798206278
2016-10-12,28.787892376681615
2016-10-13,22.97713004484305
2016-10-14,22.45919282511211
2016-10-15,18.044843049327355
2016-10-16,24.571748878923767
2016-10-17,17.760986547085203
2016-10-18,17.157399103139014
2016-10-19,13.252017937219732
2016-10-20,54.67937219730942
2016-10-21,18.74304932735426
2016-10-22,24.950224215246635
2016-10-23,18.950224215246635
2016-10-24,16.932286995515696
2016-10-25,29.675336322869956
2016-10-26,13.84663677130045
2016-10-27,13.648430493273542
2016-10-28,18.950224215246635
2016-10-29,16.35560538116592
2016-10-30,14.639461883408071
2016-10-31,23.74304932735426
2016-11-01,8.914349775784753
2016-11-02,15.0
