date,obama stupid
2016-05-01,40.04028197381672
2016-05-02,17.482376636455186
2016-05-03,12.406847935548843
2016-05-04,16.91842900302115
2016-05-05,21.993957703927492
2016-05-06,18.046324269889226
2016-05-07,20.30211480362538
2016-05-08,20.30211480362538
2016-05-09,8.459214501510575
2016-05-10,16.91842900302115
2016-05-11,33.8368580060423
2016-05-12,17.482376636455186
2016-05-13,17.482376636455186
2016-05-14,15.226586102719034
2016-05-15,14.662638469284996
2016-05-16,42.29607250755287
2016-05-17,29.325276938569992
2016-05-18,20.86606243705942
2016-05-19,12.970795568982881
2016-05-20,9.023162134944613
2016-05-21,10.15105740181269
2016-05-22,10.15105740181269
2016-05-23,12.970795568982881
2016-05-24,33.8368580060423
2016-05-25,17.482376636455186
2016-05-26,18.046324269889226
2016-05-27,27.06948640483384
2016-05-28,15.226586102719034
2016-05-29,25.377643504531726
2016-05-30,21.993957703927492
2016-05-31,16.91842900302115
2016-06-01,16.91842900302115
2016-06-02,34.96475327291037
2016-06-03,18.046324269889226
2016-06-04,15.226586102719034
2016-06-05,20.30211480362538
2016-06-06,8.459214501510575
2016-06-07,33.8368580060423
2016-06-08,21.430010070493456
2016-06-09,34.96475327291037
2016-06-10,18.046324269889226
2016-06-11,25.377643504531726
2016-06-12,19.73816717019134
2016-06-13,25.377643504531726
2016-06-14,33.8368580060423
2016-06-15,16.91842900302115
2016-06-16,21.430010070493456
2016-06-17,18.046324269889226
2016-06-18,56.39476334340383
2016-06-19,20.30211480362538
2016-06-20,25.377643504531726
2016-06-21,16.91842900302115
2016-06-22,0.0
2016-06-23,17.482376636455186
2016-06-24,13.53474320241692
2016-06-25,20.30211480362538
2016-06-26,20.30211480362538
2016-06-27,8.459214501510575
2016-06-28,17.482376636455186
2016-06-29,12.970795568982881
2016-06-30,26.5055387713998
2016-07-01,18.046324269889226
2016-07-02,20.86606243705942
2016-07-03,10.15105740181269
2016-07-04,27.63343403826788
2016-07-05,18.046324269889226
2016-07-06,13.53474320241692
2016-07-07,13.53474320241692
2016-07-08,9.023162134944613
2016-07-09,10.715005035246728
2016-07-10,31.017119838872105
2016-07-11,30.45317220543807
2016-07-12,21.430010070493456
2016-07-13,25.941591137965762
2016-07-14,17.482376636455186
2016-07-15,13.53474320241692
2016-07-16,20.86606243705942
2016-07-17,20.86606243705942
2016-07-18,34.96475327291037
2016-07-19,53.0110775427996
2016-07-20,17.482376636455186
2016-07-21,26.5055387713998
2016-07-22,40.60422960725076
2016-07-23,20.86606243705942
2016-07-24,15.226586102719034
2016-07-25,30.45317220543807
2016-07-26,34.96475327291037
2016-07-27,34.96475327291037
2016-07-28,35.52870090634441
2016-07-29,36.65659617321249
2016-07-30,10.715005035246728
2016-07-31,20.86606243705942
2016-08-01,34.96475327291037
2016-08-02,21.993957703927492
2016-08-03,13.53474320241692
2016-08-04,17.482376636455186
2016-08-05,18.610271903323266
2016-08-06,31.581067472306145
2016-08-07,25.941591137965762
2016-08-08,25.941591137965762
2016-08-09,8.459214501510575
2016-08-10,17.482376636455186
2016-08-11,35.52870090634441
2016-08-12,13.53474320241692
2016-08-13,20.86606243705942
2016-08-14,10.15105740181269
2016-08-15,9.023162134944613
2016-08-16,8.459214501510575
2016-08-17,8.459214501510575
2016-08-18,17.482376636455186
2016-08-19,22.557905337361532
2016-08-20,10.15105740181269
2016-08-21,19.73816717019134
2016-08-22,21.430010070493456
2016-08-23,25.941591137965762
2016-08-24,17.482376636455186
2016-08-25,9.023162134944613
2016-08-26,27.06948640483384
2016-08-27,25.377643504531726
2016-08-28,20.30211480362538
2016-08-29,8.459214501510575
2016-08-30,8.459214501510575
2016-08-31,16.91842900302115
2016-09-01,16.91842900302115
2016-09-02,0.0
2016-09-03,10.15105740181269
2016-09-04,10.15105740181269
2016-09-05,17.482376636455186
2016-09-06,29.325276938569992
2016-09-07,12.970795568982881
2016-09-08,21.430010070493456
2016-09-09,17.482376636455186
2016-09-10,14.662638469284996
2016-09-11,19.73816717019134
2016-09-12,12.970795568982881
2016-09-13,12.406847935548843
2016-09-14,8.459214501510575
2016-09-15,8.459214501510575
2016-09-16,17.482376636455186
2016-09-17,19.73816717019134
2016-09-18,23.68580060422961
2016-09-19,24.813695871097686
2016-09-20,12.406847935548843
2016-09-21,29.325276938569992
2016-09-22,29.325276938569992
2016-09-23,34.96475327291037
2016-09-24,9.587109768378651
2016-09-25,19.174219536757303
2016-09-26,24.813695871097686
2016-09-27,12.406847935548843
2016-09-28,24.813695871097686
2016-09-29,20.86606243705942
2016-09-30,17.482376636455186
2016-10-01,31.880664652567976
2016-10-02,13.305135951661633
2016-10-03,11.447633434038268
2016-10-04,7.447633434038268
2016-10-05,11.703423967774421
2016-10-06,13.677240684793556
2016-10-07,15.729607250755286
2016-10-08,16.087109768378653
2016-10-09,18.087109768378653
2016-10-10,19.93303121852971
2016-10-11,23.406847935548843
2016-10-12,21.93303121852971
2016-10-13,17.93303121852971
2016-10-14,23.459214501510573
2016-10-15,27.674219536757303
2016-10-16,8.793554884189327
2016-10-17,22.677240684793556
2016-10-18,21.124874118831823
2016-10-19,23.572507552870093
2016-10-20,12.947633434038268
2016-10-21,4.229607250755287
2016-10-22,13.293554884189327
2016-10-23,8.793554884189327
2016-10-24,22.677240684793556
2016-10-25,22.65105740181269
2016-10-26,20.86908358509567
2016-10-27,12.947633434038268
2016-10-28,22.162638469284996
2016-10-29,11.54934541792548
2016-10-30,26.842900302114806
2016-10-31,19.20342396777442
2016-11-01,11.959214501510575
2016-11-02,18.0
2016-11-03,7.0
