date,putin health
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,20.353982300884958
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,17.097345132743364
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,20.353982300884958
2016-06-20,17.097345132743364
2016-06-21,17.097345132743364
2016-06-22,0.0
2016-06-23,17.097345132743364
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,21.168141592920357
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,17.097345132743364
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,20.353982300884958
2016-07-25,34.19469026548673
2016-07-26,17.097345132743364
2016-07-27,0.0
2016-07-28,17.911504424778762
2016-07-29,18.72566371681416
2016-07-30,0.0
2016-07-31,40.707964601769916
2016-08-01,17.097345132743364
2016-08-02,17.097345132743364
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,36.63716814159292
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,35.008849557522126
2016-08-09,17.097345132743364
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,17.911504424778762
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,17.911504424778762
2016-08-16,0.0
2016-08-17,17.097345132743364
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,17.097345132743364
2016-08-23,17.097345132743364
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,17.097345132743364
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,17.911504424778762
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,51.29203539823009
2016-09-09,17.097345132743364
2016-09-10,0.0
2016-09-11,38.26548672566372
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,35.008849557522126
2016-09-24,0.0
2016-09-25,19.53982300884956
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,8.141592920353983
2016-10-05,16.641592920353983
2016-10-06,0.0
2016-10-07,9.0
2016-10-08,7.0
2016-10-09,0.0
2016-10-10,14.141592920353983
2016-10-11,30.424778761061948
2016-10-12,20.548672566371682
2016-10-13,14.141592920353983
2016-10-14,12.0
2016-10-15,16.36283185840708
2016-10-16,26.36283185840708
2016-10-17,11.5
2016-10-18,21.376106194690266
2016-10-19,19.641592920353983
2016-10-20,55.207964601769916
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,15.86283185840708
2016-10-24,6.0
2016-10-25,0.0
2016-10-26,14.141592920353983
2016-10-27,11.5
2016-10-28,0.0
2016-10-29,16.36283185840708
2016-10-30,13.5
2016-10-31,8.141592920353983
2016-11-01,0.0
2016-11-02,12.0
2016-11-03,0.0
2016-11-04,12.0
2016-11-05,0.0
2016-11-06,13.0
2016-11-07,0.0
2016-11-08,11.0
2016-11-09,48.0
2016-11-10,58.0
2016-11-11,48.0
2016-11-12,100.0
2016-11-13,46.0
2016-11-14,51.0
2016-11-15,34.0
2016-11-16,23.0
2016-11-17,17.0
2016-11-18,12.0
2016-11-19,0.0
2016-11-20,13.0
2016-11-21,11.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,24.0
2016-11-25,0.0
2016-11-26,13.0
2016-11-27,0.0
2016-11-28,11.0
2016-11-29,11.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,12.0
2016-12-03,0.0
2016-12-04,13.0
2016-12-05,0.0
2016-12-06,17.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,60.0
2016-12-11,14.0
2016-12-12,23.0
2016-12-13,17.0
2016-12-14,0.0
2016-12-15,23.0
2016-12-16,12.0
2016-12-17,14.0
2016-12-18,13.0
2016-12-19,0.0
2016-12-20,12.0
2016-12-21,24.0
2016-12-22,12.0
2016-12-23,13.0
2016-12-24,44.0
2016-12-25,15.0
2016-12-26,13.0
2016-12-27,36.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,13.0
2016-12-31,14.0
2017-01-01,22.0
2017-01-02,12.0
2017-01-03,11.0
2017-01-04,11.0
2017-01-05,17.0
2017-01-06,18.0
2017-01-07,13.0
2017-01-08,38.0
2017-01-09,11.0
2017-01-10,11.0
2017-01-11,17.0
2017-01-12,11.0
2017-01-13,11.0
2017-01-14,13.0
2017-01-15,19.0
2017-01-16,0.0
2017-01-17,11.0
2017-01-18,11.0
2017-01-19,22.0
2017-01-20,17.0
2017-01-21,38.0
2017-01-22,13.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,16.0
2017-01-26,11.0
2017-01-27,12.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,17.0
2017-02-01,0.0
2017-02-02,11.0
2017-02-03,23.0
2017-02-04,0.0
2017-02-05,37.0
2017-02-06,65.0
2017-02-07,11.0
2017-02-08,27.0
2017-02-09,17.0
2017-02-10,23.0
2017-02-11,26.0
2017-02-12,12.0
2017-02-13,0.0
2017-02-14,0.0
