date,obama hand
2016-05-01,14.66778149386845
2016-05-02,10.690078037904124
2016-05-03,6.96098104793757
2016-05-04,11.435897435897436
2016-05-05,6.463768115942028
2016-05-06,8.452619843924191
2016-05-07,6.463768115942028
2016-05-08,6.215161649944259
2016-05-09,4.474916387959866
2016-05-10,10.441471571906353
2016-05-11,5.220735785953177
2016-05-12,7.20958751393534
2016-05-13,4.723522853957636
2016-05-14,6.215161649944259
2016-05-15,1.9888517279821627
2016-05-16,6.215161649944259
2016-05-17,10.441471571906353
2016-05-18,1.7402452619843924
2016-05-19,1.7402452619843924
2016-05-20,5.469342251950947
2016-05-21,1.9888517279821627
2016-05-22,7.45819397993311
2016-05-23,3.480490523968785
2016-05-24,6.215161649944259
2016-05-25,7.20958751393534
2016-05-26,4.723522853957636
2016-05-27,1.9888517279821627
2016-05-28,5.220735785953177
2016-05-29,11.684503901895205
2016-05-30,20.137123745819398
2016-05-31,24.860646599777034
2016-06-01,20.38573021181717
2016-06-02,10.938684503901895
2016-06-03,11.187290969899665
2016-06-04,9.695652173913043
2016-06-05,10.441471571906353
2016-06-06,3.480490523968785
2016-06-07,6.215161649944259
2016-06-08,6.215161649944259
2016-06-09,4.474916387959866
2016-06-10,10.441471571906353
2016-06-11,11.435897435897436
2016-06-12,9.447045707915272
2016-06-13,7.955406911928651
2016-06-14,9.695652173913043
2016-06-15,4.474916387959866
2016-06-16,10.938684503901895
2016-06-17,14.91638795986622
2016-06-18,4.226309921962096
2016-06-19,10.441471571906353
2016-06-20,6.215161649944259
2016-06-21,7.20958751393534
2016-06-22,5.469342251950947
2016-06-23,9.198439241917502
2016-06-24,5.717948717948718
2016-06-25,4.226309921962096
2016-06-26,5.220735785953177
2016-06-27,6.96098104793757
2016-06-28,7.20958751393534
2016-06-29,10.938684503901895
2016-06-30,9.198439241917502
2016-07-01,10.441471571906353
2016-07-02,8.701226309921962
2016-07-03,4.226309921962096
2016-07-04,3.729096989966555
2016-07-05,5.469342251950947
2016-07-06,10.192865105908584
2016-07-07,10.192865105908584
2016-07-08,7.70680044593088
2016-07-09,7.70680044593088
2016-07-10,2.237458193979933
2016-07-11,8.20401337792642
2016-07-12,9.695652173913043
2016-07-13,11.933110367892976
2016-07-14,7.45819397993311
2016-07-15,11.187290969899665
2016-07-16,10.690078037904124
2016-07-17,12.927536231884057
2016-07-18,6.463768115942028
2016-07-19,13.92196209587514
2016-07-20,9.198439241917502
2016-07-21,11.187290969899665
2016-07-22,14.170568561872908
2016-07-23,4.226309921962096
2016-07-24,11.684503901895205
2016-07-25,6.215161649944259
2016-07-26,11.933110367892976
2016-07-27,18.148272017837236
2016-07-28,16.656633221850612
2016-07-29,9.447045707915272
2016-07-30,9.944258639910814
2016-07-31,4.226309921962096
2016-08-01,8.20401337792642
2016-08-02,13.673355629877369
2016-08-03,9.198439241917502
2016-08-04,14.66778149386845
2016-08-05,7.70680044593088
2016-08-06,12.927536231884057
2016-08-07,4.226309921962096
2016-08-08,8.20401337792642
2016-08-09,8.20401337792642
2016-08-10,7.20958751393534
2016-08-11,22.37458193979933
2016-08-12,19.888517279821627
2016-08-13,8.701226309921962
2016-08-14,19.391304347826086
2016-08-15,5.717948717948718
2016-08-16,10.938684503901895
2016-08-17,9.944258639910814
2016-08-18,6.463768115942028
2016-08-19,3.729096989966555
2016-08-20,15.66220735785953
2016-08-21,8.20401337792642
2016-08-22,3.480490523968785
2016-08-23,5.469342251950947
2016-08-24,6.463768115942028
2016-08-25,3.729096989966555
2016-08-26,3.729096989966555
2016-08-27,6.215161649944259
2016-08-28,4.226309921962096
2016-08-29,7.955406911928651
2016-08-30,10.441471571906353
2016-08-31,8.949832775919733
2016-09-01,9.695652173913043
2016-09-02,9.198439241917502
2016-09-03,5.220735785953177
2016-09-04,4.226309921962096
2016-09-05,5.469342251950947
2016-09-06,10.441471571906353
2016-09-07,6.215161649944259
2016-09-08,7.20958751393534
2016-09-09,5.469342251950947
2016-09-10,10.192865105908584
2016-09-11,14.170568561872908
2016-09-12,8.949832775919733
2016-09-13,4.474916387959866
2016-09-14,3.480490523968785
2016-09-15,8.949832775919733
2016-09-16,11.933110367892976
2016-09-17,7.20958751393534
2016-09-18,5.966555183946488
2016-09-19,8.452619843924191
2016-09-20,10.192865105908584
2016-09-21,7.70680044593088
2016-09-22,6.96098104793757
2016-09-23,10.938684503901895
2016-09-24,18.148272017837236
2016-09-25,8.949832775919733
2016-09-26,7.70680044593088
2016-09-27,11.187290969899665
2016-09-28,10.192865105908584
2016-09-29,12.181716833890746
2016-09-30,9.944258639910814
2016-10-01,3.988851727982163
2016-10-02,6.356187290969899
2016-10-03,3.2430323299888517
2016-10-04,7.356187290969899
2016-10-05,6.740245261984392
2016-10-06,4.240245261984392
2016-10-07,7.607580824972129
2016-10-08,6.977703455964326
2016-10-09,4.983277591973244
2016-10-10,5.113154960981047
2016-10-11,5.610367892976589
2016-10-12,9.850613154960982
2016-10-13,11.226309921962095
2016-10-14,10.715161649944259
2016-10-15,5.483277591973244
2016-10-16,7.856187290969899
2016-10-17,11.469342251950948
2016-10-18,9.969342251950948
2016-10-19,7.986064659977703
2016-10-20,11.212374581939798
2016-10-21,6.8534002229654405
2016-10-22,6.977703455964326
2016-10-23,5.9804905239687844
2016-10-24,3.4860646599777034
2016-10-25,7.856187290969899
2016-10-26,6.229096989966555
2016-10-27,11.469342251950948
2016-10-28,5.607580824972129
2016-10-29,6.974916387959866
2016-10-30,4.486064659977703
2016-10-31,3.983277591973244
2016-11-01,5.110367892976589
