date,travel
2016-05-01,67.38315334773219
2016-05-02,77.39956803455723
2016-05-03,78.31015118790496
2016-05-04,77.39956803455723
2016-05-05,75.57840172786177
2016-05-06,70.11490280777538
2016-05-07,62.830237580993526
2016-05-08,66.47257019438445
2016-05-09,80.13131749460044
2016-05-10,80.13131749460044
2016-05-11,80.13131749460044
2016-05-12,78.31015118790496
2016-05-13,72.84665226781857
2016-05-14,65.56198704103672
2016-05-15,71.93606911447084
2016-05-16,81.9524838012959
2016-05-17,81.04190064794817
2016-05-18,78.31015118790496
2016-05-19,78.31015118790496
2016-05-20,71.93606911447084
2016-05-21,67.38315334773219
2016-05-22,73.75723542116631
2016-05-23,82.86306695464363
2016-05-24,81.9524838012959
2016-05-25,80.13131749460044
2016-05-26,79.22073434125271
2016-05-27,76.4889848812095
2016-05-28,66.47257019438445
2016-05-29,67.38315334773219
2016-05-30,76.4889848812095
2016-05-31,81.9524838012959
2016-06-01,81.9524838012959
2016-06-02,79.22073434125271
2016-06-03,74.66781857451404
2016-06-04,69.20431965442765
2016-06-05,71.93606911447084
2016-06-06,82.86306695464363
2016-06-07,81.9524838012959
2016-06-08,80.13131749460044
2016-06-09,78.31015118790496
2016-06-10,73.75723542116631
2016-06-11,68.29373650107992
2016-06-12,74.66781857451404
2016-06-13,82.86306695464363
2016-06-14,81.04190064794817
2016-06-15,78.31015118790496
2016-06-16,76.4889848812095
2016-06-17,72.84665226781857
2016-06-18,68.29373650107992
2016-06-19,71.93606911447084
2016-06-20,81.04190064794817
2016-06-21,83.77365010799136
2016-06-22,82.86306695464363
2016-06-23,82.86306695464363
2016-06-24,80.13131749460044
2016-06-25,71.02548596112311
2016-06-26,75.57840172786177
2016-06-27,81.9524838012959
2016-06-28,85.59481641468683
2016-06-29,87.41598272138229
2016-06-30,83.77365010799136
2016-07-01,77.39956803455723
2016-07-02,72.84665226781857
2016-07-03,79.22073434125271
2016-07-04,86.50539956803456
2016-07-05,85.59481641468683
2016-07-06,84.6842332613391
2016-07-07,82.86306695464363
2016-07-08,81.04190064794817
2016-07-09,77.39956803455723
2016-07-10,81.04190064794817
2016-07-11,90.14773218142548
2016-07-12,86.50539956803456
2016-07-13,85.59481641468683
2016-07-14,81.04190064794817
2016-07-15,81.9524838012959
2016-07-16,81.9524838012959
2016-07-17,81.9524838012959
2016-07-18,91.05831533477323
2016-07-19,86.50539956803456
2016-07-20,85.59481641468683
2016-07-21,84.6842332613391
2016-07-22,78.31015118790496
2016-07-23,74.66781857451404
2016-07-24,77.39956803455723
2016-07-25,87.41598272138229
2016-07-26,85.59481641468683
2016-07-27,84.6842332613391
2016-07-28,80.13131749460044
2016-07-29,77.39956803455723
2016-07-30,77.39956803455723
2016-07-31,78.31015118790496
2016-08-01,84.6842332613391
2016-08-02,88.32656587473002
2016-08-03,81.9524838012959
2016-08-04,80.13131749460044
2016-08-05,77.39956803455723
2016-08-06,68.29373650107992
2016-08-07,74.66781857451404
2016-08-08,81.9524838012959
2016-08-09,80.13131749460044
2016-08-10,80.13131749460044
2016-08-11,80.13131749460044
2016-08-12,72.84665226781857
2016-08-13,68.29373650107992
2016-08-14,70.11490280777538
2016-08-15,81.04190064794817
2016-08-16,78.31015118790496
2016-08-17,76.4889848812095
2016-08-18,73.75723542116631
2016-08-19,74.66781857451404
2016-08-20,67.38315334773219
2016-08-21,71.93606911447084
2016-08-22,81.9524838012959
2016-08-23,80.13131749460044
2016-08-24,81.04190064794817
2016-08-25,77.39956803455723
2016-08-26,72.84665226781857
2016-08-27,67.38315334773219
2016-08-28,71.02548596112311
2016-08-29,76.4889848812095
2016-08-30,78.31015118790496
2016-08-31,77.39956803455723
2016-09-01,74.66781857451404
2016-09-02,73.75723542116631
2016-09-03,68.29373650107992
2016-09-04,68.29373650107992
2016-09-05,78.31015118790496
2016-09-06,79.22073434125271
2016-09-07,76.4889848812095
2016-09-08,75.57840172786177
2016-09-09,71.93606911447084
2016-09-10,63.740820734341256
2016-09-11,65.56198704103672
2016-09-12,75.57840172786177
2016-09-13,73.75723542116631
2016-09-14,73.75723542116631
2016-09-15,71.93606911447084
2016-09-16,71.93606911447084
2016-09-17,62.830237580993526
2016-09-18,66.47257019438445
2016-09-19,75.57840172786177
2016-09-20,72.84665226781857
2016-09-21,71.02548596112311
2016-09-22,71.02548596112311
2016-09-23,67.38315334773219
2016-09-24,61.00907127429806
2016-09-25,63.740820734341256
2016-09-26,75.57840172786177
2016-09-27,71.93606911447084
2016-09-28,68.29373650107992
2016-09-29,69.20431965442765
2016-09-30,65.56198704103672
2016-10-01,59.54924406047516
2016-10-02,62.41511879049676
2016-10-03,73.83390928725703
2016-10-04,72.46803455723543
2016-10-05,72.46803455723543
2016-10-06,69.10215982721382
2016-10-07,65.78099352051836
2016-10-08,60.50453563714903
2016-10-09,64.82570194384449
2016-10-10,69.60215982721382
2016-10-11,71.46803455723543
2016-10-12,72.51274298056155
2016-10-13,70.05745140388768
2016-10-14,65.78099352051836
2016-10-15,58.13866090712743
2016-10-16,62.91511879049676
2016-10-17,71.01274298056155
2016-10-18,71.96803455723543
2016-10-19,68.14686825053997
2016-10-20,64.82570194384449
2016-10-21,63.41511879049676
2016-10-22,57.63866090712743
2016-10-23,60.00453563714903
2016-10-24,70.05745140388768
2016-10-25,68.60215982721382
2016-10-26,66.73628509719222
2016-10-27,65.82570194384449
2016-10-28,61.00453563714903
2016-10-29,53.8622030237581
2016-10-30,59.093952483801296
2016-10-31,67.1915766738661
2016-11-01,67.1915766738661
2016-11-02,69.0
