date,tapp
2016-05-01,13.424821002386635
2016-05-02,21.181384248210023
2016-05-03,20.88305489260143
2016-05-04,16.706443914081145
2016-05-05,17.004773269689736
2016-05-06,16.40811455847255
2016-05-07,18.198090692124104
2016-05-08,10.441527446300714
2016-05-09,18.496420047732695
2016-05-10,22.374701670644388
2016-05-11,19.09307875894988
2016-05-12,16.10978520286396
2016-05-13,19.689737470167064
2016-05-14,14.618138424821002
2016-05-15,17.004773269689736
2016-05-16,21.479713603818613
2016-05-17,16.40811455847255
2016-05-18,19.689737470167064
2016-05-19,22.971360381861572
2016-05-20,19.988066825775654
2016-05-21,17.89976133651551
2016-05-22,15.513126491646776
2016-05-23,20.58472553699284
2016-05-24,21.778042959427207
2016-05-25,21.479713603818613
2016-05-26,18.496420047732695
2016-05-27,21.181384248210023
2016-05-28,15.513126491646776
2016-05-29,17.004773269689736
2016-05-30,15.811455847255369
2016-05-31,19.988066825775654
2016-06-01,16.40811455847255
2016-06-02,20.88305489260143
2016-06-03,21.181384248210023
2016-06-04,18.198090692124104
2016-06-05,18.198090692124104
2016-06-06,18.79474940334129
2016-06-07,19.689737470167064
2016-06-08,16.706443914081145
2016-06-09,23.866348448687347
2016-06-10,18.79474940334129
2016-06-11,16.40811455847255
2016-06-12,18.79474940334129
2016-06-13,18.496420047732695
2016-06-14,19.988066825775654
2016-06-15,13.424821002386635
2016-06-16,20.58472553699284
2016-06-17,18.198090692124104
2016-06-18,19.09307875894988
2016-06-19,17.30310262529833
2016-06-20,21.181384248210023
2016-06-21,18.496420047732695
2016-06-22,21.778042959427207
2016-06-23,21.181384248210023
2016-06-24,18.496420047732695
2016-06-25,20.58472553699284
2016-06-26,14.618138424821002
2016-06-27,16.10978520286396
2016-06-28,18.79474940334129
2016-06-29,23.568019093078757
2016-06-30,17.004773269689736
2016-07-01,23.269689737470166
2016-07-02,17.004773269689736
2016-07-03,18.198090692124104
2016-07-04,17.004773269689736
2016-07-05,20.58472553699284
2016-07-06,22.076372315035798
2016-07-07,23.866348448687347
2016-07-08,17.60143198090692
2016-07-09,19.39140811455847
2016-07-10,25.6563245823389
2016-07-11,26.84964200477327
2016-07-12,16.40811455847255
2016-07-13,18.79474940334129
2016-07-14,17.30310262529833
2016-07-15,15.513126491646776
2016-07-16,11.634844868735083
2016-07-17,14.021479713603817
2016-07-18,21.778042959427207
2016-07-19,19.39140811455847
2016-07-20,22.673031026252982
2016-07-21,20.88305489260143
2016-07-22,14.021479713603817
2016-07-23,16.706443914081145
2016-07-24,18.79474940334129
2016-07-25,18.79474940334129
2016-07-26,19.09307875894988
2016-07-27,18.79474940334129
2016-07-28,18.79474940334129
2016-07-29,14.916467780429594
2016-07-30,22.971360381861572
2016-07-31,14.916467780429594
2016-08-01,14.31980906921241
2016-08-02,15.214797136038184
2016-08-03,17.004773269689736
2016-08-04,18.496420047732695
2016-08-05,20.58472553699284
2016-08-06,17.004773269689736
2016-08-07,16.10978520286396
2016-08-08,16.40811455847255
2016-08-09,21.479713603818613
2016-08-10,13.723150357995225
2016-08-11,19.09307875894988
2016-08-12,20.88305489260143
2016-08-13,13.723150357995225
2016-08-14,15.214797136038184
2016-08-15,16.40811455847255
2016-08-16,19.689737470167064
2016-08-17,19.09307875894988
2016-08-18,20.88305489260143
2016-08-19,24.46300715990453
2016-08-20,19.39140811455847
2016-08-21,11.634844868735083
2016-08-22,18.496420047732695
2016-08-23,25.95465393794749
2016-08-24,19.988066825775654
2016-08-25,21.181384248210023
2016-08-26,18.496420047732695
2016-08-27,17.60143198090692
2016-08-28,16.10978520286396
2016-08-29,17.30310262529833
2016-08-30,22.374701670644388
2016-08-31,24.761336515513126
2016-09-01,18.79474940334129
2016-09-02,17.30310262529833
2016-09-03,12.82816229116945
2016-09-04,14.916467780429594
2016-09-05,18.79474940334129
2016-09-06,22.971360381861572
2016-09-07,19.988066825775654
2016-09-08,18.79474940334129
2016-09-09,21.479713603818613
2016-09-10,16.706443914081145
2016-09-11,17.60143198090692
2016-09-12,17.89976133651551
2016-09-13,21.778042959427207
2016-09-14,18.198090692124104
2016-09-15,22.374701670644388
2016-09-16,19.39140811455847
2016-09-17,19.988066825775654
2016-09-18,18.198090692124104
2016-09-19,18.79474940334129
2016-09-20,21.778042959427207
2016-09-21,22.673031026252982
2016-09-22,21.778042959427207
2016-09-23,18.496420047732695
2016-09-24,16.10978520286396
2016-09-25,19.09307875894988
