date,obama protest
2016-05-01,1.699421965317919
2016-05-02,0.5895953757225433
2016-05-03,0.2774566473988439
2016-05-04,0.2774566473988439
2016-05-05,0.9017341040462427
2016-05-06,0.3121387283236994
2016-05-07,0.6936416184971097
2016-05-08,0.34682080924855485
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.2774566473988439
2016-05-12,0.2774566473988439
2016-05-13,0.0
2016-05-14,0.34682080924855485
2016-05-15,0.6936416184971097
2016-05-16,0.5895953757225433
2016-05-17,0.2774566473988439
2016-05-18,0.5895953757225433
2016-05-19,0.2774566473988439
2016-05-20,0.3121387283236994
2016-05-21,0.0
2016-05-22,0.6936416184971097
2016-05-23,0.2774566473988439
2016-05-24,0.2774566473988439
2016-05-25,0.2774566473988439
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.34682080924855485
2016-05-29,0.6936416184971097
2016-05-30,0.0
2016-05-31,0.5895953757225433
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.6242774566473988
2016-06-04,1.0404624277456647
2016-06-05,0.0
2016-06-06,0.5895953757225433
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.3121387283236994
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.6589595375722542
2016-06-13,0.5895953757225433
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.3121387283236994
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.2774566473988439
2016-06-21,0.2774566473988439
2016-06-22,0.3121387283236994
2016-06-23,0.3121387283236994
2016-06-24,0.6242774566473988
2016-06-25,0.34682080924855485
2016-06-26,0.34682080924855485
2016-06-27,0.5895953757225433
2016-06-28,0.0
2016-06-29,0.3121387283236994
2016-06-30,0.3121387283236994
2016-07-01,0.9364161849710981
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.3121387283236994
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.9364161849710981
2016-07-08,3.4682080924855487
2016-07-09,3.190751445086705
2016-07-10,2.1156069364161847
2016-07-11,1.491329479768786
2016-07-12,2.046242774566474
2016-07-13,1.491329479768786
2016-07-14,0.5895953757225433
2016-07-15,0.9364161849710981
2016-07-16,1.0404624277456647
2016-07-17,1.421965317919075
2016-07-18,0.9017341040462427
2016-07-19,1.5260115606936415
2016-07-20,0.0
2016-07-21,0.9017341040462427
2016-07-22,0.0
2016-07-23,0.34682080924855485
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.9017341040462427
2016-07-27,0.0
2016-07-28,1.491329479768786
2016-07-29,0.6242774566473988
2016-07-30,0.7283236994219653
2016-07-31,0.34682080924855485
2016-08-01,0.3121387283236994
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.3121387283236994
2016-08-06,0.7283236994219653
2016-08-07,0.34682080924855485
2016-08-08,0.3121387283236994
2016-08-09,0.3121387283236994
2016-08-10,0.0
2016-08-11,0.3121387283236994
2016-08-12,0.3121387283236994
2016-08-13,0.0
2016-08-14,0.6936416184971097
2016-08-15,1.2485549132947975
2016-08-16,0.0
2016-08-17,0.3121387283236994
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.34682080924855485
2016-08-22,0.2774566473988439
2016-08-23,0.3121387283236994
2016-08-24,0.0
2016-08-25,0.5895953757225433
2016-08-26,0.0
2016-08-27,0.34682080924855485
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.2774566473988439
2016-08-31,0.0
2016-09-01,0.2774566473988439
2016-09-02,0.3121387283236994
2016-09-03,0.6936416184971097
2016-09-04,0.34682080924855485
2016-09-05,0.9017341040462427
2016-09-06,1.421965317919075
2016-09-07,1.7341040462427744
2016-09-08,1.1791907514450866
2016-09-09,1.1791907514450866
2016-09-10,1.005780346820809
2016-09-11,0.34682080924855485
2016-09-12,1.4566473988439306
2016-09-13,0.8670520231213872
2016-09-14,1.1445086705202312
2016-09-15,0.0
2016-09-16,0.5895953757225433
2016-09-17,0.6589595375722542
2016-09-18,0.9710982658959537
2016-09-19,0.0
2016-09-20,0.8323699421965317
2016-09-21,0.2774566473988439
2016-09-22,0.5895953757225433
2016-09-23,2.3930635838150285
2016-09-24,1.005780346820809
2016-09-25,0.3121387283236994
2016-09-26,1.1445086705202312
2016-09-27,0.8323699421965317
2016-09-28,0.0
2016-09-29,0.8323699421965317
2016-09-30,0.9017341040462427
2016-10-01,0.1560693641618497
2016-10-02,0.8121387283236994
2016-10-03,0.13872832369942195
2016-10-04,0.9161849710982659
2016-10-05,0.13872832369942195
2016-10-06,0.0
2016-10-07,0.7947976878612717
2016-10-08,0.0
2016-10-09,0.1560693641618497
2016-10-10,0.2774566473988439
2016-10-11,0.13872832369942195
2016-10-12,1.0722543352601157
2016-10-13,0.7774566473988439
2016-10-14,1.0722543352601157
2016-10-15,0.6560693641618497
2016-10-16,0.1560693641618497
2016-10-17,0.6387283236994219
2016-10-18,0.13872832369942195
2016-10-19,0.6387283236994219
2016-10-20,0.6387283236994219
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.13872832369942195
2016-10-26,0.2774566473988439
2016-10-27,1.1936416184971097
2016-10-28,1.5722543352601157
2016-10-29,1.315028901734104
2016-10-30,0.9855491329479769
2016-10-31,1.3497109826589595
2016-11-01,1.8497109826589595
2016-11-02,2.0
2016-11-03,2.0
2016-11-04,0.0
2016-11-05,1.0
2016-11-06,1.0
2016-11-07,2.0
2016-11-08,2.0
2016-11-09,14.0
2016-11-10,100.0
