date,hillary pussy
2016-05-01,0.0
2016-05-02,1.6300268096514745
2016-05-03,0.0
2016-05-04,8.96514745308311
2016-05-05,0.0
2016-05-06,6.520107238605898
2016-05-07,0.0
2016-05-08,1.6300268096514745
2016-05-09,3.260053619302949
2016-05-10,4.075067024128686
2016-05-11,2.4450402144772116
2016-05-12,4.075067024128686
2016-05-13,1.6300268096514745
2016-05-14,3.260053619302949
2016-05-15,3.260053619302949
2016-05-16,0.0
2016-05-17,7.335120643431635
2016-05-18,4.075067024128686
2016-05-19,0.0
2016-05-20,3.260053619302949
2016-05-21,0.0
2016-05-22,1.6300268096514745
2016-05-23,4.075067024128686
2016-05-24,3.260053619302949
2016-05-25,0.0
2016-05-26,1.6300268096514745
2016-05-27,1.6300268096514745
2016-05-28,1.6300268096514745
2016-05-29,3.260053619302949
2016-05-30,3.260053619302949
2016-05-31,0.0
2016-06-01,4.075067024128686
2016-06-02,3.260053619302949
2016-06-03,7.335120643431635
2016-06-04,1.6300268096514745
2016-06-05,3.260053619302949
2016-06-06,4.075067024128686
2016-06-07,5.705093833780161
2016-06-08,7.335120643431635
2016-06-09,10.595174262734584
2016-06-10,8.96514745308311
2016-06-11,10.595174262734584
2016-06-12,1.6300268096514745
2016-06-13,0.0
2016-06-14,3.260053619302949
2016-06-15,0.0
2016-06-16,4.075067024128686
2016-06-17,0.0
2016-06-18,1.6300268096514745
2016-06-19,0.0
2016-06-20,1.6300268096514745
2016-06-21,0.0
2016-06-22,3.260053619302949
2016-06-23,0.0
2016-06-24,5.705093833780161
2016-06-25,1.6300268096514745
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,1.6300268096514745
2016-06-30,1.6300268096514745
2016-07-01,1.6300268096514745
2016-07-02,4.890080428954423
2016-07-03,8.96514745308311
2016-07-04,3.260053619302949
2016-07-05,4.890080428954423
2016-07-06,4.890080428954423
2016-07-07,5.705093833780161
2016-07-08,9.780160857908847
2016-07-09,1.6300268096514745
2016-07-10,7.335120643431635
2016-07-11,3.260053619302949
2016-07-12,7.335120643431635
2016-07-13,5.705093833780161
2016-07-14,0.0
2016-07-15,6.520107238605898
2016-07-16,8.96514745308311
2016-07-17,1.6300268096514745
2016-07-18,1.6300268096514745
2016-07-19,3.260053619302949
2016-07-20,1.6300268096514745
2016-07-21,5.705093833780161
2016-07-22,10.595174262734584
2016-07-23,3.260053619302949
2016-07-24,6.520107238605898
2016-07-25,4.075067024128686
2016-07-26,14.67024128686327
2016-07-27,7.335120643431635
2016-07-28,14.67024128686327
2016-07-29,17.115281501340483
2016-07-30,8.96514745308311
2016-07-31,10.595174262734584
2016-08-01,7.335120643431635
2016-08-02,4.075067024128686
2016-08-03,1.6300268096514745
2016-08-04,3.260053619302949
2016-08-05,6.520107238605898
2016-08-06,4.890080428954423
2016-08-07,4.890080428954423
2016-08-08,4.075067024128686
2016-08-09,3.260053619302949
2016-08-10,3.260053619302949
2016-08-11,1.6300268096514745
2016-08-12,4.890080428954423
2016-08-13,1.6300268096514745
2016-08-14,4.890080428954423
2016-08-15,0.0
2016-08-16,4.075067024128686
2016-08-17,4.075067024128686
2016-08-18,4.075067024128686
2016-08-19,4.890080428954423
2016-08-20,4.890080428954423
2016-08-21,1.6300268096514745
2016-08-22,0.0
2016-08-23,1.6300268096514745
2016-08-24,5.705093833780161
2016-08-25,3.260053619302949
2016-08-26,4.890080428954423
2016-08-27,4.890080428954423
2016-08-28,6.520107238605898
2016-08-29,1.6300268096514745
2016-08-30,3.260053619302949
2016-08-31,5.705093833780161
2016-09-01,3.260053619302949
2016-09-02,4.075067024128686
2016-09-03,3.260053619302949
2016-09-04,0.0
2016-09-05,4.075067024128686
2016-09-06,2.4450402144772116
2016-09-07,0.0
2016-09-08,5.705093833780161
2016-09-09,3.260053619302949
2016-09-10,1.6300268096514745
2016-09-11,14.67024128686327
2016-09-12,8.96514745308311
2016-09-13,5.705093833780161
2016-09-14,11.410187667560322
2016-09-15,1.6300268096514745
2016-09-16,3.260053619302949
2016-09-17,3.260053619302949
2016-09-18,4.890080428954423
2016-09-19,5.705093833780161
2016-09-20,2.4450402144772116
2016-09-21,2.4450402144772116
2016-09-22,1.6300268096514745
2016-09-23,10.595174262734584
2016-09-24,1.6300268096514745
2016-09-25,1.6300268096514745
2016-09-26,13.040214477211796
2016-09-27,15.485254691689008
2016-09-28,5.705093833780161
2016-09-29,7.335120643431635
2016-09-30,3.260053619302949
2016-10-01,3.3150134048257374
2016-10-02,4.945040214477212
2016-10-03,2.222520107238606
2016-10-04,5.8525469168900806
2016-10-05,8.075067024128685
2016-10-06,2.3150134048257374
2016-10-07,8.482573726541556
2016-10-08,70.95308310991956
2016-10-09,61.84048257372654
2016-10-10,87.75067024128685
2016-10-11,45.00536193029491
2016-10-12,34.46782841823057
2016-10-13,20.05764075067024
2016-10-14,20.725201072386056
2016-10-15,16.965147453083112
2016-10-16,13.742627345844504
2016-10-17,10.575067024128685
2016-10-18,9.797587131367292
2016-10-19,13.612600536193028
2016-10-20,26.040214477211798
2016-10-21,11.612600536193028
2016-10-22,9.445040214477212
2016-10-23,10.020107238605899
2016-10-24,5.037533512064343
2016-10-25,13.835120643431635
2016-10-26,10.075067024128685
2016-10-27,15.780160857908847
2016-10-28,11.390080428954423
2016-10-29,14.46514745308311
2016-10-30,13.650134048257373
2016-10-31,11.205093833780161
2016-11-01,14.742627345844504
2016-11-02,9.0
2016-11-03,29.0
2016-11-04,19.0
2016-11-05,22.0
2016-11-06,29.0
2016-11-07,21.0
