date,bitcoin
2016-05-01,9.062501598387943
2016-05-02,31.250005511682566
2016-05-03,19.062503362126364
2016-05-04,12.500002204673025
2016-05-05,14.37500253537398
2016-05-06,11.875002094439376
2016-05-07,11.250001984205724
2016-05-08,10.625001873972073
2016-05-09,10.937501929088898
2016-05-10,11.250001984205724
2016-05-11,10.625001873972073
2016-05-12,10.312501818855248
2016-05-13,9.687501708621594
2016-05-14,9.37500165350477
2016-05-15,9.687501708621594
2016-05-16,9.062501598387943
2016-05-17,9.37500165350477
2016-05-18,9.687501708621594
2016-05-19,10.000001763738421
2016-05-20,9.687501708621594
2016-05-21,9.062501598387943
2016-05-22,8.750001543271118
2016-05-23,9.687501708621594
2016-05-24,9.37500165350477
2016-05-25,9.37500165350477
2016-05-26,9.062501598387943
2016-05-27,10.625001873972073
2016-05-28,11.875002094439376
2016-05-29,12.812502259789854
2016-05-30,14.37500253537398
2016-05-31,14.37500253537398
2016-06-01,12.1875021495562
2016-06-02,11.562502039322549
2016-06-03,12.500002204673025
2016-06-04,12.500002204673025
2016-06-05,11.875002094439376
2016-06-06,12.500002204673025
2016-06-07,12.1875021495562
2016-06-08,12.1875021495562
2016-06-09,11.562502039322549
2016-06-10,11.250001984205724
2016-06-11,11.250001984205724
2016-06-12,16.250002866074936
2016-06-13,19.062503362126364
2016-06-14,16.250002866074936
2016-06-15,13.750002425140329
2016-06-16,18.125003196775886
2016-06-17,17.81250314165906
2016-06-18,15.000002645607633
2016-06-19,14.37500253537398
2016-06-20,14.687502590490805
2016-06-21,17.18750303142541
2016-06-22,15.000002645607633
2016-06-23,15.625002755841283
2016-06-24,21.56250380306097
2016-06-25,14.687502590490805
2016-06-26,13.437502370023504
2016-06-27,14.37500253537398
2016-06-28,13.437502370023504
2016-06-29,13.437502370023504
2016-06-30,12.812502259789854
2016-07-01,13.125002314906679
2016-07-02,12.1875021495562
2016-07-03,12.812502259789854
2016-07-04,12.500002204673025
2016-07-05,12.1875021495562
2016-07-06,12.500002204673025
2016-07-07,13.125002314906679
2016-07-08,13.437502370023504
2016-07-09,16.875002976308586
2016-07-10,13.750002425140329
2016-07-11,13.125002314906679
2016-07-12,12.1875021495562
2016-07-13,12.1875021495562
2016-07-14,11.875002094439376
2016-07-15,10.625001873972073
2016-07-16,10.312501818855248
2016-07-17,10.937501929088898
2016-07-18,10.937501929088898
2016-07-19,10.312501818855248
2016-07-20,10.312501818855248
2016-07-21,10.625001873972073
2016-07-22,10.312501818855248
2016-07-23,10.312501818855248
2016-07-24,10.312501818855248
2016-07-25,10.625001873972073
2016-07-26,11.250001984205724
2016-07-27,12.1875021495562
2016-07-28,10.625001873972073
2016-07-29,10.625001873972073
2016-07-30,10.312501818855248
2016-07-31,10.312501818855248
2016-08-01,10.937501929088898
2016-08-02,13.437502370023504
2016-08-03,23.75000418887875
2016-08-04,15.937502810958108
2016-08-05,13.125002314906679
2016-08-06,11.875002094439376
2016-08-07,11.562502039322549
2016-08-08,11.562502039322549
2016-08-09,11.562502039322549
2016-08-10,10.000001763738421
2016-08-11,10.000001763738421
2016-08-12,10.312501818855248
2016-08-13,9.062501598387943
2016-08-14,9.687501708621594
2016-08-15,10.937501929088898
2016-08-16,10.625001873972073
2016-08-17,10.000001763738421
2016-08-18,10.937501929088898
2016-08-19,10.312501818855248
2016-08-20,9.687501708621594
2016-08-21,9.687501708621594
2016-08-22,10.000001763738421
2016-08-23,10.937501929088898
2016-08-24,10.312501818855248
2016-08-25,10.937501929088898
2016-08-26,10.312501818855248
2016-08-27,9.687501708621594
2016-08-28,9.687501708621594
2016-08-29,10.000001763738421
2016-08-30,9.687501708621594
2016-08-31,10.000001763738421
2016-09-01,9.687501708621594
2016-09-02,9.687501708621594
2016-09-03,9.687501708621594
2016-09-04,10.625001873972073
2016-09-05,10.625001873972073
2016-09-06,10.625001873972073
2016-09-07,10.000001763738421
2016-09-08,11.562502039322549
2016-09-09,10.312501818855248
2016-09-10,10.625001873972073
2016-09-11,10.312501818855248
2016-09-12,10.937501929088898
2016-09-13,11.250001984205724
2016-09-14,10.625001873972073
2016-09-15,10.625001873972073
2016-09-16,10.312501818855248
2016-09-17,9.687501708621594
2016-09-18,10.625001873972073
2016-09-19,10.937501929088898
2016-09-20,10.625001873972073
2016-09-21,10.937501929088898
2016-09-22,10.000001763738421
2016-09-23,10.000001763738421
2016-09-24,9.687501708621594
2016-09-25,10.312501818855248
2016-09-26,10.312501818855248
2016-09-27,10.312501818855248
2016-09-28,10.000001763738421
2016-09-29,10.000001763738421
2016-09-30,9.687501708621594
2016-10-01,10.220072225088298
2016-10-02,9.419801711708137
2016-10-03,9.926592545559568
2016-10-04,9.907572169971472
2016-10-05,9.888551794383375
2016-10-06,9.907572169971472
2016-10-07,9.907572169971472
2016-10-08,10.589633406969412
2016-10-09,9.907572169971472
2016-10-10,10.745883434527826
2016-10-11,11.389903920349573
2016-10-12,11.252674268379259
2016-10-13,11.23365389279116
2016-10-14,10.570613031381317
2016-10-15,10.063822197529884
2016-10-16,9.57605173926655
2016-10-17,9.907572169971472
2016-10-18,10.570613031381317
2016-10-19,10.082842573117981
2016-10-20,10.395342628234808
2016-10-21,9.907572169971472
2016-10-22,10.570613031381317
2016-10-23,10.570613031381317
2016-10-24,10.570613031381317
2016-10-25,10.902133462086239
2016-10-26,11.9157151297891
2016-10-27,12.247235560494023
2016-10-28,12.872235670727676
2016-10-29,14.042067365988952
2016-10-30,12.09098553293561
2016-10-31,13.047506073874185
2016-11-01,14.236358144723557
2016-11-02,12.619469026548673
