date,trump putin
2016-05-01,0.7638376383763837
2016-05-02,0.7638376383763837
2016-05-03,0.7638376383763837
2016-05-04,1.7822878228782288
2016-05-05,1.5276752767527675
2016-05-06,1.018450184501845
2016-05-07,0.7638376383763837
2016-05-08,1.018450184501845
2016-05-09,0.7638376383763837
2016-05-10,0.5092250922509225
2016-05-11,0.5092250922509225
2016-05-12,0.7638376383763837
2016-05-13,1.018450184501845
2016-05-14,2.291512915129151
2016-05-15,4.07380073800738
2016-05-16,2.800738007380074
2016-05-17,1.7822878228782288
2016-05-18,1.2730627306273061
2016-05-19,0.7638376383763837
2016-05-20,0.7638376383763837
2016-05-21,0.7638376383763837
2016-05-22,0.5092250922509225
2016-05-23,0.5092250922509225
2016-05-24,0.5092250922509225
2016-05-25,0.7638376383763837
2016-05-26,0.7638376383763837
2016-05-27,1.018450184501845
2016-05-28,0.7638376383763837
2016-05-29,1.018450184501845
2016-05-30,1.018450184501845
2016-05-31,0.7638376383763837
2016-06-01,1.018450184501845
2016-06-02,1.2730627306273061
2016-06-03,1.018450184501845
2016-06-04,0.7638376383763837
2016-06-05,0.7638376383763837
2016-06-06,0.5092250922509225
2016-06-07,0.25461254612546125
2016-06-08,0.7638376383763837
2016-06-09,0.7638376383763837
2016-06-10,0.7638376383763837
2016-06-11,0.7638376383763837
2016-06-12,0.7638376383763837
2016-06-13,0.7638376383763837
2016-06-14,1.2730627306273061
2016-06-15,1.018450184501845
2016-06-16,0.7638376383763837
2016-06-17,1.2730627306273061
2016-06-18,1.5276752767527675
2016-06-19,1.7822878228782288
2016-06-20,1.2730627306273061
2016-06-21,0.7638376383763837
2016-06-22,0.5092250922509225
2016-06-23,0.7638376383763837
2016-06-24,1.5276752767527675
2016-06-25,1.2730627306273061
2016-06-26,0.7638376383763837
2016-06-27,0.5092250922509225
2016-06-28,0.5092250922509225
2016-06-29,0.5092250922509225
2016-06-30,0.7638376383763837
2016-07-01,0.25461254612546125
2016-07-02,0.5092250922509225
2016-07-03,0.5092250922509225
2016-07-04,0.5092250922509225
2016-07-05,0.5092250922509225
2016-07-06,1.018450184501845
2016-07-07,0.5092250922509225
2016-07-08,0.5092250922509225
2016-07-09,0.5092250922509225
2016-07-10,0.5092250922509225
2016-07-11,0.5092250922509225
2016-07-12,0.5092250922509225
2016-07-13,0.5092250922509225
2016-07-14,0.7638376383763837
2016-07-15,0.7638376383763837
2016-07-16,0.7638376383763837
2016-07-17,0.7638376383763837
2016-07-18,0.5092250922509225
2016-07-19,1.2730627306273061
2016-07-20,1.2730627306273061
2016-07-21,2.03690036900369
2016-07-22,2.03690036900369
2016-07-23,1.5276752767527675
2016-07-24,4.07380073800738
2016-07-25,8.14760147601476
2016-07-26,7.638376383763838
2016-07-27,13.749077490774907
2016-07-28,14.003690036900368
2016-07-29,7.638376383763838
2016-07-30,6.619926199261992
2016-07-31,5.856088560885609
2016-08-01,5.3468634686346865
2016-08-02,5.3468634686346865
2016-08-03,3.819188191881919
2016-08-04,3.055350553505535
2016-08-05,3.055350553505535
2016-08-06,2.800738007380074
2016-08-07,2.03690036900369
2016-08-08,2.03690036900369
