date,unmasking
2016-05-01,0.46561425920856525
2016-05-02,1.9788606016364023
2016-05-03,0.0
2016-05-04,0.3880118826738044
2016-05-05,1.590848718962598
2016-05-06,0.8148249536149893
2016-05-07,0.9312285184171305
2016-05-08,0.9312285184171305
2016-05-09,1.1640356480214131
2016-05-10,0.7760237653476088
2016-05-11,0.0
2016-05-12,1.9788606016364023
2016-05-13,1.2028368362887936
2016-05-14,0.9312285184171305
2016-05-15,0.0
2016-05-16,0.3880118826738044
2016-05-17,1.1640356480214131
2016-05-18,1.940059413369022
2016-05-19,1.9788606016364023
2016-05-20,0.8148249536149893
2016-05-21,0.9312285184171305
2016-05-22,0.46561425920856525
2016-05-23,0.3880118826738044
2016-05-24,0.7760237653476088
2016-05-25,1.1640356480214131
2016-05-26,0.8148249536149893
2016-05-27,2.0952641664385436
2016-05-28,0.9312285184171305
2016-05-29,1.862457036834261
2016-05-30,2.017661789903783
2016-05-31,1.1640356480214131
2016-06-01,0.3880118826738044
2016-06-02,0.8148249536149893
2016-06-03,0.8148249536149893
2016-06-04,0.9312285184171305
2016-06-05,1.3968427776256958
2016-06-06,0.3880118826738044
2016-06-07,1.1640356480214131
2016-06-08,0.7760237653476088
2016-06-09,1.590848718962598
2016-06-10,0.8148249536149893
2016-06-11,0.46561425920856525
2016-06-12,2.2504689195080654
2016-06-13,1.1640356480214131
2016-06-14,2.7160831787166306
2016-06-15,0.3880118826738044
2016-06-16,1.590848718962598
2016-06-17,0.8148249536149893
2016-06-18,0.46561425920856525
2016-06-19,0.0
2016-06-20,0.7760237653476088
2016-06-21,0.0
2016-06-22,1.590848718962598
2016-06-23,0.0
2016-06-24,0.42681307094118476
2016-06-25,0.46561425920856525
2016-06-26,0.9312285184171305
2016-06-27,1.940059413369022
2016-06-28,2.366872484310207
2016-06-29,1.2028368362887936
2016-06-30,0.3880118826738044
2016-07-01,1.241638024556174
2016-07-02,1.4356439658930762
2016-07-03,0.970029706684511
2016-07-04,0.42681307094118476
2016-07-05,1.241638024556174
2016-07-06,1.241638024556174
2016-07-07,1.241638024556174
2016-07-08,0.8536261418823695
2016-07-09,0.46561425920856525
2016-07-10,1.862457036834261
2016-07-11,0.8148249536149893
2016-07-12,1.5520475306952175
2016-07-13,1.2028368362887936
2016-07-14,0.8148249536149893
2016-07-15,2.0564629781711634
2016-07-16,0.9312285184171305
2016-07-17,0.970029706684511
2016-07-18,1.9788606016364023
2016-07-19,1.2028368362887936
2016-07-20,0.8148249536149893
2016-07-21,0.3880118826738044
2016-07-22,1.6684510954973588
2016-07-23,0.9312285184171305
2016-07-24,0.9312285184171305
2016-07-25,0.7760237653476088
2016-07-26,1.2028368362887936
2016-07-27,0.8148249536149893
2016-07-28,0.3880118826738044
2016-07-29,0.42681307094118476
2016-07-30,1.4356439658930762
2016-07-31,1.3968427776256958
2016-08-01,1.590848718962598
2016-08-02,0.3880118826738044
2016-08-03,0.3880118826738044
2016-08-04,0.8148249536149893
2016-08-05,1.6684510954973588
2016-08-06,0.46561425920856525
2016-08-07,0.46561425920856525
2016-08-08,1.2028368362887936
2016-08-09,2.366872484310207
2016-08-10,0.8148249536149893
2016-08-11,0.8148249536149893
2016-08-12,2.0564629781711634
2016-08-13,0.9312285184171305
2016-08-14,2.366872484310207
2016-08-15,2.910089120053533
2016-08-16,2.405673672577587
2016-08-17,0.8148249536149893
2016-08-18,0.8148249536149893
2016-08-19,0.42681307094118476
2016-08-20,0.9312285184171305
2016-08-21,0.9312285184171305
2016-08-22,1.1640356480214131
2016-08-23,1.590848718962598
2016-08-24,1.2028368362887936
2016-08-25,1.2028368362887936
2016-08-26,1.6684510954973588
2016-08-27,0.46561425920856525
2016-08-28,1.3580415893583153
2016-08-29,0.0
2016-08-30,0.7760237653476088
2016-08-31,0.3880118826738044
2016-09-01,2.366872484310207
2016-09-02,0.0
2016-09-03,0.9312285184171305
2016-09-04,1.3580415893583153
2016-09-05,0.3880118826738044
2016-09-06,0.7760237653476088
2016-09-07,3.880118826738044
2016-09-08,1.5520475306952175
2016-09-09,2.405673672577587
2016-09-10,1.3580415893583153
2016-09-11,0.8924273301497501
2016-09-12,1.5520475306952175
2016-09-13,0.7760237653476088
2016-09-14,0.0
2016-09-15,2.366872484310207
2016-09-16,1.590848718962598
2016-09-17,0.46561425920856525
2016-09-18,0.8536261418823695
2016-09-19,1.1252344597540327
2016-09-20,1.1252344597540327
2016-09-21,1.1640356480214131
2016-09-22,2.289270107775446
2016-09-23,1.2028368362887936
2016-09-24,1.7848546602995001
2016-09-25,1.7460534720321197
2016-09-26,1.1252344597540327
2016-09-27,1.1252344597540327
2016-09-28,1.1252344597540327
2016-09-29,1.513246342427837
2016-09-30,1.590848718962598
2016-10-01,0.6884955034421226
2016-10-02,1.539865762285691
2016-10-03,1.353529823280713
2016-10-04,1.4924922184708662
2016-10-05,1.160426235159331
2016-10-06,2.4440236842372074
2016-10-07,1.0927497439952956
2016-10-08,1.029133842301102
2016-10-09,0.7940708296580182
2016-10-10,0.8103131875373868
2016-10-11,1.4762498605914975
2016-10-12,1.2326144924009692
2016-10-13,1.1076385720513833
2016-10-14,0.8103131875373868
2016-10-15,1.7153734627044237
2016-10-16,1.6982287516095345
2016-10-17,2.0551094483478822
2016-10-18,1.0183056037148563
2016-10-19,1.3544321764962335
2016-10-20,1.9341941174681387
2016-10-21,0.7737678823088076
2016-10-22,1.3769910068842452
2016-10-23,1.7532722977562836
2016-10-24,1.0548509089434355
2016-10-25,0.7552696413906378
2016-10-26,0.94927558272754
