date,donald trump fool
2016-05-01,0.0
2016-05-02,10.12430426716141
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,20.24860853432282
2016-05-10,0.0
2016-05-11,10.12430426716141
2016-05-12,0.0
2016-05-13,20.844155844155843
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,10.12430426716141
2016-05-17,10.12430426716141
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,10.12430426716141
2016-05-24,0.0
2016-05-25,20.24860853432282
2016-05-26,10.719851576994433
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,10.719851576994433
2016-05-31,10.12430426716141
2016-06-01,0.0
2016-06-02,20.844155844155843
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,11.91094619666048
2016-06-06,10.12430426716141
2016-06-07,0.0
2016-06-08,20.844155844155843
2016-06-09,10.12430426716141
2016-06-10,10.719851576994433
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,10.12430426716141
2016-06-15,10.12430426716141
2016-06-16,10.12430426716141
2016-06-17,0.0
2016-06-18,12.506493506493506
2016-06-19,11.91094619666048
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,20.844155844155843
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,23.82189239332096
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,10.719851576994433
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,10.12430426716141
2016-07-13,10.719851576994433
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,10.719851576994433
2016-07-20,10.719851576994433
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,12.506493506493506
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,10.12430426716141
2016-07-28,20.844155844155843
2016-07-29,0.0
2016-07-30,12.506493506493506
2016-07-31,0.0
2016-08-01,10.12430426716141
2016-08-02,10.12430426716141
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,22.03525046382189
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,10.12430426716141
2016-08-09,20.844155844155843
2016-08-10,10.12430426716141
2016-08-11,0.0
2016-08-12,10.719851576994433
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,10.719851576994433
