date,barack obama golf
2016-12-24,18.14341085271318
2016-12-25,25.166666666666668
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,15.80232558139535
2016-12-29,10.534883720930234
2016-12-30,0.0
2016-12-31,11.705426356589149
2017-01-01,12.290697674418606
2017-01-02,20.484496124031008
2017-01-03,9.364341085271318
2017-01-04,9.364341085271318
2017-01-05,19.313953488372093
2017-01-06,9.949612403100776
2017-01-07,0.0
2017-01-08,32.775193798449614
2017-01-09,18.728682170542637
2017-01-10,9.364341085271318
2017-01-11,9.364341085271318
2017-01-12,9.364341085271318
2017-01-13,9.364341085271318
2017-01-14,10.534883720930234
2017-01-15,21.069767441860467
2017-01-16,9.364341085271318
2017-01-17,9.364341085271318
2017-01-18,18.728682170542637
2017-01-19,14.046511627906977
2017-01-20,38.627906976744185
2017-01-21,26.922480620155042
2017-01-22,58.52713178294574
2017-01-23,18.14341085271318
2017-01-24,18.14341085271318
2017-01-25,14.046511627906977
2017-01-26,0.0
2017-01-27,19.899224806201552
2017-01-28,11.120155038759691
2017-01-29,10.534883720930234
2017-01-30,9.364341085271318
2017-01-31,0.0
2017-02-01,9.364341085271318
2017-02-02,9.364341085271318
2017-02-03,19.313953488372093
2017-02-04,15.80232558139535
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,13.461240310077521
2017-02-08,0.0
2017-02-09,18.14341085271318
2017-02-10,9.364341085271318
2017-02-11,10.534883720930234
2017-02-12,15.80232558139535
2017-02-13,8.779069767441861
2017-02-14,27.507751937984498
2017-02-15,0.0
2017-02-16,9.364341085271318
2017-02-17,9.364341085271318
2017-02-18,21.655038759689923
2017-02-19,21.655038759689923
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,36.872093023255815
2017-02-23,0.0
2017-02-24,14.631782945736434
2017-02-25,11.120155038759691
2017-02-26,10.534883720930234
2017-02-27,14.046511627906977
2017-02-28,9.364341085271318
2017-03-01,11.994092851202938
2017-03-02,4.682170542635659
2017-03-03,4.682170542635659
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,9.653007579885108
2017-03-07,9.945643238799835
2017-03-08,4.3895348837209305
2017-03-09,10.127142297288255
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,5.989468930117857
2017-03-13,15.209115934964014
2017-03-14,9.653007579885108
2017-03-15,4.682170542635659
2017-03-16,12.668129116126135
