date,unhealthy
2016-05-01,53.53846153846154
2016-05-02,87.6923076923077
2016-05-03,85.84615384615385
2016-05-04,79.38461538461539
2016-05-05,68.3076923076923
2016-05-06,70.15384615384616
2016-05-07,54.46153846153847
2016-05-08,72.0
2016-05-09,83.07692307692308
2016-05-10,77.53846153846155
2016-05-11,70.15384615384616
2016-05-12,71.07692307692308
2016-05-13,68.3076923076923
2016-05-14,50.769230769230774
2016-05-15,78.46153846153847
2016-05-16,81.23076923076924
2016-05-17,91.38461538461539
2016-05-18,84.92307692307693
2016-05-19,75.6923076923077
2016-05-20,63.69230769230769
2016-05-21,62.769230769230774
2016-05-22,65.53846153846155
2016-05-23,78.46153846153847
2016-05-24,84.92307692307693
2016-05-25,79.38461538461539
2016-05-26,73.84615384615385
2016-05-27,71.07692307692308
2016-05-28,65.53846153846155
2016-05-29,60.0
2016-05-30,57.23076923076923
2016-05-31,65.53846153846155
2016-06-01,63.69230769230769
2016-06-02,67.38461538461539
2016-06-03,58.15384615384616
2016-06-04,53.53846153846154
2016-06-05,57.23076923076923
2016-06-06,77.53846153846155
2016-06-07,79.38461538461539
2016-06-08,79.38461538461539
2016-06-09,68.3076923076923
2016-06-10,54.46153846153847
2016-06-11,47.07692307692308
2016-06-12,65.53846153846155
2016-06-13,67.38461538461539
2016-06-14,86.76923076923077
2016-06-15,73.84615384615385
2016-06-16,69.23076923076924
2016-06-17,65.53846153846155
2016-06-18,61.84615384615385
2016-06-19,53.53846153846154
2016-06-20,65.53846153846155
2016-06-21,73.84615384615385
2016-06-22,74.76923076923077
2016-06-23,74.76923076923077
2016-06-24,56.307692307692314
2016-06-25,58.15384615384616
2016-06-26,73.84615384615385
2016-06-27,83.07692307692308
2016-06-28,83.07692307692308
2016-06-29,75.6923076923077
2016-06-30,62.769230769230774
2016-07-01,55.38461538461539
2016-07-02,64.61538461538461
2016-07-03,72.92307692307693
2016-07-04,66.46153846153847
2016-07-05,69.23076923076924
2016-07-06,84.92307692307693
2016-07-07,59.07692307692308
2016-07-08,71.07692307692308
2016-07-09,68.3076923076923
2016-07-10,60.0
2016-07-11,69.23076923076924
2016-07-12,83.07692307692308
2016-07-13,85.84615384615385
2016-07-14,62.769230769230774
2016-07-15,51.69230769230769
2016-07-16,69.23076923076924
2016-07-17,65.53846153846155
2016-07-18,59.07692307692308
2016-07-19,60.92307692307693
2016-07-20,74.76923076923077
2016-07-21,64.61538461538461
2016-07-22,49.84615384615385
2016-07-23,65.53846153846155
2016-07-24,59.07692307692308
2016-07-25,61.84615384615385
2016-07-26,61.84615384615385
2016-07-27,59.07692307692308
2016-07-28,79.38461538461539
2016-07-29,57.23076923076923
2016-07-30,48.0
2016-07-31,55.38461538461539
2016-08-01,72.0
2016-08-02,70.15384615384616
2016-08-03,73.84615384615385
2016-08-04,58.15384615384616
2016-08-05,54.46153846153847
2016-08-06,61.84615384615385
2016-08-07,65.53846153846155
2016-08-08,60.92307692307693
2016-08-09,65.53846153846155
2016-08-10,62.769230769230774
2016-08-11,73.84615384615385
2016-08-12,50.769230769230774
2016-08-13,58.15384615384616
2016-08-14,69.23076923076924
2016-08-15,65.53846153846155
2016-08-16,61.84615384615385
2016-08-17,64.61538461538461
2016-08-18,59.07692307692308
2016-08-19,59.07692307692308
2016-08-20,68.3076923076923
2016-08-21,56.307692307692314
2016-08-22,63.69230769230769
2016-08-23,66.46153846153847
2016-08-24,67.38461538461539
2016-08-25,64.61538461538461
2016-08-26,61.84615384615385
2016-08-27,61.84615384615385
2016-08-28,68.3076923076923
2016-08-29,69.23076923076924
2016-08-30,69.23076923076924
2016-08-31,69.23076923076924
2016-09-01,69.23076923076924
2016-09-02,55.38461538461539
2016-09-03,60.0
