date,vladimir putin speech
2016-12-24,22.504798464491362
2016-12-25,23.404990403071018
2016-12-26,0.0
2016-12-27,18.904030710172744
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,19.8042226487524
2016-12-31,86.41842610364684
2017-01-01,22.504798464491362
2017-01-02,18.904030710172744
2017-01-03,0.0
2017-01-04,17.103646833013435
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,17.103646833013435
2017-01-10,17.103646833013435
2017-01-11,17.103646833013435
2017-01-12,17.103646833013435
2017-01-13,35.107485604606524
2017-01-14,19.8042226487524
2017-01-15,19.8042226487524
2017-01-16,0.0
2017-01-17,17.103646833013435
2017-01-18,17.103646833013435
2017-01-19,17.103646833013435
2017-01-20,18.00383877159309
2017-01-21,29.7063339731286
2017-01-22,19.8042226487524
2017-01-23,17.103646833013435
2017-01-24,34.20729366602687
2017-01-25,0.0
2017-01-26,17.103646833013435
2017-01-27,18.00383877159309
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,17.103646833013435
2017-01-31,17.103646833013435
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,17.103646833013435
2017-02-04,0.0
2017-02-05,18.904030710172744
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,17.103646833013435
2017-02-10,18.00383877159309
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,25.205374280230327
2017-02-21,17.103646833013435
2017-02-22,0.0
2017-02-23,17.103646833013435
2017-02-24,0.0
2017-02-25,19.8042226487524
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,23.70733747809397
2017-03-02,0.0
2017-03-03,16.128112743052657
2017-03-04,8.360043394809313
2017-03-05,8.098792038721522
2017-03-06,7.053786614370358
2017-03-07,0.0
2017-03-08,14.107573228740716
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,7.053786614370358
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,15.15551406158725
2017-03-17,16.128112743052657
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,15.605610030877076
2017-03-21,7.053786614370358
2017-03-22,18.551781690728532
2017-03-23,15.605610030877076
2017-03-24,21.079168405240758
2017-03-25,9.9021113243762
2017-03-26,0.0
2017-03-27,15.15551406158725
2017-03-28,0.0
2017-03-29,12.602687140115163
2017-03-30,0.0
2017-03-31,9.001919385796546
2017-04-01,0.0
2017-04-02,16.720086789618627
2017-04-03,0.0
2017-04-04,14.6300759409163
2017-04-05,0.0
2017-04-06,14.6300759409163
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,17.24258950179421
2017-04-10,14.6300759409163
2017-04-11,0.0
2017-04-12,15.152578653091881
2017-04-13,0.0
2017-04-14,16.720086789618627
2017-04-15,0.0
2017-04-16,17.76509221396979
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,14.107573228740716
2017-04-20,0.0
2017-04-21,15.152578653091881
2017-04-22,17.24258950179421
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,14.107573228740716
2017-04-27,14.6300759409163
2017-04-28,0.0
